t,z_s,dz_s,z_u,dz_u,z_r,F_act,body_acc,susp_defl,tyre_defl
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.000000,0.000000,0.000000,0.000000,0.000612,0.000000,0.000000,0.000000,-0.000612
0.010000,0.000000,0.000134,0.000032,0.012472,0.001224,-0.008746,0.052474,-0.000032,-0.001192
0.015000,0.000002,0.000643,0.000152,0.034434,0.001833,-0.081372,0.147632,-0.000150,-0.001681
0.020000,0.000008,0.001707,0.000397,0.062226,0.002440,-0.342269,0.271683,-0.000390,-0.002042
0.025000,0.000020,0.003435,0.000789,0.092015,0.003042,-0.984293,0.408826,-0.000768,-0.002253
0.030000,0.000043,0.005854,0.001326,0.120247,0.003639,-2.250417,0.543259,-0.001283,-0.002313
0.035000,0.000080,0.008917,0.001995,0.144013,0.004230,-4.404584,0.660944,-0.001915,-0.002236
0.040000,0.000133,0.012515,0.002766,0.161290,0.004814,-7.698380,0.750968,-0.002633,-0.002048
0.045000,0.000205,0.016492,0.003606,0.171045,0.005390,-12.339344,0.806367,-0.003400,-0.001784
0.050000,0.000298,0.020669,0.004475,0.173216,0.005957,-18.465478,0.824413,-0.004177,-0.001482
0.055000,0.000412,0.024860,0.005338,0.168584,0.006514,-26.128944,0.806376,-0.004926,-0.001177
0.060000,0.000547,0.028895,0.006163,0.158566,0.007061,-35.290274,0.756876,-0.005616,-0.000898
0.065000,0.000700,0.032634,0.006928,0.144961,0.007595,-45.822900,0.682942,-0.006228,-0.000667
0.070000,0.000872,0.035971,0.007621,0.129693,0.008117,-57.526499,0.592925,-0.006749,-0.000496
0.075000,0.001059,0.038846,0.008236,0.114570,0.008625,-70.146774,0.495420,-0.007177,-0.000389
0.080000,0.001259,0.041238,0.008780,0.101095,0.009119,-83.398792,0.398297,-0.007521,-0.000339
0.085000,0.001470,0.043163,0.009263,0.090334,0.009598,-96.990909,0.307960,-0.007792,-0.000335
0.090000,0.001690,0.044664,0.009699,0.082856,0.010060,-110.646639,0.228869,-0.008009,-0.000361
0.095000,0.001916,0.045800,0.010107,0.078737,0.010506,-124.122331,0.163356,-0.008191,-0.000399
0.100000,0.002147,0.046639,0.010501,0.077622,0.010935,-137.219327,0.111701,-0.008354,-0.000433
0.105000,0.002382,0.047246,0.010896,0.078825,0.011345,-149.790001,0.072439,-0.008514,-0.000448
0.110000,0.002619,0.047675,0.011301,0.081457,0.011736,-161.737890,0.042817,-0.008682,-0.000435
0.115000,0.002858,0.047964,0.011720,0.084561,0.012107,-173.012740,0.019338,-0.008862,-0.000387
0.120000,0.003099,0.048136,0.012154,0.087227,0.012459,-183.601750,-0.001693,-0.009055,-0.000305
0.125000,0.003339,0.048194,0.012598,0.088699,0.012790,-193.518550,-0.023679,-0.009259,-0.000191
0.130000,0.003580,0.048125,0.013045,0.088440,0.013099,-202.791484,-0.049339,-0.009465,-0.000054
0.135000,0.003820,0.047908,0.013486,0.086165,0.013386,-211.452621,-0.080461,-0.009666,0.000099
0.140000,0.004059,0.047513,0.013910,0.081842,0.013652,-219.528646,-0.117795,-0.009851,0.000258
0.145000,0.004295,0.046908,0.014307,0.075664,0.013894,-227.034381,-0.161086,-0.010012,0.000413
0.150000,0.004527,0.046068,0.014669,0.067994,0.014113,-233.969283,-0.209220,-0.010142,0.000556
0.155000,0.004755,0.044972,0.014990,0.059306,0.014309,-240.316888,-0.260452,-0.010235,0.000681
0.160000,0.004976,0.043608,0.015266,0.050114,0.014481,-246.046807,-0.312681,-0.010289,0.000785
0.165000,0.005191,0.041977,0.015495,0.040909,0.014628,-251.118653,-0.363728,-0.010304,0.000867
