t,z_s,dz_s,z_u,dz_u,z_r,F_act,body_acc,susp_defl,tyre_defl
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.000000,0.000000,0.000000,0.000000,0.001243,0.000000,0.000000,0.000000,-0.001243
0.010000,0.000000,0.000272,0.000065,0.025322,0.002409,2.843471,0.118460,-0.000065,-0.002343
0.015000,0.000004,0.001344,0.000303,0.068002,0.003423,10.295808,0.335040,-0.000299,-0.003119
0.020000,0.000016,0.003603,0.000774,0.117478,0.004222,19.477334,0.596710,-0.000758,-0.003447
0.025000,0.000042,0.007162,0.001485,0.162876,0.004755,25.866245,0.839763,-0.001442,-0.003270
0.030000,0.000090,0.011823,0.002389,0.194725,0.004990,25.214034,1.005234,-0.002300,-0.002601
0.035000,0.000162,0.017110,0.003402,0.206120,0.004911,14.718889,1.049135,-0.003240,-0.001509
0.040000,0.000260,0.022363,0.004410,0.193333,0.004524,-6.400081,0.948079,-0.004149,-0.000114
0.045000,0.000384,0.026833,0.005289,0.155959,0.003853,-36.818393,0.700898,-0.004906,0.001437
0.050000,0.000526,0.029802,0.005924,0.096648,0.002939,-73.395740,0.327000,-0.005398,0.002985
0.055000,0.000678,0.030676,0.006215,0.020556,0.001841,-111.716305,-0.137638,-0.005538,0.004375
0.060000,0.000828,0.029066,0.006097,-0.065397,0.000627,-146.758624,-0.645929,-0.005269,0.005470
0.065000,0.000963,0.024832,0.005540,-0.153346,-0.000627,-173.586362,-1.145739,-0.004576,0.006166
0.070000,0.001071,0.018102,0.004554,-0.235307,-0.001841,-187.971746,-1.585803,-0.003482,0.006394
0.075000,0.001140,0.009259,0.003189,-0.303914,-0.002939,-186.888177,-1.920945,-0.002048,0.006128
0.080000,0.001161,-0.001096,0.001527,-0.353039,-0.003853,-168.834177,-2.116183,-0.000366,0.005380
0.085000,0.001129,-0.012202,-0.000320,-0.378254,-0.004524,-133.974656,-2.149530,0.001449,0.004204
0.090000,0.001040,-0.023206,-0.002227,-0.377113,-0.004911,-84.105683,-2.013383,0.003267,0.002684
0.095000,0.000899,-0.033239,-0.004059,-0.349265,-0.004990,-22.464575,-1.714593,0.004958,0.000931
0.100000,0.000712,-0.041488,-0.005686,-0.296399,-0.004755,46.582264,-1.273337,0.006398,-0.000931
0.105000,0.000489,-0.047260,-0.006991,-0.222051,-0.004222,117.935258,-0.721019,0.007480,-0.002769
0.110000,0.000245,-0.050042,-0.007878,-0.131285,-0.003423,186.200983,-0.097450,0.008123,-0.004455
0.115000,-0.000004,-0.049532,-0.008280,-0.030293,-0.002409,246.136019,0.552421,0.008276,-0.005871
0.120000,-0.000243,-0.045666,-0.008163,0.074066,-0.001243,293.060492,1.181976,0.007920,-0.006920
0.125000,-0.000455,-0.038620,-0.007530,0.174750,-0.000000,323.212300,1.746331,0.007075,-0.007530
0.130000,-0.000624,-0.028796,-0.006414,0.265013,0.001243,334.019976,2.205467,0.005790,-0.007658
0.135000,-0.000739,-0.016792,-0.004886,0.338846,0.002409,324.279563,2.526907,0.004147,-0.007294
0.140000,-0.000790,-0.003360,-0.003039,0.391365,0.003423,294.228365,2.687785,0.002249,-0.006462
0.145000,-0.000772,0.010645,-0.000992,0.419105,0.004222,245.515594,2.676222,0.000220,-0.005213
0.150000,-0.000685,0.024323,0.001127,0.420238,0.004755,181.076365,2.491942,-0.001812,-0.003628
0.155000,-0.000532,0.036791,0.003183,0.394662,0.004990,104.921157,2.146135,-0.003715,-0.001807
0.160000,-0.000322,0.047243,0.005045,0.343998,0.004911,21.857360,1.660579,-0.005366,0.000133
0.165000,-0.000066,0.054995,0.006594,0.271473,0.004524,-62.837047,1.066115,-0.006660,0.002070
0.170000,0.000222,0.059539,0.007733,0.181699,0.003853,-143.765575,0.400573,-0.007512,0.003881
0.175000,0.000523,0.060569,0.008389,0.080380,0.002939,-215.768090,-0.293715,-0.007866,0.005450
0.180000,0.000820,0.058004,0.008520,-0.026059,0.001841,-274.256020,-0.972651,-0.007700,0.006679
0.185000,0.001096,0.051989,0.008118,-0.130879,0.000627,-315.507168,-1.593191,-0.007022,0.007491
0.190000,0.001334,0.042888,0.007208,-0.227453,-0.000627,-336.902244,-2.116069,-0.005874,0.007834
0.195000,0.001520,0.031263,0.005847,-0.309683,-0.001841,-337.089098,-2.508275,-0.004327,0.007688
0.200000,0.001644,0.017832,0.004122,-0.372383,-0.002939,-316.065173,-2.745110,-0.002478,0.007061
0.205000,0.001697,0.003428,0.002140,-0.411602,-0.003853,-275.173826,-2.811724,-0.000443,0.005993
0.210000,0.001678,-0.011055,0.000028,-0.424873,-0.004524,-217.015448,-2.704023,0.001651,0.004552
0.215000,0.001589,-0.024719,-0.002082,-0.411367,-0.004911,-145.279528,-2.428903,0.003671,0.002829
