t,z_s,dz_s,z_u,dz_u,z_r,F_act,body_acc,susp_defl,tyre_defl
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-10.219255,-0.042580,0.000000,0.000000
0.005000,-0.000001,-0.000197,0.000003,0.001287,0.000852,32.283568,0.140828,-0.000004,-0.000848
0.010000,0.000000,0.000641,0.000043,0.014234,0.003349,7.122247,0.088030,-0.000043,-0.003306
0.015000,0.000006,0.001777,0.000280,0.078077,0.007322,-9.344554,0.290880,-0.000274,-0.007042
0.020000,0.000021,0.004696,0.001010,0.208187,0.012499,1.356704,0.902511,-0.000989,-0.011489
0.025000,0.000060,0.011467,0.002564,0.402876,0.018528,0.470511,1.767159,-0.002504,-0.015964
0.030000,0.000144,0.023292,0.005240,0.651359,0.024998,13.393984,2.960108,-0.005095,-0.019759
0.035000,0.000304,0.041556,0.009239,0.926768,0.031469,-66.806271,3.931977,-0.008936,-0.022229
0.040000,0.000567,0.064954,0.014643,1.207297,0.037498,-86.778506,5.241402,-0.014076,-0.022855
0.045000,0.000963,0.094640,0.021353,1.444911,0.042676,-84.783220,6.519627,-0.020389,-0.021323
0.050000,0.001523,0.129974,0.029046,1.599135,0.046649,-170.783678,7.122372,-0.027523,-0.017603
0.055000,0.002265,0.167315,0.037254,1.650653,0.049147,-231.054495,7.426811,-0.034989,-0.011894
0.060000,0.003195,0.204805,0.045390,1.573926,0.050000,-264.660589,7.300793,-0.042195,-0.004610
0.065000,0.004309,0.240055,0.052777,1.357312,0.000000,-327.669320,6.428076,-0.048469,0.052777
0.070000,0.005566,0.258582,0.056155,0.011119,0.000000,-367.782415,0.829654,-0.050588,0.056155
0.075000,0.006848,0.249915,0.053195,-1.156793,0.000000,-414.879882,-4.382947,-0.046347,0.053195
0.080000,0.008025,0.217322,0.045074,-2.039467,0.000000,-408.009585,-8.445330,-0.037049,0.045074
0.085000,0.008992,0.167389,0.033370,-2.583166,0.000000,-382.431376,-11.199680,-0.024378,0.033370
0.090000,0.009682,0.107101,0.019833,-2.774154,0.000000,-295.155340,-12.318181,-0.010151,0.019833
0.095000,0.010061,0.044577,0.006158,-2.644936,0.000000,-284.174024,-12.426459,0.003903,0.006158
0.100000,0.010132,-0.015347,-0.006157,-2.241757,0.000000,-232.807077,-11.147143,0.016289,-0.006157
0.105000,0.009923,-0.066445,-0.015949,-1.650062,0.000000,-171.937622,-8.907682,0.025873,-0.015949
0.110000,0.009490,-0.104759,-0.022502,-0.961091,0.000000,-135.924087,-6.195845,0.031992,-0.022502
0.115000,0.008900,-0.128785,-0.025546,-0.260637,0.000000,-138.404595,-3.411504,0.034446,-0.025546
0.120000,0.008225,-0.138963,-0.025215,0.377065,0.000000,-93.655093,-0.512457,0.033440,-0.025215
0.125000,0.007534,-0.135540,-0.022002,0.883512,0.000000,-85.447809,1.835998,0.029536,-0.022002
0.130000,0.006888,-0.121757,-0.016660,1.224324,0.000000,-118.226535,3.434062,0.023547,-0.016660
0.135000,0.006327,-0.101626,-0.010053,1.388431,0.000000,-101.229031,4.570634,0.016380,-0.010053
