t,DeltaT_ref,DeltaT,T_max,T_min,T_avg,flow_pattern,phi_b_kWm3,soc,n_switches,iae_cumulative
0.0,0.000,0.0000,298.1500,298.1500,298.1500,L,11.68,1.0000,1,0.00
1.0,0.000,0.0000,298.1557,298.1557,298.1557,L,11.67,0.9994,1,0.00
2.0,0.000,0.0000,298.1613,298.1613,298.1613,L,11.67,0.9989,1,0.00
3.0,0.000,0.0000,298.1669,298.1669,298.1669,L,11.67,0.9983,1,0.00
4.0,0.000,0.0000,298.1726,298.1725,298.1726,L,11.67,0.9978,1,0.00
5.0,0.000,0.0001,298.1782,298.1781,298.1782,L,11.67,0.9972,1,0.00
6.0,0.000,0.0001,298.1838,298.1837,298.1838,L,11.67,0.9967,1,0.00
7.0,0.000,0.0001,298.1894,298.1893,298.1893,L,11.66,0.9961,1,0.00
8.0,0.000,0.0002,298.1950,298.1948,298.1949,L,11.66,0.9956,1,0.00
9.0,0.000,0.0002,298.2005,298.2003,298.2004,L,11.66,0.9950,1,0.00
10.0,0.000,0.0002,298.2061,298.2059,298.2060,L,11.66,0.9944,1,0.00
11.0,0.000,0.0003,298.2117,298.2114,298.2115,L,11.66,0.9939,1,0.00
12.0,0.000,0.0004,298.2172,298.2168,298.2170,L,11.66,0.9933,1,0.00
13.0,0.000,0.0004,298.2227,298.2223,298.2225,L,11.65,0.9928,1,0.00
14.0,0.000,0.0005,298.2282,298.2277,298.2280,L,11.65,0.9922,1,0.00
15.0,0.000,0.0006,298.2337,298.2332,298.2334,L,11.65,0.9917,1,0.00
16.0,0.000,0.0007,298.2392,298.2386,298.2389,L,11.65,0.9911,1,0.00
17.0,0.000,0.0007,298.2447,298.2440,298.2443,L,11.65,0.9906,1,0.00
18.0,0.000,0.0008,298.2502,298.2494,298.2498,L,11.65,0.9900,1,0.01
19.0,0.000,0.0009,298.2557,298.2547,298.2552,L,11.64,0.9894,1,0.01
20.0,0.000,0.0010,298.2611,298.2601,298.2606,L,11.64,0.9889,1,0.01
21.0,0.000,0.0011,298.2666,298.2654,298.2660,L,11.64,0.9883,1,0.01
22.0,0.000,0.0012,298.2720,298.2708,298.2713,L,11.64,0.9878,1,0.01
23.0,0.000,0.0014,298.2774,298.2761,298.2767,L,11.64,0.9872,1,0.01
24.0,0.000,0.0015,298.2828,298.2814,298.2821,L,11.64,0.9867,1,0.01
25.0,0.000,0.0016,298.2882,298.2866,298.2874,L,11.64,0.9861,1,0.01
26.0,0.000,0.0017,298.2936,298.2919,298.2927,L,11.63,0.9856,1,0.02
27.0,0.000,0.0019,298.2990,298.2971,298.2980,L,11.63,0.9850,1,0.02
28.0,0.000,0.0020,298.3044,298.3024,298.3033,L,11.63,0.9844,1,0.02
29.0,0.000,0.0022,298.3097,298.3076,298.3086,L,11.63,0.9839,1,0.02
30.0,0.000,0.0023,298.3151,298.3128,298.3139,L,11.63,0.9833,1,0.02
31.0,0.000,0.0025,298.3204,298.3180,298.3191,L,11.63,0.9828,1,0.03
32.0,0.000,0.0026,298.3257,298.3231,298.3244,L,11.62,0.9822,1,0.03
33.0,0.000,0.0028,298.3311,298.3283,298.3296,L,11.62,0.9817,1,0.03
34.0,0.000,0.0030,298.3364,298.3334,298.3348,L,11.62,0.9811,1,0.03
35.0,0.000,0.0031,298.3417,298.3385,298.3400,L,11.62,0.9806,1,0.04
36.0,0.000,0.0033,298.3469,298.3436,298.3452,L,11.62,0.9800,1,0.04
37.0,0.000,0.0035,298.3522,298.3487,298.3504,L,11.62,0.9794,1,0.04
38.0,0.000,0.0037,298.3575,298.3538,298.3555,L,11.62,0.9789,1,0.05
39.0,0.000,0.0039,298.3627,298.3589,298.3607,L,11.61,0.9783,1,0.05
40.0,0.000,0.0041,298.3680,298.3639,298.3658,L,11.61,0.9778,1,0.06
41.0,0.000,0.0043,298.3732,298.3689,298.3710,L,11.61,0.9772,1,0.06
42.0,0.000,0.0045,298.3784,298.3740,298.3761,L,11.61,0.9767,1,0.07
43.0,0.000,0.0047,298.3837,298.3790,298.3812,L,11.61,0.9761,1,0.07
44.0,0.000,0.0049,298.3889,298.3840,298.3863,L,11.61,0.9756,1,0.07
45.0,0.000,0.0051,298.3940,298.3889,298.3913,L,11.61,0.9750,1,0.08
46.0,0.000,0.0053,298.3992,298.3939,298.3964,L,11.60,0.9744,1,0.09
47.0,0.000,0.0056,298.4044,298.3988,298.4015,L,11.60,0.9739,1,0.09
48.0,0.000,0.0058,298.4096,298.4038,298.4065,L,11.60,0.9733,1,0.10
49.0,0.000,0.0060,298.4147,298.4087,298.4115,L,11.60,0.9728,1,0.10
50.0,0.000,0.0063,298.4199,298.4136,298.4165,L,11.60,0.9722,1,0.11
51.0,0.000,0.0065,298.4250,298.4185,298.4216,L,11.60,0.9717,1,0.12
52.0,0.000,0.0068,298.4301,298.4233,298.4265,L,11.60,0.9711,1,0.12
53.0,0.000,0.0070,298.4352,298.4282,298.4315,L,11.59,0.9706,1,0.13
54.0,0.000,0.0073,298.4403,298.4330,298.4365,L,11.59,0.9700,1,0.14
55.0,0.000,0.0076,298.4454,298.4379,298.4414,L,11.59,0.9694,1,0.14
56.0,0.000,0.0078,298.4505,298.4427,298.4464,L,11.59,0.9689,1,0.15
57.0,0.000,0.0081,298.4556,298.4475,298.4513,L,11.59,0.9683,1,0.16
58.0,0.000,0.0084,298.4606,298.4523,298.4562,L,11.59,0.9678,1,0.17
59.0,0.000,0.0087,298.4657,298.4570,298.4611,L,11.59,0.9672,1,0.18
60.0,0.000,0.0089,298.4707,298.4618,298.4660,L,11.58,0.9667,1,0.19
61.0,0.000,0.0092,298.4758,298.4666,298.4709,L,11.58,0.9661,1,0.20
62.0,0.000,0.0095,298.4808,298.4713,298.4758,L,11.58,0.9656,1,0.20
63.0,0.000,0.0098,298.4858,298.4760,298.4806,L,11.58,0.9650,1,0.21
64.0,0.000,0.0101,298.4908,298.4807,298.4855,L,11.58,0.9644,1,0.22
65.0,0.000,0.0104,298.4958,298.4854,298.4903,L,11.58,0.9639,1,0.24
66.0,0.000,0.0107,298.5008,298.4901,298.4951,L,11.58,0.9633,1,0.25
67.0,0.000,0.0110,298.5058,298.4947,298.4999,L,11.58,0.9628,1,0.26
68.0,0.000,0.0114,298.5107,298.4994,298.5047,L,11.57,0.9622,1,0.27
69.0,0.000,0.0117,298.5157,298.5040,298.5095,L,11.57,0.9617,1,0.28
70.0,0.000,0.0120,298.5206,298.5086,298.5143,L,11.57,0.9611,1,0.29
71.0,0.000,0.0123,298.5256,298.5132,298.5191,L,11.57,0.9606,1,0.30
72.0,0.000,0.0127,298.5305,298.5178,298.5238,L,11.57,0.9600,1,0.32
73.0,0.000,0.0130,298.5354,298.5224,298.5286,L,11.57,0.9594,1,0.33
74.0,0.000,0.0133,298.5403,298.5270,298.5333,L,11.57,0.9589,1,0.34
