t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.372218e-01,-7.000000e-03,-2.000000e-02,1.460177e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,6.622118e-04
1.000000e+00,8.058989e+01,1.791065e+01,-1.631282e-01,1.052600e-01,3.406300e-01,1.258488e-01,-7.000000e-03,-2.000000e-02,-1.137293e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.989886e+00,-2.610650e+00,5.351853e-02,9.989886e+00,5.610650e+00,9.756503e-02,4.989896e+01,1.581550e+01,4.804327e-03,1.240555e-03
2.000000e+00,8.058021e+01,1.735637e+01,-1.722228e-01,9.826000e-02,3.206300e-01,1.274222e-01,-7.000000e-03,-2.000000e-02,1.573326e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.980212e+00,-2.056367e+00,6.261317e-02,1.497010e+01,7.667017e+00,1.601782e-01,7.470147e+01,2.004414e+01,8.724736e-03,1.692031e-03
3.000000e+00,8.056903e+01,1.665371e+01,-1.813662e-01,1.052600e-01,3.406300e-01,1.257479e-01,7.000000e-03,2.000000e-02,-1.674227e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.969035e+00,-1.353706e+00,7.175655e-02,1.993913e+01,9.020722e+00,2.319347e-01,9.939277e+01,2.187666e+01,1.387374e-02,2.143834e-03
4.000000e+00,8.055940e+01,1.622476e+01,-1.717587e-01,9.826000e-02,3.554118e-01,1.241221e-01,-7.000000e-03,1.478179e-02,-1.625815e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.959401e+00,-9.247561e-01,6.214911e-02,2.489853e+01,9.945479e+00,2.940839e-01,1.239884e+02,2.273183e+01,1.773625e-02,2.413978e-03
5.000000e+00,8.054001e+01,1.598900e+01,-1.678235e-01,1.052600e-01,3.598917e-01,1.241857e-01,7.000000e-03,4.479896e-03,6.356243e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.940012e+00,-6.889986e-01,5.821385e-02,2.983855e+01,1.063448e+01,3.522977e-01,1.483922e+02,2.320655e+01,2.112510e-02,2.483052e-03
6.000000e+00,8.052581e+01,1.582203e+01,-1.643159e-01,1.122600e-01,3.587422e-01,1.239419e-01,7.000000e-03,-1.149477e-03,-2.438028e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.925814e+00,-5.220297e-01,5.470625e-02,3.476436e+01,1.115651e+01,4.070040e-01,1.726558e+02,2.347907e+01,2.411788e-02,2.533433e-03
7.000000e+00,8.051826e+01,1.565978e+01,-1.629321e-01,1.192600e-01,3.595303e-01,1.241229e-01,7.000000e-03,7.880737e-04,1.810005e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.918259e+00,-3.597787e-01,5.332250e-02,3.968262e+01,1.151629e+01,4.603265e-01,1.968451e+02,2.360851e+01,2.696117e-02,2.583086e-03
8.000000e+00,8.051679e+01,1.552162e+01,-1.608004e-01,1.262600e-01,3.592148e-01,1.240267e-01,7.000000e-03,-3.154830e-04,-9.615507e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.916789e+00,-2.216201e-01,5.119082e-02,4.459941e+01,1.173791e+01,5.115173e-01,2.210199e+02,2.365762e+01,2.958167e-02,2.632195e-03
9.000000e+00,8.052171e+01,1.539404e+01,-1.590681e-01,1.332600e-01,3.593284e-01,1.240826e-01,7.000000e-03,1.135576e-04,5.584625e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.921714e+00,-9.403869e-02,4.945846e-02,4.952112e+01,1.183194e+01,5.609758e-01,2.452432e+02,2.366646e+01,3.202781e-02,2.681211e-03
1.000000e+01,8.053290e+01,1.528047e+01,-1.571572e-01,1.402600e-01,3.592264e-01,1.240518e-01,7.000000e-03,-1.019794e-04,-3.072893e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.932896e+00,1.953128e-02,4.754753e-02,5.445402e+01,1.185148e+01,6.085233e-01,2.695766e+02,2.366685e+01,3.428857e-02,2.730223e-03
1.100000e+01,8.055039e+01,1.517744e+01,-1.553100e-01,1.472600e-01,3.592212e-01,1.240606e-01,7.000000e-03,-5.210688e-06,8.802455e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-4.950394e+00,1.225592e-01,4.570042e-02,5.940441e+01,1.197403e+01,6.542237e-01,2.940830e+02,2.368187e+01,3.637710e-02,2.779223e-03
1.200000e+01,8.057417e+01,1.508501e+01,-1.534096e-01,1.542600e-01,3.591766e-01,1.240471e-01,7.000000e-03,-4.451993e-05,-1.358535e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.974170e+00,2.149889e-01,4.379995e-02,6.437858e+01,1.218902e+01,6.980236e-01,3.188254e+02,2.372809e+01,3.829554e-02,2.828225e-03
1.300000e+01,8.060423e+01,1.500184e+01,-1.515069e-01,1.612600e-01,3.591564e-01,1.240422e-01,7.000000e-03,-2.028456e-05,-4.854831e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-5.004229e+00,2.981557e-01,4.189732e-02,6.938281e+01,1.248718e+01,7.399210e-01,3.438677e+02,2.381698e+01,4.005092e-02,2.877225e-03
1.400000e+01,8.064056e+01,1.492739e+01,-1.495785e-01,1.682600e-01,3.591313e-01,1.240316e-01,7.000000e-03,-2.503992e-05,-1.063545e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.040556e+00,3.726142e-01,3.996887e-02,7.442337e+01,1.285979e+01,7.798898e-01,3.692749e+02,2.395583e+01,4.164843e-02,2.926226e-03
1.500000e+01,8.068315e+01,1.486084e+01,-1.476352e-01,1.752600e-01,3.591141e-01,1.240223e-01,7.000000e-03,-1.718297e-05,-9.299596e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-5.083146e+00,4.391591e-01,3.802560e-02,7.950651e+01,1.329895e+01,8.179154e-01,3.951133e+02,2.414869e+01,4.309438e-02,2.975226e-03
1.600000e+01,8.073199e+01,1.480162e+01,-1.456726e-01,1.822600e-01,3.590983e-01,1.240111e-01,7.000000e-03,-1.581505e-05,-1.120115e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.131987e+00,4.983773e-01,3.606295e-02,8.463850e+01,1.379733e+01,8.539784e-01,4.214506e+02,2.439707e+01,4.439492e-02,3.024227e-03
1.700000e+01,8.078707e+01,1.474914e+01,-1.436931e-01,1.892600e-01,3.590861e-01,1.239995e-01,7.000000e-03,-1.224649e-05,-1.154075e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.187073e+00,5.508633e-01,3.408348e-02,8.982557e+01,1.434819e+01,8.880619e-01,4.483563e+02,2.470052e+01,4.555660e-02,3.073227e-03
1.800000e+01,8.084839e+01,1.470287e+01,-1.416961e-01,1.962600e-01,3.590757e-01,1.239869e-01,7.000000e-03,-1.040079e-05,-1.258598e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.248394e+00,5.971298e-01,3.208649e-02,9.507397e+01,1.494532e+01,9.201484e-01,4.759019e+02,2.505708e+01,4.658614e-02,3.122227e-03
