t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.256445e-01,-7.000000e-03,-2.000000e-02,3.024527e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,4.581478e-04
1.000000e+00,8.059162e+01,1.791065e+01,-1.630713e-01,1.052600e-01,3.645629e-01,1.257683e-01,-7.000000e-03,3.932888e-03,1.238203e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.991622e+00,-2.610650e+00,5.346168e-02,9.991622e+00,5.610650e+00,9.750818e-02,4.991629e+01,1.581550e+01,4.798246e-03,5.226307e-04
2.000000e+00,8.057595e+01,1.760012e+01,-1.633365e-01,9.826000e-02,3.578602e-01,1.256587e-01,-7.000000e-03,-6.702693e-03,-1.096506e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.975949e+00,-2.300118e+00,5.372683e-02,1.496757e+01,7.910769e+00,1.512350e-01,7.467636e+01,2.110604e+01,7.684818e-03,6.165688e-04
3.000000e+00,8.055569e+01,1.725207e+01,-1.676374e-01,9.126000e-02,3.378602e-01,1.260163e-01,-7.000000e-03,-2.000000e-02,3.576179e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.955694e+00,-1.952073e+00,5.802773e-02,1.992327e+01,9.862842e+00,2.092627e-01,9.923527e+01,2.491663e+01,1.105204e-02,1.065697e-03
4.000000e+00,8.053413e+01,1.673486e+01,-1.769051e-01,8.426000e-02,3.578602e-01,1.267026e-01,-7.000000e-03,2.000000e-02,6.862460e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.934132e+00,-1.434864e+00,6.729547e-02,2.485740e+01,1.129771e+01,2.765582e-01,1.235809e+02,2.697546e+01,1.558072e-02,1.515168e-03
5.000000e+00,8.050117e+01,1.647252e+01,-1.710369e-01,7.726000e-02,3.544584e-01,1.262944e-01,-7.000000e-03,-3.401813e-03,-4.081262e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.901173e+00,-1.172520e+00,6.142732e-02,2.975857e+01,1.247023e+01,3.379855e-01,1.476024e+02,2.835027e+01,1.935403e-02,1.575907e-03
6.000000e+00,8.046287e+01,1.620116e+01,-1.740916e-01,7.026000e-02,3.344584e-01,1.266842e-01,-7.000000e-03,-2.000000e-02,3.897756e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.862870e+00,-9.011617e-01,6.448198e-02,3.462144e+01,1.337139e+01,4.024675e-01,1.712499e+02,2.916236e+01,2.351196e-02,2.025058e-03
7.000000e+00,8.042327e+01,1.575290e+01,-1.833698e-01,6.326000e-02,3.544584e-01,1.274173e-01,-7.000000e-03,2.000000e-02,7.331115e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.823270e+00,-4.528980e-01,7.376015e-02,3.944471e+01,1.382429e+01,4.762277e-01,1.945139e+02,2.936748e+01,2.895252e-02,2.474596e-03
8.000000e+00,8.037230e+01,1.555200e+01,-1.775322e-01,5.626000e-02,3.618469e-01,1.270300e-01,-7.000000e-03,7.388490e-03,-3.873224e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.772296e+00,-2.520041e-01,6.792261e-02,4.421701e+01,1.407629e+01,5.441503e-01,2.172887e+02,2.943098e+01,3.356600e-02,2.578336e-03
9.000000e+00,8.031329e+01,1.544523e+01,-1.765634e-01,4.926000e-02,3.418469e-01,1.271568e-01,-7.000000e-03,-2.000000e-02,1.268505e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.713293e+00,-1.452303e-01,6.695383e-02,4.893030e+01,1.422152e+01,6.111041e-01,2.395038e+02,2.945207e+01,3.804881e-02,3.027352e-03
1.000000e+01,8.025305e+01,1.514506e+01,-1.859169e-01,4.226000e-02,3.618469e-01,1.279559e-01,-7.000000e-03,2.000000e-02,7.990231e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.653049e+00,1.549420e-01,7.630730e-02,5.358335e+01,1.437646e+01,6.874114e-01,2.611547e+02,2.947608e+01,4.387162e-02,3.476990e-03
