t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.688316e-01,-7.000000e-03,-2.000000e-02,4.621159e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,2.584511e-03
1.000000e+00,8.058514e+01,1.791065e+01,-1.632834e-01,1.052600e-01,3.406300e-01,1.767314e-01,-7.000000e-03,-2.000000e-02,7.899821e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.985144e+00,-2.610650e+00,5.367373e-02,9.985144e+00,5.610650e+00,9.772023e-02,4.985166e+01,1.581550e+01,4.820964e-03,3.095918e-03
2.000000e+00,8.056784e+01,1.735628e+01,-1.721850e-01,9.826000e-02,3.206300e-01,1.839806e-01,-7.000000e-03,-2.000000e-02,7.249187e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.967844e+00,-2.056285e+00,6.257538e-02,1.495299e+01,7.666935e+00,1.602956e-01,7.453113e+01,2.004380e+01,8.736642e-03,3.597469e-03
3.000000e+00,8.054820e+01,1.665345e+01,-1.808922e-01,9.126000e-02,3.006300e-01,1.908731e-01,-7.000000e-03,-2.000000e-02,6.892542e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.948197e+00,-1.353453e+00,7.128260e-02,1.990118e+01,9.020389e+00,2.315782e-01,9.901578e+01,2.187564e+01,1.381785e-02,4.093976e-03
4.000000e+00,8.052626e+01,1.581707e+01,-1.894116e-01,8.426000e-02,2.806300e-01,1.973769e-01,-7.000000e-03,-2.000000e-02,6.503778e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.926257e+00,-5.170746e-01,7.980199e-02,2.482744e+01,9.537463e+00,3.113802e-01,1.232838e+02,2.214300e+01,2.018621e-02,4.585275e-03
5.000000e+00,8.050208e+01,1.486059e+01,-1.977455e-01,7.726000e-02,3.006300e-01,2.035024e-01,-7.000000e-03,2.000000e-02,6.125448e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.902082e+00,4.394055e-01,8.813592e-02,2.972952e+01,9.976869e+00,3.995161e-01,1.473142e+02,2.233608e+01,2.795415e-02,5.071796e-03
6.000000e+00,8.046570e+01,1.420297e+01,-1.908868e-01,7.026000e-02,3.206300e-01,1.935196e-01,-7.000000e-03,2.000000e-02,-9.982747e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.865697e+00,1.097032e+00,8.127713e-02,3.459522e+01,1.107390e+01,4.807932e-01,1.709892e+02,2.353956e+01,3.456012e-02,5.620451e-03
7.000000e+00,8.041953e+01,1.381400e+01,-1.840473e-01,6.326000e-02,3.406300e-01,1.841539e-01,-7.000000e-03,2.000000e-02,-9.365689e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.819534e+00,1.486005e+00,7.443772e-02,3.941475e+01,1.255991e+01,5.552310e-01,1.942171e+02,2.574777e+01,4.010109e-02,6.157167e-03
8.000000e+00,8.036352e+01,1.366644e+01,-1.774579e-01,5.626000e-02,3.606300e-01,1.754504e-01,-7.000000e-03,2.000000e-02,-8.703481e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.763517e+00,1.633564e+00,6.784825e-02,4.417827e+01,1.419347e+01,6.230792e-01,2.169082e+02,2.841630e+01,4.470448e-02,6.681918e-03
9.000000e+00,8.029757e+01,1.373569e+01,-1.711155e-01,4.926000e-02,3.806300e-01,1.673461e-01,-7.000000e-03,2.000000e-02,-8.104353e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.697568e+00,1.564311e+00,6.150589e-02,4.887584e+01,1.575778e+01,6.845851e-01,2.389753e+02,3.086337e+01,4.848745e-02,7.196598e-03
1.000000e+01,8.022162e+01,1.399953e+01,-1.650165e-01,4.226000e-02,4.006300e-01,1.598055e-01,-7.000000e-03,2.000000e-02,-7.540593e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.621615e+00,1.300475e+00,5.540689e-02,5.349745e+01,1.705826e+01,7.399920e-01,2.603347e+02,3.255461e+01,5.155738e-02,7.702459e-03
1.100000e+01,8.013560e+01,1.443786e+01,-1.591578e-01,3.526000e-02,4.206300e-01,1.528000e-01,-7.000000e-03,2.000000e-02,-7.005489e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.535599e+00,8.621448e-01,4.954817e-02,5.803305e+01,1.792040e+01,7.895402e-01,2.809063e+02,3.329790e+01,5.401240e-02,8.200536e-03
1.200000e+01,8.003946e+01,1.503251e+01,-1.535366e-01,2.826000e-02,4.406300e-01,1.463034e-01,-7.000000e-03,2.000000e-02,-6.496599e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.439465e+00,2.674903e-01,4.392702e-02,6.247252e+01,1.818789e+01,8.334672e-01,3.006152e+02,3.336945e+01,5.594198e-02,8.691742e-03
1.300000e+01,7.993316e+01,1.576705e+01,-1.481506e-01,2.126000e-02,4.206300e-01,1.402911e-01,-7.000000e-03,-2.000000e-02,-6.012277e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.333163e+00,-4.670496e-01,3.854097e-02,6.680568e+01,1.865494e+01,8.720082e-01,3.193915e+02,3.358759e+01,5.742739e-02,9.176889e-03
1.400000e+01,7.982660e+01,1.622299e+01,-1.578782e-01,1.426000e-02,4.006300e-01,1.503524e-01,-7.000000e-03,-2.000000e-02,1.006122e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.226603e+00,-9.229925e-01,4.826862e-02,7.103228e+01,1.957793e+01,9.202768e-01,3.372556e+02,3.443950e+01,5.975725e-02,9.727117e-03
