t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.248223e-01,-7.000000e-03,-2.000000e-02,2.202325e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,4.538502e-04
1.000000e+00,8.059175e+01,1.791065e+01,-1.630673e-01,1.052600e-01,3.406300e-01,1.252929e-01,-7.000000e-03,-2.000000e-02,4.705571e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.991745e+00,-2.610650e+00,5.345764e-02,9.991745e+00,5.610650e+00,9.750415e-02,4.991752e+01,1.581550e+01,4.797814e-03,9.030717e-04
2.000000e+00,8.058215e+01,1.735640e+01,-1.723326e-01,9.826000e-02,3.206300e-01,1.257561e-01,-7.000000e-03,-2.000000e-02,4.632654e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.982153e+00,-2.056399e+00,6.272295e-02,1.497390e+01,7.667049e+00,1.602271e-01,7.473937e+01,2.004427e+01,8.731983e-03,1.352286e-03
3.000000e+00,8.057122e+01,1.665376e+01,-1.814758e-01,9.126000e-02,3.129419e-01,1.262133e-01,-7.000000e-03,-7.688120e-03,4.571616e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.971223e+00,-1.353762e+00,7.186619e-02,1.994512e+01,9.020811e+00,2.320933e-01,9.945243e+01,2.187694e+01,1.389673e-02,1.460602e-03
4.000000e+00,8.055587e+01,1.594296e+01,-1.858719e-01,8.426000e-02,3.329419e-01,1.264331e-01,-7.000000e-03,2.000000e-02,2.198069e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.955868e+00,-6.429621e-01,7.626232e-02,2.490099e+01,9.663774e+00,3.083556e-01,1.240131e+02,2.229034e+01,1.971267e-02,1.909651e-03
5.000000e+00,8.052918e+01,1.550661e+01,-1.798296e-01,7.726000e-02,3.529419e-01,1.261310e-01,-7.000000e-03,2.000000e-02,-3.021179e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.929176e+00,-2.066065e-01,7.021996e-02,2.983017e+01,9.870380e+00,3.785756e-01,1.483098e+02,2.233303e+01,2.464352e-02,2.358742e-03
6.000000e+00,8.049124e+01,1.531695e+01,-1.739367e-01,7.026000e-02,3.729419e-01,1.258364e-01,-7.000000e-03,2.000000e-02,-2.946442e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.891244e+00,-1.694817e-02,6.432708e-02,3.472141e+01,9.887328e+00,4.429027e-01,1.722341e+02,2.233332e+01,2.878149e-02,2.807829e-03
7.000000e+00,8.044209e+01,1.534892e+01,-1.682036e-01,6.326000e-02,3.781840e-01,1.255497e-01,-7.000000e-03,5.242119e-03,-2.866575e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.842088e+00,-4.892002e-02,5.859393e-02,3.956350e+01,9.936248e+00,5.014966e-01,1.956799e+02,2.233571e+01,3.221474e-02,2.884391e-03
8.000000e+00,8.038542e+01,1.542989e+01,-1.681630e-01,5.626000e-02,3.741354e-01,1.255477e-01,-7.000000e-03,-4.048617e-03,-2.027314e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-4.785425e+00,-1.298923e-01,5.855339e-02,4.434892e+01,1.006614e+01,5.600500e-01,2.185802e+02,2.235258e+01,3.564324e-02,2.949782e-03
9.000000e+00,8.032355e+01,1.546038e+01,-1.716597e-01,4.926000e-02,3.726112e-01,1.257225e-01,-7.000000e-03,-1.524203e-03,1.748359e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.723551e+00,-1.603764e-01,6.205010e-02,4.907247e+01,1.022652e+01,6.221001e-01,2.408921e+02,2.237830e+01,3.949345e-02,3.001136e-03
1.000000e+01,8.025581e+01,1.547099e+01,-1.741999e-01,4.226000e-02,3.720807e-01,1.258495e-01,-7.000000e-03,-5.304746e-04,1.270091e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.655814e+00,-1.709859e-01,6.459029e-02,5.372829e+01,1.039750e+01,6.866904e-01,2.625688e+02,2.240754e+01,4.366536e-02,3.050433e-03
1.100000e+01,8.018198e+01,1.547368e+01,-1.763719e-01,3.526000e-02,3.719460e-01,1.259581e-01,-7.000000e-03,-1.347501e-04,1.086017e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.581978e+00,-1.736809e-01,6.676232e-02,5.831027e+01,1.057118e+01,7.534527e-01,2.835633e+02,2.243770e+01,4.812257e-02,3.099463e-03
1.200000e+01,8.010196e+01,1.547314e+01,-1.784072e-01,2.826000e-02,3.719731e-01,1.260599e-01,-7.000000e-03,2.714169e-05,1.017616e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.501957e+00,-1.731381e-01,6.879755e-02,6.281222e+01,1.074432e+01,8.222502e-01,3.038309e+02,2.246768e+01,5.285567e-02,3.148474e-03
1.300000e+01,8.001572e+01,1.547119e+01,-1.803960e-01,2.126000e-02,3.720706e-01,1.261593e-01,-7.000000e-03,9.753177e-05,9.944068e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.415717e+00,-1.711874e-01,7.078637e-02,6.722794e+01,1.091551e+01,8.930366e-01,3.233294e+02,2.249699e+01,5.786638e-02,3.197494e-03
1.400000e+01,7.992325e+01,1.546855e+01,-1.823737e-01,1.426000e-02,3.722027e-01,1.262582e-01,-7.000000e-03,1.320977e-04,9.888585e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.323250e+00,-1.685455e-01,7.276408e-02,7.155119e+01,1.108405e+01,9.658007e-01,3.420199e+02,2.252539e+01,6.316099e-02,3.246521e-03
1.500000e+01,7.982456e+01,1.546549e+01,-1.843541e-01,7.260000e-03,3.723554e-01,1.263572e-01,-7.000000e-03,1.526420e-04,9.902104e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.224557e+00,-1.654926e-01,7.474450e-02,7.577575e+01,1.124955e+01,1.040545e+00,3.598668e+02,2.255278e+01,6.874773e-02,3.295554e-03
1.600000e+01,7.971964e+01,1.546214e+01,-1.863426e-01,2.600000e-04,3.725231e-01,1.264567e-01,-7.000000e-03,1.677129e-04,9.942522e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.119639e+00,-1.621384e-01,7.673301e-02,7.989539e+01,1.141169e+01,1.117278e+00,3.768382e+02,2.257907e+01,7.463569e-02,3.344592e-03
1.700000e+01,7.960850e+01,1.545853e+01,-1.883413e-01,0.000000e+00,3.727037e-01,1.265566e-01,-2.600000e-04,1.806677e-04,9.993349e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.008501e+00,-1.585250e-01,7.873168e-02,8.390389e+01,1.157021e+01,1.196010e+00,3.929063e+02,2.260420e+01,8.083436e-02,3.344702e-03
1.800000e+01,7.949721e+01,1.545467e+01,-1.886270e-01,0.000000e+00,3.728966e-01,1.265709e-01,0.000000e+00,1.928283e-04,1.428429e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.897215e+00,-1.546685e-01,7.901736e-02,8.780110e+01,1.172488e+01,1.275027e+00,4.080946e+02,2.262812e+01,8.707811e-02,3.344740e-03
1.900000e+01,7.938602e+01,1.545071e+01,-1.888402e-01,0.000000e+00,3.730947e-01,1.265815e-01,0.000000e+00,1.981017e-04,1.066296e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.786024e+00,-1.507064e-01,7.923062e-02,9.158713e+01,1.187559e+01,1.354258e+00,4.224286e+02,2.265084e+01,9.335560e-02,3.344779e-03
2.000000e+01,7.927493e+01,1.544670e+01,-1.890507e-01,0.000000e+00,3.732951e-01,1.265921e-01,0.000000e+00,2.003870e-04,1.052525e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.674927e+00,-1.466987e-01,7.944113e-02,9.526205e+01,1.202228e+01,1.433699e+00,4.359337e+02,2.267236e+01,9.966649e-02,3.344819e-03
2.100000e+01,7.916392e+01,1.544267e+01,-1.892597e-01,0.000000e+00,3.734966e-01,1.266025e-01,0.000000e+00,2.014894e-04,1.044719e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.563925e+00,-1.426689e-01,7.965007e-02,9.882598e+01,1.216495e+01,1.513349e+00,4.486352e+02,2.269271e+01,1.060106e-01,3.344860e-03
2.200000e+01,7.905302e+01,1.543863e+01,-1.894675e-01,0.000000e+00,3.736987e-01,1.266129e-01,0.000000e+00,2.021231e-04,1.039181e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.453016e+00,-1.386264e-01,7.985791e-02,1.022790e+02,1.230358e+01,1.593207e+00,4.605586e+02,2.271193e+01,1.123879e-01,3.344901e-03
2.300000e+01,7.894220e+01,1.543458e+01,-1.896744e-01,0.000000e+00,3.739012e-01,1.266232e-01,0.000000e+00,2.025708e-04,1.034541e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.342201e+00,-1.345750e-01,8.006482e-02,1.056212e+02,1.243815e+01,1.673272e+00,4.717289e+02,2.273004e+01,1.187983e-01,3.344942e-03
2.400000e+01,7.883148e+01,1.543052e+01,-1.898805e-01,0.000000e+00,3.741042e-01,1.266335e-01,0.000000e+00,2.029450e-04,1.030257e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.231479e+00,-1.305161e-01,8.027087e-02,1.088527e+02,1.256867e+01,1.753543e+00,4.821713e+02,2.274707e+01,1.252417e-01,3.344984e-03
2.500000e+01,7.872085e+01,1.542645e+01,-1.900857e-01,0.000000e+00,3.743075e-01,1.266438e-01,0.000000e+00,2.032901e-04,1.026117e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.120851e+00,-1.264503e-01,8.047609e-02,1.119735e+02,1.269512e+01,1.834019e+00,4.919110e+02,2.276306e+01,1.317181e-01,3.345025e-03
2.600000e+01,7.861032e+01,1.542238e+01,-1.902901e-01,0.000000e+00,3.745111e-01,1.266540e-01,0.000000e+00,2.036240e-04,1.022033e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-3.010316e+00,-1.223778e-01,8.068050e-02,1.149838e+02,1.281750e+01,1.914699e+00,5.009730e+02,2.277804e+01,1.382274e-01,3.345067e-03
2.700000e+01,7.849988e+01,1.541830e+01,-1.904937e-01,0.000000e+00,3.747151e-01,1.266642e-01,0.000000e+00,2.039538e-04,1.017972e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-2.899875e+00,-1.182988e-01,8.088409e-02,1.178837e+02,1.293580e+01,1.995583e+00,5.093823e+02,2.279203e+01,1.447697e-01,3.345108e-03
2.800000e+01,7.838953e+01,1.541421e+01,-1.906965e-01,0.000000e+00,3.749193e-01,1.266743e-01,0.000000e+00,2.042823e-04,1.013922e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-2.789527e+00,-1.142131e-01,8.108688e-02,1.206732e+02,1.305001e+01,2.076670e+00,5.171638e+02,2.280508e+01,1.513448e-01,3.345150e-03
2.900000e+01,7.827927e+01,1.541012e+01,-1.908985e-01,0.000000e+00,3.751240e-01,1.266844e-01,0.000000e+00,2.046107e-04,1.009875e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-2.679272e+00,-1.101209e-01,8.128885e-02,1.233525e+02,1.316013e+01,2.157959e+00,5.243423e+02,2.281720e+01,1.579526e-01,3.345192e-03
3.000000e+01,7.816911e+01,1.540602e+01,-1.910996e-01,0.000000e+00,3.753289e-01,1.266945e-01,0.000000e+00,2.049394e-04,1.005831e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-2.569110e+00,-1.060221e-01,8.149002e-02,1.259216e+02,1.326615e+01,2.239449e+00,5.309426e+02,2.282845e+01,1.645933e-01,3.345234e-03
3.100000e+01,7.805904e+01,1.540192e+01,-1.913000e-01,0.000000e+00,3.755342e-01,1.267045e-01,0.000000e+00,2.052686e-04,1.001788e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-2.459042e+00,-1.019167e-01,8.169038e-02,1.283807e+02,1.336807e+01,2.321139e+00,5.369895e+02,2.283883e+01,1.712666e-01,3.345276e-03
3.200000e+01,7.794907e+01,1.539780e+01,-1.914995e-01,0.000000e+00,3.757398e-01,1.267145e-01,0.000000e+00,2.055984e-04,9.977464e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-2.349066e+00,-9.780478e-02,8.188992e-02,1.307297e+02,1.346588e+01,2.403029e+00,5.425076e+02,2.284840e+01,1.779725e-01,3.345319e-03
3.300000e+01,7.783918e+01,1.539369e+01,-1.916983e-01,0.000000e+00,3.759457e-01,1.267244e-01,0.000000e+00,2.059289e-04,9.937053e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-2.239183e+00,-9.368620e-02,8.208867e-02,1.329689e+02,1.355956e+01,2.485118e+00,5.475215e+02,2.285718e+01,1.847111e-01,3.345361e-03
3.400000e+01,7.772939e+01,1.538956e+01,-1.918962e-01,0.000000e+00,3.761519e-01,1.267343e-01,0.000000e+00,2.062599e-04,9.896650e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-2.129393e+00,-8.956100e-02,8.228660e-02,1.350983e+02,1.364912e+01,2.567405e+00,5.520559e+02,2.286520e+01,1.914822e-01,3.345404e-03
3.500000e+01,7.761970e+01,1.538543e+01,-1.920933e-01,0.000000e+00,3.763585e-01,1.267442e-01,0.000000e+00,2.065916e-04,9.856254e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-2.019696e+00,-8.542917e-02,8.248372e-02,1.371180e+02,1.373455e+01,2.649888e+00,5.561350e+02,2.287249e+01,1.982857e-01,3.345447e-03
3.600000e+01,7.751009e+01,1.538129e+01,-1.922897e-01,0.000000e+00,3.765655e-01,1.267540e-01,0.000000e+00,2.069240e-04,9.815865e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-1.910092e+00,-8.129069e-02,8.268004e-02,1.390281e+02,1.381584e+01,2.732568e+00,5.597835e+02,2.287910e+01,2.051217e-01,3.345490e-03
3.700000e+01,7.740058e+01,1.537715e+01,-1.924852e-01,0.000000e+00,3.767727e-01,1.267638e-01,0.000000e+00,2.072569e-04,9.775484e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-1.800581e+00,-7.714555e-02,8.287555e-02,1.408287e+02,1.389299e+01,2.815444e+00,5.630256e+02,2.288505e+01,2.119901e-01,3.345533e-03
3.800000e+01,7.729116e+01,1.537299e+01,-1.926799e-01,0.000000e+00,3.769803e-01,1.267735e-01,0.000000e+00,2.075906e-04,9.735110e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-1.691162e+00,-7.299374e-02,8.307025e-02,1.425198e+02,1.396598e+01,2.898514e+00,5.658856e+02,2.289038e+01,2.188907e-01,3.345576e-03
3.900000e+01,7.718184e+01,1.536884e+01,-1.928738e-01,0.000000e+00,3.771882e-01,1.267832e-01,0.000000e+00,2.079248e-04,9.694744e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-1.581836e+00,-6.883525e-02,8.326415e-02,1.441017e+02,1.403482e+01,2.981778e+00,5.683878e+02,2.289512e+01,2.258237e-01,3.345619e-03
4.000000e+01,7.707260e+01,1.536467e+01,-1.930669e-01,0.000000e+00,3.773965e-01,1.267929e-01,0.000000e+00,2.082598e-04,9.654385e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-1.472602e+00,-6.467005e-02,8.345724e-02,1.455743e+02,1.409949e+01,3.065236e+00,5.705564e+02,2.289930e+01,2.327888e-01,3.345663e-03
