t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.275938e-01,-7.000000e-03,-2.000000e-02,4.973816e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,4.737388e-04
1.000000e+00,8.059133e+01,1.791065e+01,-1.630809e-01,1.052600e-01,3.588663e-01,1.267523e-01,-7.000000e-03,-1.763668e-03,-8.414745e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.991330e+00,-2.610650e+00,5.347125e-02,9.991330e+00,5.610650e+00,9.751776e-02,4.991337e+01,1.581550e+01,4.799269e-03,5.265574e-04
2.000000e+00,8.057694e+01,1.754210e+01,-1.654635e-01,9.826000e-02,3.648682e-01,1.262009e-01,-7.000000e-03,6.001828e-03,-5.514734e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.976940e+00,-2.242101e+00,5.585393e-02,1.496827e+01,7.852752e+00,1.533717e-01,7.468330e+01,2.084251e+01,7.918931e-03,6.118835e-04
3.000000e+00,8.055484e+01,1.727123e+01,-1.649438e-01,9.126000e-02,3.688985e-01,1.258427e-01,-7.000000e-03,4.030387e-03,-3.582032e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.954843e+00,-1.971228e+00,5.533416e-02,1.992311e+01,9.823980e+00,2.087058e-01,9.923377e+01,2.472826e+01,1.098080e-02,6.772558e-04
4.000000e+00,8.052552e+01,1.706801e+01,-1.652283e-01,8.426000e-02,3.716285e-01,1.256158e-01,-7.000000e-03,2.729992e-03,-2.268871e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.925518e+00,-1.768008e+00,5.561866e-02,2.484863e+01,1.159199e+01,2.643245e-01,1.234945e+02,2.785411e+01,1.407423e-02,7.337602e-04
5.000000e+00,8.048928e+01,1.691226e+01,-1.660495e-01,7.726000e-02,3.734939e-01,1.254802e-01,-7.000000e-03,1.865356e-03,-1.355504e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.889279e+00,-1.612261e+00,5.643992e-02,2.973791e+01,1.320425e+01,3.207644e-01,1.473995e+02,3.045349e+01,1.725970e-02,7.862581e-04
6.000000e+00,8.044634e+01,1.679027e+01,-1.672336e-01,7.026000e-02,3.747784e-01,1.254098e-01,-7.000000e-03,1.284514e-03,-7.044747e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.846340e+00,-1.490272e+00,5.762395e-02,3.458425e+01,1.469452e+01,3.783884e-01,1.708866e+02,3.267440e+01,2.058022e-02,8.369130e-04
7.000000e+00,8.039685e+01,1.669259e+01,-1.686668e-01,6.326000e-02,3.756679e-01,1.253867e-01,-7.000000e-03,8.895129e-04,-2.307006e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.796846e+00,-1.392594e+00,5.905721e-02,3.938110e+01,1.608712e+01,4.374456e-01,1.938963e+02,3.461372e+01,2.406797e-02,8.867048e-04
8.000000e+00,8.034090e+01,1.661262e+01,-1.702748e-01,5.626000e-02,3.762852e-01,1.253985e-01,-7.000000e-03,6.173120e-04,1.180413e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.740898e+00,-1.312624e+00,6.066513e-02,4.412199e+01,1.739974e+01,4.981107e-01,2.163724e+02,3.633670e+01,2.774823e-02,9.360860e-04
9.000000e+00,8.027857e+01,1.654567e+01,-1.720079e-01,4.926000e-02,3.767126e-01,1.254359e-01,-7.000000e-03,4.273437e-04,3.737563e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.678567e+00,-1.245671e+00,6.239828e-02,4.880056e+01,1.864541e+01,5.605090e-01,2.382614e+02,3.788840e+01,3.164178e-02,9.852700e-04
