t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.426200e-01,-7.000000e-03,-2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,8.490000e-04
1.000000e+00,8.058908e+01,1.791065e+01,-1.631547e-01,1.052600e-01,3.406300e-01,1.626200e-01,-7.000000e-03,-2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.989076e+00,-2.610650e+00,5.354504e-02,9.989076e+00,5.610650e+00,9.759154e-02,4.989088e+01,1.581550e+01,4.807165e-03,1.698000e-03
2.000000e+00,8.057389e+01,1.735635e+01,-1.723538e-01,9.826000e-02,3.519683e-01,1.826200e-01,-7.000000e-03,1.133832e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.973887e+00,-2.056353e+00,6.274418e-02,1.496296e+01,7.667003e+00,1.603357e-01,7.463043e+01,2.004408e+01,8.743997e-03,2.275557e-03
3.000000e+00,8.054657e+01,1.697266e+01,-1.694828e-01,9.126000e-02,3.319683e-01,2.026200e-01,-7.000000e-03,-2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.946571e+00,-1.672658e+00,5.987314e-02,1.990953e+01,9.339661e+00,2.202089e-01,9.909899e+01,2.284187e+01,1.232879e-02,3.124557e-03
4.000000e+00,8.051501e+01,1.642327e+01,-1.782885e-01,8.426000e-02,3.519683e-01,2.226200e-01,-7.000000e-03,2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.915006e+00,-1.123274e+00,6.867891e-02,2.482454e+01,1.046294e+01,2.888878e-01,1.232563e+02,2.410361e+01,1.704558e-02,3.973557e-03
5.000000e+00,8.046916e+01,1.613178e+01,-1.717815e-01,7.726000e-02,3.719683e-01,2.426200e-01,-7.000000e-03,2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.869162e+00,-8.317759e-01,6.217184e-02,2.969370e+01,1.129471e+01,3.510596e-01,1.469650e+02,2.479546e+01,2.091092e-02,4.822557e-03
6.000000e+00,8.040906e+01,1.607189e+01,-1.652510e-01,7.026000e-02,3.519683e-01,2.626200e-01,-7.000000e-03,-2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.809061e+00,-7.718850e-01,5.564136e-02,3.450276e+01,1.206660e+01,4.067010e-01,1.700921e+02,2.539127e+01,2.400688e-02,5.671557e-03
7.000000e+00,8.034475e+01,1.581353e+01,-1.736817e-01,6.326000e-02,3.719683e-01,2.826200e-01,-7.000000e-03,2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.744748e+00,-5.135262e-01,6.407203e-02,3.924751e+01,1.258012e+01,4.707730e-01,1.926047e+02,2.565498e+01,2.811211e-02,6.520557e-03
8.000000e+00,8.026621e+01,1.578276e+01,-1.668315e-01,5.626000e-02,3.519683e-01,3.026200e-01,-7.000000e-03,-2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.666209e+00,-4.827587e-01,5.722186e-02,4.391372e+01,1.306288e+01,5.279949e-01,2.143782e+02,2.588803e+01,3.138645e-02,7.369557e-03
9.000000e+00,8.018347e+01,1.555062e+01,-1.749145e-01,4.926000e-02,3.719683e-01,3.226200e-01,-7.000000e-03,2.000000e-02,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.583472e+00,-2.506170e-01,6.530490e-02,4.849719e+01,1.331350e+01,5.932998e-01,2.353864e+02,2.595084e+01,3.565118e-02,8.218557e-03
1.000000e+01,8.008654e+01,1.554264e+01,-1.677460e-01,4.226000e-02,3.684867e-01,3.426200e-01,-7.000000e-03,-3.481650e-03,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.486543e+00,-2.426394e-01,5.813638e-02,5.298373e+01,1.355614e+01,6.514361e-01,2.555155e+02,2.600972e+01,3.903102e-02,8.679679e-03
1.100000e+01,7.998131e+01,1.549815e+01,-1.693164e-01,3.526000e-02,3.710797e-01,3.626200e-01,-7.000000e-03,2.593025e-03,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.381309e+00,-1.981501e-01,5.970675e-02,5.736504e+01,1.375429e+01,7.111429e-01,2.747114e+02,2.604898e+01,4.259591e-02,9.135403e-03
1.200000e+01,7.986626e+01,1.548206e+01,-1.684298e-01,2.826000e-02,3.708896e-01,3.826200e-01,-7.000000e-03,-1.900514e-04,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.266265e+00,-1.820594e-01,5.882022e-02,6.163131e+01,1.393635e+01,7.699631e-01,2.929124e+02,2.608213e+01,4.605573e-02,9.584439e-03
1.300000e+01,7.974212e+01,1.546318e+01,-1.684288e-01,2.126000e-02,3.708752e-01,4.026200e-01,-7.000000e-03,-1.448844e-05,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.142117e+00,-1.631803e-01,5.881914e-02,6.577343e+01,1.409953e+01,8.287823e-01,3.100695e+02,2.610875e+01,4.951542e-02,1.003344e-02
1.400000e+01,7.960883e+01,1.544337e+01,-1.681911e-01,1.426000e-02,3.709059e-01,4.226200e-01,-7.000000e-03,3.077944e-05,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-4.008835e+00,-1.433692e-01,5.858149e-02,6.978226e+01,1.424290e+01,8.873637e-01,3.261403e+02,2.612931e+01,5.294721e-02,1.048244e-02
1.500000e+01,7.946642e+01,1.542298e+01,-1.677659e-01,7.260000e-03,3.711902e-01,4.426200e-01,-7.000000e-03,2.842525e-04,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-3.866418e+00,-1.229783e-01,5.815623e-02,7.364868e+01,1.436587e+01,9.455200e-01,3.410895e+02,2.614443e+01,5.632936e-02,1.093152e-02
1.600000e+01,7.931482e+01,1.540441e+01,-1.670756e-01,2.600000e-04,3.713285e-01,4.626200e-01,-7.000000e-03,1.383535e-04,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-3.714815e+00,-1.044090e-01,5.746595e-02,7.736349e+01,1.447028e+01,1.002986e+00,3.548893e+02,2.615533e+01,5.963170e-02,1.138054e-02
1.700000e+01,7.915408e+01,1.538581e+01,-1.662690e-01,0.000000e+00,3.715856e-01,4.426200e-01,-2.600000e-04,2.570887e-04,-2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-3.554075e+00,-8.581067e-02,5.665938e-02,8.091757e+01,1.455609e+01,1.059645e+00,3.675208e+02,2.616270e+01,6.284198e-02,1.178067e-02
1.800000e+01,7.899625e+01,1.536817e+01,-1.633303e-01,0.000000e+00,3.736852e-01,4.226200e-01,0.000000e+00,2.099559e-03,-2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-3.396247e+00,-6.816847e-02,5.372068e-02,8.431381e+01,1.462426e+01,1.113366e+00,3.790553e+02,2.616734e+01,6.572789e-02,1.218508e-02
1.900000e+01,7.884111e+01,1.536978e+01,-1.598269e-01,0.000000e+00,3.738528e-01,4.026200e-01,0.000000e+00,1.676124e-04,-2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-3.241108e+00,-6.978457e-02,5.021724e-02,8.755492e+01,1.469405e+01,1.163583e+00,3.895600e+02,2.617221e+01,6.824966e-02,1.258511e-02
2.000000e+01,7.868913e+01,1.536951e+01,-1.572256e-01,0.000000e+00,3.737965e-01,3.826200e-01,0.000000e+00,-5.632264e-05,-2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-3.089131e+00,-6.950576e-02,4.761595e-02,9.064405e+01,1.476355e+01,1.211199e+00,3.991028e+02,2.617704e+01,7.051694e-02,1.298511e-02
2.100000e+01,7.854037e+01,1.536536e+01,-1.548849e-01,0.000000e+00,3.743119e-01,4.026200e-01,0.000000e+00,5.154260e-04,2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-2.940366e+00,-6.536440e-02,4.527524e-02,9.358442e+01,1.482892e+01,1.256474e+00,4.077485e+02,2.618132e+01,7.256679e-02,1.338538e-02
2.200000e+01,7.838867e+01,1.536348e+01,-1.527043e-01,0.000000e+00,3.727392e-01,3.826200e-01,0.000000e+00,-1.572728e-03,-2.000000e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-2.788670e+00,-6.347631e-02,4.309471e-02,9.637309e+01,1.489239e+01,1.299569e+00,4.155252e+02,2.618535e+01,7.442394e-02,1.378785e-02
