t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.256445e-01,-7.000000e-03,-2.000000e-02,3.024527e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,4.581478e-04
1.000000e+00,8.059162e+01,1.791065e+01,-1.630713e-01,1.052600e-01,3.406300e-01,1.257674e-01,-7.000000e-03,-2.000000e-02,1.228450e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.991622e+00,-2.610650e+00,5.346168e-02,9.991622e+00,5.610650e+00,9.750818e-02,4.991629e+01,1.581550e+01,4.798246e-03,9.071629e-04
2.000000e+00,8.058196e+01,1.735640e+01,-1.723274e-01,9.826000e-02,3.206300e-01,1.262772e-01,-7.000000e-03,-2.000000e-02,5.097853e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.981958e+00,-2.056397e+00,6.271782e-02,1.497358e+01,7.667047e+00,1.602260e-01,7.473620e+01,2.004426e+01,8.731770e-03,1.356423e-03
3.000000e+00,8.057095e+01,1.665376e+01,-1.814666e-01,9.126000e-02,3.080995e-01,1.268628e-01,-7.000000e-03,-1.253048e-02,5.856439e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.970951e+00,-1.353758e+00,7.185694e-02,1.994453e+01,9.020805e+00,2.320829e-01,9.944656e+01,2.187692e+01,1.389519e-02,1.562779e-03
4.000000e+00,8.055671e+01,1.589366e+01,-1.876775e-01,8.426000e-02,3.280995e-01,1.272782e-01,-7.000000e-03,2.000000e-02,4.153718e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.956714e+00,-5.936561e-01,7.806783e-02,2.490125e+01,9.614461e+00,3.101508e-01,1.240156e+02,2.222935e+01,1.998978e-02,2.011951e-03
5.000000e+00,8.053111e+01,1.541296e+01,-1.815975e-01,7.726000e-02,3.480995e-01,1.269048e-01,-7.000000e-03,2.000000e-02,-3.734189e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.931110e+00,-1.129564e-01,7.198790e-02,2.983236e+01,9.727417e+00,3.821387e-01,1.483314e+02,2.224211e+01,2.517203e-02,2.461091e-03
6.000000e+00,8.049427e+01,1.518343e+01,-1.756635e-01,7.026000e-02,3.680995e-01,1.267070e-01,-7.000000e-03,2.000000e-02,-1.977250e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.894274e+00,1.165709e-01,6.605393e-02,3.472663e+01,9.843988e+00,4.481926e-01,1.722853e+02,2.225570e+01,2.953516e-02,2.910130e-03
7.000000e+00,8.044620e+01,1.517957e+01,-1.698903e-01,6.326000e-02,3.686637e-01,1.265361e-01,-7.000000e-03,5.641653e-04,-1.709422e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.846198e+00,1.204263e-01,6.028071e-02,3.957283e+01,9.964414e+00,5.084733e-01,1.957710e+02,2.227020e+01,3.316892e-02,2.959477e-03
8.000000e+00,8.039177e+01,1.518082e+01,-1.715621e-01,5.626000e-02,3.679913e-01,1.268672e-01,-7.000000e-03,-6.723900e-04,3.311033e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.791767e+00,1.191802e-01,6.195249e-02,4.436459e+01,1.008359e+01,5.704258e-01,2.187320e+02,2.228440e+01,3.700703e-02,3.009039e-03
9.000000e+00,8.033123e+01,1.517396e+01,-1.737214e-01,4.926000e-02,3.685803e-01,1.271321e-01,-7.000000e-03,5.889851e-04,2.649163e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.731226e+00,1.260433e-01,6.411180e-02,4.909582e+01,1.020964e+01,6.345376e-01,2.411165e+02,2.230029e+01,4.111735e-02,3.058456e-03
1.000000e+01,8.026428e+01,1.517248e+01,-1.754168e-01,4.226000e-02,3.688186e-01,1.273455e-01,-7.000000e-03,2.383459e-04,2.134398e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.664275e+00,1.275241e-01,6.580719e-02,5.376010e+01,1.033716e+01,7.003448e-01,2.628720e+02,2.231655e+01,4.544794e-02,3.107558e-03
1.100000e+01,8.019102e+01,1.517214e+01,-1.772611e-01,3.526000e-02,3.690571e-01,1.275751e-01,-7.000000e-03,2.384469e-04,2.295060e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.591020e+00,1.278620e-01,6.765145e-02,5.835112e+01,1.046502e+01,7.679962e-01,2.839494e+02,2.233290e+01,5.002466e-02,3.156668e-03
1.200000e+01,8.011147e+01,1.517269e+01,-1.791212e-01,2.826000e-02,3.692635e-01,1.278077e-01,-7.000000e-03,2.064163e-04,2.326263e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.511465e+00,1.273089e-01,6.951158e-02,6.286258e+01,1.059233e+01,8.375078e-01,3.043027e+02,2.234911e+01,5.485652e-02,3.205765e-03
1.300000e+01,8.002563e+01,1.517358e+01,-1.810089e-01,2.126000e-02,3.694627e-01,1.280454e-01,-7.000000e-03,1.991663e-04,2.377414e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.425627e+00,1.264170e-01,7.139927e-02,6.728821e+01,1.071875e+01,9.089071e-01,3.238889e+02,2.236509e+01,5.995438e-02,3.254861e-03
1.400000e+01,7.993351e+01,1.517457e+01,-1.829145e-01,1.426000e-02,3.696612e-01,1.282877e-01,-7.000000e-03,1.985486e-04,2.422830e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.333514e+00,1.254320e-01,7.330489e-02,7.162172e+01,1.084418e+01,9.822120e-01,3.426683e+02,2.238082e+01,6.532798e-02,3.303959e-03
1.500000e+01,7.983513e+01,1.517549e+01,-1.848354e-01,7.260000e-03,3.698645e-01,1.285345e-01,-7.000000e-03,2.033292e-04,2.468147e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.235135e+00,1.245081e-01,7.522577e-02,7.585686e+01,1.096869e+01,1.057438e+00,3.606046e+02,2.239633e+01,7.098690e-02,3.353061e-03
1.600000e+01,7.973050e+01,1.517627e+01,-1.867693e-01,2.600000e-04,3.700756e-01,1.287858e-01,-7.000000e-03,2.110717e-04,2.512886e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.130495e+00,1.237300e-01,7.715972e-02,7.998735e+01,1.109242e+01,1.134597e+00,3.776656e+02,2.241164e+01,7.694052e-02,3.402169e-03
1.700000e+01,7.961960e+01,1.517686e+01,-1.887152e-01,0.000000e+00,3.702963e-01,1.290416e-01,-2.600000e-04,2.206589e-04,2.557454e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.019601e+00,1.231447e-01,7.910555e-02,8.400695e+01,1.121556e+01,1.213703e+00,3.938228e+02,2.242680e+01,8.319821e-02,3.402351e-03
1.800000e+01,7.950852e+01,1.517722e+01,-1.889482e-01,0.000000e+00,3.705276e-01,1.291834e-01,0.000000e+00,2.313804e-04,1.418245e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.908524e+00,1.227767e-01,7.933861e-02,8.791548e+01,1.133834e+01,1.293042e+00,4.090994e+02,2.244187e+01,8.949282e-02,3.402424e-03
1.900000e+01,7.939751e+01,1.517749e+01,-1.891081e-01,0.000000e+00,3.707615e-01,1.293444e-01,0.000000e+00,2.338846e-04,1.610229e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.797512e+00,1.225072e-01,7.949852e-02,9.171299e+01,1.146085e+01,1.372540e+00,4.235205e+02,2.245688e+01,9.581284e-02,3.402505e-03
2.000000e+01,7.928656e+01,1.517769e+01,-1.892656e-01,0.000000e+00,3.709977e-01,1.295105e-01,0.000000e+00,2.361306e-04,1.661470e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.686562e+00,1.223067e-01,7.965595e-02,9.539955e+01,1.158316e+01,1.452196e+00,4.371112e+02,2.247184e+01,1.021579e-01,3.402588e-03
