t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.476678e-01,-7.000000e-03,-2.000000e-02,2.504778e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,1.076391e-03
1.000000e+00,8.058832e+01,1.791065e+01,-1.631794e-01,1.052600e-01,3.406300e-01,1.525597e-01,-7.000000e-03,-2.000000e-02,4.891929e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.988319e+00,-2.610650e+00,5.356982e-02,9.988319e+00,5.610650e+00,9.761632e-02,4.988332e+01,1.581550e+01,4.809820e-03,1.549322e-03
2.000000e+00,8.057464e+01,1.735634e+01,-1.722588e-01,9.826000e-02,3.206300e-01,1.575957e-01,-7.000000e-03,-2.000000e-02,5.036014e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.974640e+00,-2.056339e+00,6.264913e-02,1.496296e+01,7.666990e+00,1.602655e-01,7.463037e+01,2.004403e+01,8.734734e-03,2.023684e-03
3.000000e+00,8.055894e+01,1.665360e+01,-1.811757e-01,9.126000e-02,3.006300e-01,1.626266e-01,-7.000000e-03,-2.000000e-02,5.030907e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.958943e+00,-1.353601e+00,7.156604e-02,1.992190e+01,9.020591e+00,2.318315e-01,9.922148e+01,2.187626e+01,1.385643e-02,2.497994e-03
4.000000e+00,8.054123e+01,1.581733e+01,-1.899275e-01,8.426000e-02,2.806300e-01,1.675953e-01,-7.000000e-03,-2.000000e-02,4.968646e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.941229e+00,-5.173316e-01,8.031789e-02,2.486313e+01,9.537922e+00,3.121494e-01,1.236372e+02,2.214390e+01,2.030739e-02,2.971681e-03
5.000000e+00,8.052151e+01,1.486096e+01,-1.985134e-01,7.726000e-02,3.006300e-01,1.724917e-01,-7.000000e-03,2.000000e-02,4.896384e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.921507e+00,4.390433e-01,8.890381e-02,2.978464e+01,9.976966e+00,4.010532e-01,1.478585e+02,2.233665e+01,2.821128e-02,3.444656e-03
6.000000e+00,8.048975e+01,1.420352e+01,-1.919187e-01,7.026000e-02,3.206300e-01,1.687755e-01,-7.000000e-03,2.000000e-02,-3.716125e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.889753e+00,1.096482e+00,8.230905e-02,3.467439e+01,1.107345e+01,4.833622e-01,1.717681e+02,2.353893e+01,3.498606e-02,3.907465e-03
7.000000e+00,8.044727e+01,1.381484e+01,-1.853904e-01,6.326000e-02,3.406300e-01,1.652954e-01,-7.000000e-03,2.000000e-02,-3.480178e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.847274e+00,1.485162e+00,7.578073e-02,3.952166e+01,1.255861e+01,5.591430e-01,1.952642e+02,2.574463e+01,4.072878e-02,4.368577e-03
8.000000e+00,8.039405e+01,1.366767e+01,-1.790527e-01,5.626000e-02,3.606300e-01,1.619449e-01,-7.000000e-03,2.000000e-02,-3.350500e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.794054e+00,1.632327e+00,6.944309e-02,4.431572e+01,1.419094e+01,6.285861e-01,2.182472e+02,2.840912e+01,4.555112e-02,4.828803e-03
9.000000e+00,8.033009e+01,1.373742e+01,-1.729059e-01,4.926000e-02,3.806300e-01,1.586932e-01,-7.000000e-03,2.000000e-02,-3.251614e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.730091e+00,1.562584e+00,6.329623e-02,4.904581e+01,1.575352e+01,6.918823e-01,2.406209e+02,3.085079e+01,4.955754e-02,5.288376e-03
