t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.262600e-01,4.006300e-01,1.138107e-01,7.000000e-03,2.000000e-02,-8.809301e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,5.266038e-04
1.000000e+00,8.059595e+01,1.831804e+01,-1.444031e-01,1.332600e-01,4.206300e-01,1.171295e-01,7.000000e-03,2.000000e-02,3.318826e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.995952e+00,-3.018040e+00,3.479346e-02,9.995952e+00,6.018040e+00,7.883996e-02,4.995954e+01,1.810856e+01,3.150679e-03,9.866184e-04
2.000000e+00,8.059269e+01,1.853785e+01,-1.354054e-01,1.402600e-01,4.306300e-01,1.186206e-01,7.000000e-03,1.000000e-02,1.491108e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.992690e+00,-3.237855e+00,2.579574e-02,1.498864e+01,9.255895e+00,1.046357e-01,7.488648e+01,2.859227e+01,3.816100e-03,1.137842e-03
3.000000e+00,8.059300e+01,1.883743e+01,-1.302407e-01,1.472600e-01,4.306300e-01,1.193537e-01,7.000000e-03,0.000000e+00,7.330191e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.992997e+00,-3.537431e+00,2.063103e-02,1.998164e+01,1.279333e+01,1.252667e-01,9.981651e+01,4.110569e+01,4.241739e-03,1.187379e-03
4.000000e+00,8.059949e+01,1.910706e+01,-1.288631e-01,1.542600e-01,4.306300e-01,1.194570e-01,7.000000e-03,0.000000e+00,1.033539e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.999494e+00,-3.807060e+00,1.925347e-02,2.498113e+01,1.660039e+01,1.445202e-01,1.248114e+02,5.559939e+01,4.612435e-03,1.236390e-03
5.000000e+00,8.061227e+01,1.934992e+01,-1.274566e-01,1.612600e-01,4.306300e-01,1.196924e-01,7.000000e-03,0.000000e+00,2.353787e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-5.012266e+00,-4.049921e+00,1.784699e-02,2.999340e+01,2.065031e+01,1.623672e-01,1.499343e+02,7.200125e+01,4.930950e-03,1.285445e-03
6.000000e+00,8.063128e+01,1.956888e+01,-1.260308e-01,1.682600e-01,4.306300e-01,1.199307e-01,7.000000e-03,0.000000e+00,2.382859e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-5.031284e+00,-4.268879e+00,1.642114e-02,3.502468e+01,2.491919e+01,1.787883e-01,1.752481e+02,9.022458e+01,5.200604e-03,1.334502e-03
7.000000e+00,8.065654e+01,1.976651e+01,-1.245839e-01,1.692600e-01,4.306300e-01,1.201725e-01,1.000000e-03,0.000000e+00,2.418535e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-5.056536e+00,-4.466514e+00,1.497424e-02,4.008122e+01,2.938570e+01,1.937626e-01,2.008166e+02,1.101743e+02,5.424832e-03,1.335560e-03
8.000000e+00,8.068261e+01,1.994514e+01,-1.246522e-01,1.692600e-01,4.306300e-01,1.201106e-01,0.000000e+00,0.000000e+00,-6.190647e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.082615e+00,-4.645144e+00,1.504262e-02,4.516383e+01,3.403084e+01,2.088052e-01,2.266496e+02,1.317517e+02,5.651112e-03,1.335564e-03
9.000000e+00,8.070866e+01,2.010669e+01,-1.249707e-01,1.692600e-01,4.306300e-01,1.200492e-01,0.000000e+00,0.000000e+00,-6.142156e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.108663e+00,-4.806695e+00,1.536112e-02,5.027250e+01,3.883754e+01,2.241663e-01,2.527481e+02,1.548560e+02,5.887076e-03,1.335568e-03
1.000000e+01,8.073468e+01,2.025287e+01,-1.252903e-01,1.692600e-01,4.306300e-01,1.199959e-01,0.000000e+00,0.000000e+00,-5.330204e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.134682e+00,-4.952874e+00,1.568072e-02,5.540718e+01,4.379041e+01,2.398470e-01,2.791130e+02,1.793870e+02,6.132961e-03,1.335571e-03
1.100000e+01,8.076067e+01,2.038522e+01,-1.256111e-01,1.692600e-01,4.306300e-01,1.199424e-01,0.000000e+00,0.000000e+00,-5.349018e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.160668e+00,-5.085217e+00,1.600143e-02,6.056785e+01,4.887563e+01,2.558485e-01,3.057455e+02,2.052464e+02,6.389007e-03,1.335574e-03
1.200000e+01,8.078662e+01,2.050511e+01,-1.259328e-01,1.692600e-01,4.306300e-01,1.198887e-01,0.000000e+00,0.000000e+00,-5.365415e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.186624e+00,-5.205108e+00,1.632316e-02,6.575447e+01,5.408074e+01,2.721716e-01,3.326466e+02,2.323395e+02,6.655452e-03,1.335577e-03
1.300000e+01,8.081255e+01,2.061379e+01,-1.262555e-01,1.692600e-01,4.306300e-01,1.198349e-01,0.000000e+00,0.000000e+00,-5.382213e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.212549e+00,-5.313790e+00,1.664589e-02,7.096702e+01,5.939453e+01,2.888175e-01,3.598172e+02,2.605759e+02,6.932538e-03,1.335580e-03
1.400000e+01,8.083844e+01,2.071238e+01,-1.265792e-01,1.692600e-01,4.306300e-01,1.197809e-01,0.000000e+00,0.000000e+00,-5.399017e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.238442e+00,-5.412383e+00,1.696963e-02,7.620546e+01,6.480691e+01,3.057871e-01,3.872585e+02,2.898698e+02,7.220506e-03,1.335582e-03
1.500000e+01,8.086430e+01,2.080190e+01,-1.269040e-01,1.692600e-01,4.306300e-01,1.197268e-01,0.000000e+00,0.000000e+00,-5.415829e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.264305e+00,-5.501895e+00,1.729438e-02,8.146977e+01,7.030881e+01,3.230815e-01,4.149714e+02,3.201406e+02,7.519602e-03,1.335585e-03
1.600000e+01,8.089014e+01,2.088323e+01,-1.272298e-01,1.692600e-01,4.306300e-01,1.196725e-01,0.000000e+00,0.000000e+00,-5.432650e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.290137e+00,-5.583234e+00,1.762013e-02,8.675990e+01,7.589204e+01,3.407016e-01,4.429570e+02,3.513132e+02,7.830071e-03,1.335588e-03
1.700000e+01,8.091594e+01,2.095722e+01,-1.275565e-01,1.692600e-01,4.306300e-01,1.196180e-01,0.000000e+00,0.000000e+00,-5.449479e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-5.315937e+00,-5.657216e+00,1.794690e-02,9.207584e+01,8.154926e+01,3.586485e-01,4.712162e+02,3.833172e+02,8.152162e-03,1.335591e-03
