t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,3.606300e-01,1.256445e-01,-7.000000e-03,-2.000000e-02,3.024527e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,4.581478e-04
1.000000e+00,8.059162e+01,1.791065e+01,-1.630713e-01,1.052600e-01,3.406300e-01,1.257664e-01,-7.000000e-03,-2.000000e-02,1.218697e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.991622e+00,-2.610650e+00,5.346168e-02,9.991622e+00,5.610650e+00,9.750818e-02,4.991629e+01,1.581550e+01,4.798246e-03,9.071626e-04
2.000000e+00,8.058196e+01,1.735640e+01,-1.723274e-01,9.826000e-02,3.206300e-01,1.262782e-01,-7.000000e-03,-2.000000e-02,5.118405e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.981959e+00,-2.056397e+00,6.271781e-02,1.497358e+01,7.667047e+00,1.602260e-01,7.473620e+01,2.004426e+01,8.731770e-03,1.356425e-03
3.000000e+00,8.057095e+01,1.665376e+01,-1.814666e-01,9.126000e-02,3.006300e-01,1.268664e-01,-7.000000e-03,-2.000000e-02,5.881375e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.970951e+00,-1.353758e+00,7.185696e-02,1.994453e+01,9.020805e+00,2.320830e-01,9.944656e+01,2.187692e+01,1.389519e-02,1.805770e-03
4.000000e+00,8.055859e+01,1.581761e+01,-1.904833e-01,8.426000e-02,2.806300e-01,1.274741e-01,-7.000000e-03,-2.000000e-02,6.077721e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.958588e+00,-5.176119e-01,8.087365e-02,2.490312e+01,9.538417e+00,3.129566e-01,1.240342e+02,2.214484e+01,2.043574e-02,2.255140e-03
5.000000e+00,8.054487e+01,1.486136e+01,-1.993761e-01,7.726000e-02,2.606300e-01,1.280961e-01,-7.000000e-03,-2.000000e-02,6.219857e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.944867e+00,4.386395e-01,8.976651e-02,2.984799e+01,9.977056e+00,4.027231e-01,1.484859e+02,2.233725e+01,2.849376e-02,2.704527e-03
6.000000e+00,8.052979e+01,1.379708e+01,-2.081446e-01,7.026000e-02,2.602480e-01,1.287298e-01,-7.000000e-03,-3.820313e-04,6.336732e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.929785e+00,1.502924e+00,9.853494e-02,3.477777e+01,1.147998e+01,5.012581e-01,1.727887e+02,2.459603e+01,3.820290e-02,2.754074e-03
7.000000e+00,8.050842e+01,1.283524e+01,-2.094219e-01,6.326000e-02,2.802480e-01,1.288688e-01,-7.000000e-03,2.000000e-02,1.389700e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.908418e+00,2.464755e+00,9.981227e-02,3.968619e+01,1.394473e+01,6.010703e-01,1.968812e+02,3.067105e+01,4.816539e-02,3.203094e-03
8.000000e+00,8.047573e+01,1.217291e+01,-2.030528e-01,5.626000e-02,3.002480e-01,1.285898e-01,-7.000000e-03,2.000000e-02,-2.789342e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.875732e+00,3.127094e+00,9.344322e-02,4.456192e+01,1.707183e+01,6.945135e-01,2.206540e+02,4.044976e+01,5.689702e-02,3.652171e-03
9.000000e+00,8.043181e+01,1.177986e+01,-1.968327e-01,4.926000e-02,3.202480e-01,1.284318e-01,-7.000000e-03,2.000000e-02,-1.580306e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.831807e+00,3.520141e+00,8.722303e-02,4.939373e+01,2.059197e+01,7.817366e-01,2.440003e+02,5.284116e+01,6.450488e-02,4.101196e-03
1.000000e+01,8.037664e+01,1.162883e+01,-1.907707e-01,4.226000e-02,3.402480e-01,1.282900e-01,-7.000000e-03,2.000000e-02,-1.418021e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.776641e+00,3.671173e+00,8.116108e-02,5.417037e+01,2.426314e+01,8.628977e-01,2.668166e+02,6.631867e+01,7.109200e-02,4.550216e-03
1.100000e+01,8.031025e+01,1.169517e+01,-1.848683e-01,3.526000e-02,3.202480e-01,1.281478e-01,-7.000000e-03,-2.000000e-02,-1.422471e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.710251e+00,3.604835e+00,7.525865e-02,5.888062e+01,2.786798e+01,9.381563e-01,2.890031e+02,7.931350e+01,7.675587e-02,4.999237e-03
1.200000e+01,8.024266e+01,1.155086e+01,-1.940916e-01,2.826000e-02,3.402480e-01,1.290305e-01,-7.000000e-03,2.000000e-02,8.827243e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.642664e+00,3.749143e+00,8.448194e-02,6.352329e+01,3.161712e+01,1.022638e+00,3.105574e+02,9.336958e+01,8.389307e-02,5.449016e-03
1.300000e+01,8.016372e+01,1.162269e+01,-1.882400e-01,2.126000e-02,3.202480e-01,1.286858e-01,-7.000000e-03,-2.000000e-02,-3.447224e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.563723e+00,3.677312e+00,7.863040e-02,6.808701e+01,3.529443e+01,1.101269e+00,3.313850e+02,1.068922e+02,9.007581e-02,5.898135e-03
1.400000e+01,8.008362e+01,1.148352e+01,-1.974711e-01,1.426000e-02,3.402480e-01,1.295404e-01,-7.000000e-03,2.000000e-02,8.546415e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.483620e+00,3.816477e+00,8.786143e-02,7.257063e+01,3.911091e+01,1.189130e+00,3.514879e+02,1.214577e+02,9.779544e-02,6.347865e-03
1.500000e+01,7.999219e+01,1.155935e+01,-1.916597e-01,7.260000e-03,3.202480e-01,1.291998e-01,-7.000000e-03,-2.000000e-02,-3.406086e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.392192e+00,3.740648e+00,8.205006e-02,7.696282e+01,4.285156e+01,1.271180e+00,3.707792e+02,1.354501e+02,1.045276e-01,6.796981e-03
1.600000e+01,7.989960e+01,1.142406e+01,-2.008987e-01,2.600000e-04,3.402480e-01,1.300599e-01,-7.000000e-03,2.000000e-02,8.600667e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.299604e+00,3.875942e+00,9.128910e-02,8.126243e+01,4.672750e+01,1.362469e+00,3.892658e+02,1.504731e+02,1.128614e-01,7.246721e-03
1.700000e+01,7.979572e+01,1.150267e+01,-1.951298e-01,0.000000e+00,3.202480e-01,1.297287e-01,-2.600000e-04,-2.000000e-02,-3.312105e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.195717e+00,3.797331e+00,8.552016e-02,8.545814e+01,5.052483e+01,1.447989e+00,4.068698e+02,1.648928e+02,1.201750e-01,7.646898e-03
