t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,8.060000e+01,1.830000e+01,-1.536561e-01,1.122600e-01,4.006300e-01,1.558381e-01,-7.000000e-03,2.000000e-02,3.321807e-02,7.560000e+01,1.530000e+01,-1.096096e-01,-5.000000e+00,-3.000000e+00,4.404650e-02,5.000000e+00,3.000000e+00,4.404650e-02,2.500000e+01,9.000000e+00,1.940094e-03,1.552440e-03
1.000000e+00,8.057705e+01,1.831804e+01,-1.481933e-01,1.052600e-01,4.016426e-01,1.578278e-01,-7.000000e-03,1.012631e-03,1.989771e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-4.977048e+00,-3.018040e+00,3.858370e-02,9.977048e+00,6.018040e+00,8.263020e-02,4.977101e+01,1.810856e+01,3.428796e-03,1.606425e-03
2.000000e+00,8.054728e+01,1.834399e+01,-1.495621e-01,9.826000e-02,3.967971e-01,1.585488e-01,-7.000000e-03,-4.845538e-03,7.209626e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.947275e+00,-3.043994e+00,3.995250e-02,1.492432e+01,9.062034e+00,1.225827e-01,7.424654e+01,2.737446e+01,5.024998e-03,1.679424e-03
3.000000e+00,8.051235e+01,1.831727e+01,-1.531301e-01,9.126000e-02,3.965656e-01,1.589152e-01,-7.000000e-03,-2.315233e-04,3.664232e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.912352e+00,-3.017266e+00,4.352048e-02,1.983668e+01,1.207930e+01,1.661032e-01,9.837775e+01,3.647836e+01,6.919031e-03,1.728612e-03
4.000000e+00,8.047118e+01,1.828997e+01,-1.549424e-01,8.426000e-02,3.974326e-01,1.591226e-01,-7.000000e-03,8.669967e-04,2.074160e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.871181e+00,-2.989974e+00,4.533282e-02,2.470786e+01,1.506927e+01,2.114360e-01,1.221062e+02,4.541830e+01,8.974095e-03,1.778406e-03
5.000000e+00,8.042352e+01,1.827319e+01,-1.563546e-01,7.726000e-02,3.984224e-01,1.592319e-01,-7.000000e-03,9.898811e-04,1.092572e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.823519e+00,-2.973188e+00,4.674493e-02,2.953138e+01,1.804246e+01,2.581809e-01,1.453725e+02,5.425815e+01,1.115918e-02,1.828398e-03
6.000000e+00,8.036936e+01,1.826693e+01,-1.577417e-01,7.026000e-02,3.992862e-01,1.592682e-01,-7.000000e-03,8.637854e-04,3.627792e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.769359e+00,-2.966929e+00,4.813208e-02,3.430073e+01,2.100939e+01,3.063130e-01,1.681193e+02,6.306082e+01,1.347588e-02,1.878145e-03
7.000000e+00,8.030875e+01,1.826869e+01,-1.591989e-01,6.326000e-02,3.999850e-01,1.592447e-01,-7.000000e-03,6.988175e-04,-2.346829e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.708752e+00,-2.968686e+00,4.958931e-02,3.900949e+01,2.397808e+01,3.559023e-01,1.902916e+02,7.187391e+01,1.593498e-02,1.927634e-03
8.000000e+00,8.024176e+01,1.827580e+01,-1.607405e-01,5.626000e-02,4.005355e-01,1.591697e-01,-7.000000e-03,5.504607e-04,-7.499523e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-4.641759e+00,-2.975804e+00,5.113088e-02,4.365125e+01,2.695388e+01,4.070332e-01,2.118375e+02,8.072933e+01,1.854935e-02,1.976943e-03
9.000000e+00,8.016843e+01,1.828607e+01,-1.623594e-01,5.040189e-02,4.009636e-01,1.590488e-01,-5.858108e-03,4.280827e-04,-1.209115e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.568434e+00,-2.986068e+00,5.274981e-02,4.821968e+01,2.993995e+01,4.597830e-01,2.327081e+02,8.964593e+01,2.133189e-02,2.011458e-03
1.000000e+01,8.008985e+01,1.829775e+01,-1.637531e-01,5.407815e-02,4.012932e-01,1.588868e-01,3.676260e-03,3.295741e-04,-1.620393e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.489850e+00,-2.997750e+00,5.414343e-02,5.270953e+01,3.293770e+01,5.139264e-01,2.528669e+02,9.863243e+01,2.426340e-02,2.025108e-03
1.100000e+01,8.001463e+01,1.830957e+01,-1.627612e-01,5.742268e-02,4.015495e-01,1.586932e-01,3.344528e-03,2.563147e-04,-1.935165e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.414628e+00,-3.009567e+00,5.315161e-02,5.712416e+01,3.594727e+01,5.670781e-01,2.723558e+02,1.076899e+02,2.708849e-02,2.036397e-03
1.200000e+01,7.994249e+01,1.832085e+01,-1.618740e-01,6.046308e-02,4.017461e-01,1.584752e-01,3.040404e-03,1.966292e-04,-2.180623e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.342487e+00,-3.020846e+00,5.226439e-02,6.146665e+01,3.896811e+01,6.193424e-01,2.912130e+02,1.168154e+02,2.982006e-02,2.045727e-03
1.300000e+01,7.987317e+01,1.833111e+01,-1.610800e-01,6.322688e-02,4.018921e-01,1.582377e-01,2.763800e-03,1.459587e-04,-2.375087e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.273167e+00,-3.031113e+00,5.147034e-02,6.573981e+01,4.199923e+01,6.708128e-01,3.094730e+02,1.260031e+02,3.246926e-02,2.053444e-03
1.400000e+01,7.980643e+01,1.834003e+01,-1.603693e-01,6.574030e-02,4.019941e-01,1.579846e-01,2.513419e-03,1.020174e-04,-2.531189e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.206432e+00,-3.040027e+00,5.075971e-02,6.994624e+01,4.503925e+01,7.215725e-01,3.271670e+02,1.352449e+02,3.504581e-02,2.059835e-03
1.500000e+01,7.974206e+01,1.834735e+01,-1.597335e-01,6.802777e-02,4.020576e-01,1.577188e-01,2.287469e-03,6.350765e-05,-2.657835e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.142065e+00,-3.047346e+00,5.012388e-02,7.408831e+01,4.808660e+01,7.716964e-01,3.443237e+02,1.445312e+02,3.755821e-02,2.065143e-03
1.600000e+01,7.967987e+01,1.835290e+01,-1.591647e-01,7.011177e-02,4.020872e-01,1.574426e-01,2.083996e-03,2.959282e-05,-2.761435e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.079871e+00,-3.052902e+00,4.955511e-02,7.816818e+01,5.113950e+01,8.212515e-01,3.609691e+02,1.538514e+02,4.001392e-02,2.069563e-03
1.700000e+01,7.961968e+01,1.835658e+01,-1.586561e-01,7.201282e-02,4.020869e-01,1.571580e-01,1.901047e-03,-3.297176e-07,-2.846696e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-4.019675e+00,-3.056585e+00,4.904643e-02,8.218786e+01,5.419609e+01,8.702979e-01,3.771269e+02,1.631941e+02,4.241947e-02,2.073258e-03
1.800000e+01,7.956132e+01,1.835833e+01,-1.582012e-01,7.374957e-02,4.020601e-01,1.568662e-01,1.736750e-03,-2.673202e-05,-2.917130e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.961317e+00,-3.058333e+00,4.859153e-02,8.614917e+01,5.725442e+01,9.188895e-01,3.928189e+02,1.725475e+02,4.478061e-02,2.076360e-03
1.900000e+01,7.950466e+01,1.835812e+01,-1.577943e-01,7.533891e-02,4.020101e-01,1.565687e-01,1.589341e-03,-5.000570e-05,-2.975404e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.904655e+00,-3.058124e+00,4.818471e-02,9.005383e+01,6.031254e+01,9.670742e-01,4.080653e+02,1.818996e+02,4.710238e-02,2.078977e-03
2.000000e+01,7.944956e+01,1.835596e+01,-1.574305e-01,7.679609e-02,4.019396e-01,1.562663e-01,1.457186e-03,-7.048789e-05,-3.023575e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.849560e+00,-3.055963e+00,4.782085e-02,9.390339e+01,6.336851e+01,1.014895e+00,4.228844e+02,1.912385e+02,4.938921e-02,2.081197e-03
2.100000e+01,7.939592e+01,1.835188e+01,-1.571049e-01,7.813487e-02,4.018512e-01,1.559600e-01,1.338778e-03,-8.847556e-05,-3.063245e-04,7.560000e+01,1.530000e+01,-1.096096e-01,-3.795917e+00,-3.051882e+00,4.749532e-02,9.769930e+01,6.642039e+01,1.062390e+00,4.372933e+02,2.005525e+02,5.164502e-02,2.083091e-03
