t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.199738e-01,3.398085e-01,-7.000000e-03,-8.462050e-04,1.854768e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.971641e-05
1.000000e+00,1.021828e+02,5.348185e+01,-1.472084e-01,2.564900e-01,6.189261e-01,3.398305e-01,-7.000000e-03,-1.047662e-03,2.190292e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.982804e+00,-2.981853e+00,3.023957e-02,9.982804e+00,5.981853e+00,5.807002e-02,4.982833e+01,1.789145e+01,1.688966e-03,9.981448e-05
2.000000e+00,1.021597e+02,5.345058e+01,-1.497363e-01,2.494900e-01,6.180636e-01,3.398489e-01,-7.000000e-03,-8.625325e-04,1.849529e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.959686e+00,-2.950577e+00,3.276748e-02,1.494249e+01,8.932430e+00,9.083750e-02,7.442682e+01,2.659735e+01,2.762673e-03,1.495588e-04
3.000000e+00,1.021306e+02,5.340961e+01,-1.521968e-01,2.424900e-01,6.173648e-01,3.398644e-01,-7.000000e-03,-6.988374e-04,1.545166e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.930601e+00,-2.909606e+00,3.522795e-02,1.987309e+01,1.184204e+01,1.260654e-01,9.873765e+01,3.506316e+01,4.003681e-03,1.990474e-04
4.000000e+00,1.020955e+02,5.336174e+01,-1.546014e-01,2.354900e-01,6.168099e-01,3.398771e-01,-7.000000e-03,-5.548159e-04,1.274582e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.895507e+00,-2.861744e+00,3.763252e-02,2.476860e+01,1.470378e+01,1.636980e-01,1.227036e+02,4.325274e+01,5.419887e-03,2.483554e-04
5.000000e+00,1.020544e+02,5.330925e+01,-1.569606e-01,2.284900e-01,6.163812e-01,3.398875e-01,-7.000000e-03,-4.287780e-04,1.035215e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.854371e+00,-2.809250e+00,3.999172e-02,2.962297e+01,1.751303e+01,2.036897e-01,1.462686e+02,5.114463e+01,7.019226e-03,2.975393e-04
6.000000e+00,1.020072e+02,5.325391e+01,-1.592840e-01,2.214900e-01,6.160621e-01,3.398957e-01,-7.000000e-03,-3.191127e-04,8.245811e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.807165e+00,-2.753915e+00,4.231515e-02,3.443013e+01,2.026694e+01,2.460048e-01,1.693774e+02,5.872867e+01,8.809797e-03,3.466412e-04
7.000000e+00,1.019539e+02,5.319713e+01,-1.615803e-01,2.144900e-01,6.158378e-01,3.399021e-01,-7.000000e-03,-2.242936e-04,6.402887e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.753868e+00,-2.697132e+00,4.461144e-02,3.918400e+01,2.296408e+01,2.906163e-01,1.919767e+02,6.600319e+01,1.079998e-02,3.956916e-04
8.000000e+00,1.018945e+02,5.313995e+01,-1.638573e-01,2.074900e-01,6.156949e-01,3.399069e-01,-7.000000e-03,-1.428825e-04,4.800495e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.694462e+00,-2.639955e+00,4.688840e-02,4.387846e+01,2.560403e+01,3.375047e-01,2.140146e+02,7.297255e+01,1.299850e-02,4.447120e-04
9.000000e+00,1.018289e+02,5.308315e+01,-1.661219e-01,2.004900e-01,6.156213e-01,3.399104e-01,-7.000000e-03,-7.353115e-05,3.416867e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.628934e+00,-2.583151e+00,4.915302e-02,4.850740e+01,2.818718e+01,3.866577e-01,2.354417e+02,7.964522e+01,1.541452e-02,4.937174e-04
