t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.008200e-01,3.689884e-01,-7.000000e-03,-2.000000e-02,2.919844e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,1.301549e-03
1.000000e+00,1.021847e+02,5.322705e+01,-1.565179e-01,2.564900e-01,5.808200e-01,3.798926e-01,-7.000000e-03,-2.000000e-02,1.090417e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.984710e+00,-2.727047e+00,3.954905e-02,9.984710e+00,5.727047e+00,6.737950e-02,4.984733e+01,1.643679e+01,2.338661e-03,1.869450e-03
2.000000e+00,1.021681e+02,5.271452e+01,-1.677576e-01,2.494900e-01,5.608200e-01,3.900826e-01,-7.000000e-03,-2.000000e-02,1.019003e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.968076e+00,-2.214516e+00,5.078873e-02,1.495279e+01,7.941563e+00,1.181682e-01,7.452911e+01,2.134087e+01,4.918156e-03,2.422287e-03
3.000000e+00,1.021502e+02,5.198639e+01,-1.787689e-01,2.424900e-01,5.408200e-01,3.997318e-01,-7.000000e-03,-2.000000e-02,9.649130e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.950208e+00,-1.486388e+00,6.180004e-02,1.990299e+01,9.427951e+00,1.799683e-01,9.903367e+01,2.355022e+01,8.737401e-03,2.964392e-03
4.000000e+00,1.021312e+02,5.106426e+01,-1.895579e-01,2.354900e-01,5.208200e-01,4.088476e-01,-7.000000e-03,-2.000000e-02,9.115784e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.931184e+00,-5.642607e-01,7.258908e-02,2.483418e+01,9.992212e+00,2.525574e-01,1.233502e+02,2.386861e+01,1.400658e-02,3.496490e-03
5.000000e+00,1.021111e+02,4.996759e+01,-2.001285e-01,2.284900e-01,5.408200e-01,4.174539e-01,-7.000000e-03,2.000000e-02,8.606348e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.911087e+00,5.324115e-01,8.315960e-02,2.974526e+01,1.052462e+01,3.357170e-01,1.474690e+02,2.415207e+01,2.092209e-02,4.019559e-03
6.000000e+00,1.020769e+02,4.924550e+01,-1.914378e-01,2.214900e-01,5.608200e-01,4.055942e-01,-7.000000e-03,2.000000e-02,-1.185973e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.876882e+00,1.254501e+00,7.446890e-02,3.462215e+01,1.177912e+01,4.101859e-01,1.712530e+02,2.572584e+01,2.646771e-02,4.609212e-03
7.000000e+00,1.020317e+02,4.885971e+01,-1.827515e-01,2.144900e-01,5.808200e-01,3.944539e-01,-7.000000e-03,2.000000e-02,-1.114025e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.831671e+00,1.640290e+00,6.578259e-02,3.945382e+01,1.341941e+01,4.759684e-01,1.945980e+02,2.841639e+01,3.079506e-02,5.182318e-03
8.000000e+00,1.019754e+02,4.877581e+01,-1.743626e-01,2.074900e-01,6.008200e-01,3.840943e-01,-7.000000e-03,2.000000e-02,-1.035960e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.775374e+00,1.724191e+00,5.739375e-02,4.422919e+01,1.514360e+01,5.333622e-01,2.174022e+02,3.138923e+01,3.408910e-02,5.738639e-03
9.000000e+00,1.019079e+02,4.896272e+01,-1.662688e-01,2.004900e-01,6.208200e-01,3.744392e-01,-7.000000e-03,2.000000e-02,-9.655097e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.707905e+00,1.537277e+00,4.929993e-02,4.893710e+01,1.668088e+01,5.826621e-01,2.395666e+02,3.375245e+01,3.651959e-02,6.280860e-03
1.000000e+01,1.018292e+02,4.939238e+01,-1.584662e-01,1.934900e-01,6.408200e-01,3.654472e-01,-7.000000e-03,2.000000e-02,-8.991976e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.629191e+00,1.107615e+00,4.149736e-02,5.356629e+01,1.778850e+01,6.241595e-01,2.609960e+02,3.497926e+01,3.824162e-02,6.810715e-03
1.100000e+01,1.017392e+02,5.003943e+01,-1.509519e-01,1.864900e-01,6.608200e-01,3.570853e-01,-7.000000e-03,2.000000e-02,-8.361993e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.539169e+00,4.605703e-01,3.398304e-02,5.810546e+01,1.824907e+01,6.581425e-01,2.816001e+02,3.519138e+01,3.939647e-02,7.329638e-03
