t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.008200e-01,3.897900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,2.949000e-03
1.000000e+00,1.021816e+02,5.322705e+01,-1.566481e-01,2.564900e-01,5.876886e-01,4.217140e-01,-7.000000e-03,-1.313137e-02,3.192404e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.981590e+00,-2.727047e+00,3.967921e-02,9.981590e+00,5.727047e+00,6.750966e-02,4.981623e+01,1.643679e+01,2.348973e-03,4.189577e-03
2.000000e+00,1.021564e+02,5.280571e+01,-1.645854e-01,2.494900e-01,6.023267e-01,4.212746e-01,-7.000000e-03,1.463806e-02,-4.394868e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.956437e+00,-2.305707e+00,4.761658e-02,1.493803e+01,8.032754e+00,1.151262e-01,7.438250e+01,2.175307e+01,4.616312e-03,4.453043e-03
3.000000e+00,1.021203e+02,5.261978e+01,-1.587656e-01,2.424900e-01,5.866674e-01,3.712746e-01,-7.000000e-03,-1.565926e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.920304e+00,-2.119783e+00,4.179677e-02,1.985833e+01,1.015254e+01,1.569230e-01,9.859189e+01,2.624655e+01,6.363282e-03,7.247256e-03
4.000000e+00,1.020906e+02,5.224229e+01,-1.672176e-01,2.354900e-01,6.049186e-01,4.212746e-01,-7.000000e-03,1.825121e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.890582e+00,-1.742289e+00,5.024874e-02,2.474891e+01,1.189483e+01,2.071717e-01,1.225097e+02,2.928212e+01,8.888218e-03,1.012936e-02
5.000000e+00,1.020411e+02,5.214345e+01,-1.604362e-01,2.284900e-01,5.849186e-01,3.712746e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.841144e+00,-1.643451e+00,4.346733e-02,2.959006e+01,1.353828e+01,2.506391e-01,1.459464e+02,3.198305e+01,1.077763e-02,1.307836e-02
6.000000e+00,1.019996e+02,5.178611e+01,-1.710251e-01,2.214900e-01,6.049186e-01,4.212746e-01,-7.000000e-03,2.000000e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.799562e+00,-1.286107e+00,5.405625e-02,3.438962e+01,1.482438e+01,3.046953e-01,1.689822e+02,3.363712e+01,1.369970e-02,1.602736e-02
7.000000e+00,1.019377e+02,5.172775e+01,-1.634616e-01,2.144900e-01,5.856922e-01,3.712746e-01,-7.000000e-03,-1.922642e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.737722e+00,-1.227748e+00,4.649271e-02,3.912734e+01,1.605213e+01,3.511880e-01,1.914282e+02,3.514449e+01,1.586128e-02,1.894602e-02
8.000000e+00,1.018835e+02,5.141670e+01,-1.737281e-01,2.074900e-01,6.056922e-01,4.212746e-01,-7.000000e-03,2.000000e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.683506e+00,-9.166975e-01,5.675925e-02,4.381085e+01,1.696883e+01,4.079473e-01,2.133634e+02,3.598482e+01,1.908289e-02,2.189502e-02
9.000000e+00,1.018091e+02,5.139898e+01,-1.662374e-01,2.004900e-01,5.863479e-01,3.712746e-01,-7.000000e-03,-1.934430e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.609066e+00,-8.989803e-01,4.926849e-02,4.841991e+01,1.786781e+01,4.572158e-01,2.346069e+02,3.679299e+01,2.151027e-02,2.481822e-02
1.000000e+01,1.017423e+02,5.112259e+01,-1.766086e-01,1.934900e-01,6.063479e-01,4.212746e-01,-7.000000e-03,2.000000e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.542308e+00,-6.225899e-01,5.963974e-02,5.296222e+01,1.849040e+01,5.168555e-01,2.552394e+02,3.718061e+01,2.506717e-02,2.776722e-02
1.100000e+01,1.016554e+02,5.113497e+01,-1.691909e-01,1.864900e-01,5.885676e-01,3.712746e-01,-7.000000e-03,-1.778031e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.455363e+00,-6.349742e-01,5.222201e-02,5.741758e+01,1.912537e+01,5.690775e-01,2.750897e+02,3.758380e+01,2.779431e-02,3.063236e-02
1.200000e+01,1.015756e+02,5.090608e+01,-1.788657e-01,1.794900e-01,6.085676e-01,4.212746e-01,-7.000000e-03,2.000000e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.375606e+00,-4.060768e-01,6.189679e-02,6.179319e+01,1.953145e+01,6.309743e-01,2.942356e+02,3.774870e+01,3.162552e-02,3.358136e-02
1.300000e+01,1.014757e+02,5.095999e+01,-1.715359e-01,1.724900e-01,5.912411e-01,3.712746e-01,-7.000000e-03,-1.732654e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.275703e+00,-4.599933e-01,5.456702e-02,6.606889e+01,1.999144e+01,6.855413e-01,3.125173e+02,3.796029e+01,3.460308e-02,3.643057e-02
1.400000e+01,1.013829e+02,5.077417e+01,-1.810520e-01,1.654900e-01,6.099548e-01,4.212746e-01,-7.000000e-03,1.871371e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.182858e+00,-2.741652e-01,6.408312e-02,7.025175e+01,2.026561e+01,7.496245e-01,3.300136e+02,3.803546e+01,3.870973e-02,3.932977e-02
1.500000e+01,1.012703e+02,5.084858e+01,-1.744230e-01,1.584900e-01,5.929003e-01,3.727399e-01,-7.000000e-03,-1.705451e-02,-4.853470e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.070327e+00,-3.485795e-01,5.745415e-02,7.432208e+01,2.061419e+01,8.070786e-01,3.465811e+02,3.815696e+01,4.201071e-02,4.202524e-02
1.600000e+01,1.011646e+02,5.068456e+01,-1.838658e-01,1.514900e-01,6.096253e-01,4.227399e-01,-7.000000e-03,1.672505e-02,5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-3.964561e+00,-1.845612e-01,6.689693e-02,7.828664e+01,2.079875e+01,8.739755e-01,3.622989e+02,3.819103e+01,4.648591e-02,4.485397e-02
