t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.774900e-01,6.408200e-01,3.395626e-01,7.000000e-03,2.000000e-02,-2.273988e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.490517e-04
1.000000e+00,1.021886e+02,5.375917e+01,-1.336661e-01,2.844900e-01,6.254577e-01,3.394678e-01,7.000000e-03,-1.536228e-02,-9.482417e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988603e+00,-3.259174e+00,1.669720e-02,9.988603e+00,6.259174e+00,4.452765e-02,4.988616e+01,1.962221e+01,1.053331e-03,7.340605e-04
2.000000e+00,1.021886e+02,5.378739e+01,-1.395208e-01,2.774900e-01,6.236780e-01,3.393478e-01,-7.000000e-03,-1.779714e-03,-1.200099e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988585e+00,-3.287385e+00,2.255192e-02,1.497719e+01,9.546559e+00,6.707958e-02,7.477213e+01,3.042911e+01,1.561920e-03,7.862423e-04
3.000000e+00,1.021829e+02,5.378910e+01,-1.423529e-01,2.704900e-01,6.234919e-01,3.392341e-01,-7.000000e-03,-1.860591e-04,-1.136747e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.982868e+00,-3.289101e+00,2.538401e-02,1.996006e+01,1.283566e+01,9.246359e-02,9.960111e+01,4.124730e+01,2.206268e-03,8.352898e-04
4.000000e+00,1.021709e+02,5.378783e+01,-1.444424e-01,2.686027e-01,6.234728e-01,3.391345e-01,-1.887316e-03,-1.912611e-05,-9.962744e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.970943e+00,-3.287833e+00,2.747358e-02,2.493100e+01,1.612349e+01,1.199372e-01,1.243114e+02,5.205715e+01,2.961065e-03,8.388620e-04
5.000000e+00,1.021574e+02,5.378573e+01,-1.451648e-01,2.702050e-01,6.234686e-01,3.390601e-01,1.602299e-03,-4.184499e-06,-7.432079e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.957367e+00,-3.285730e+00,2.819596e-02,2.988836e+01,1.940922e+01,1.481331e-01,1.488869e+02,6.285317e+01,3.756077e-03,8.414350e-04
6.000000e+00,1.021453e+02,5.378298e+01,-1.449894e-01,2.704766e-01,6.234652e-01,3.390162e-01,2.716042e-04,-3.390631e-06,-4.397558e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.945276e+00,-3.282979e+00,2.802051e-02,3.483364e+01,2.269220e+01,1.761536e-01,1.733426e+02,7.363112e+01,4.541226e-03,8.415107e-04
7.000000e+00,1.021335e+02,5.377974e+01,-1.451496e-01,2.704531e-01,6.234627e-01,3.389960e-01,-2.350592e-05,-2.564116e-06,-2.018106e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.933464e+00,-3.279742e+00,2.818077e-02,3.976710e+01,2.597194e+01,2.043344e-01,1.976817e+02,8.438783e+01,5.335382e-03,8.415116e-04
8.000000e+00,1.021217e+02,5.377610e+01,-1.453843e-01,2.704254e-01,6.234604e-01,3.389957e-01,-2.764340e-05,-2.325244e-06,-3.103595e-07,9.720000e+01,5.050000e+01,-1.169689e-01,-4.921662e+00,-3.276095e+00,2.841547e-02,4.468877e+01,2.924804e+01,2.327499e-01,2.219044e+02,9.512063e+01,6.142821e-03,8.415124e-04
9.000000e+00,1.021099e+02,5.377208e+01,-1.456199e-01,2.704178e-01,6.234581e-01,3.390121e-01,-7.685491e-06,-2.288930e-06,1.640169e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.909863e+00,-3.272083e+00,2.865101e-02,4.959863e+01,3.252012e+01,2.614009e-01,2.460112e+02,1.058272e+02,6.963701e-03,8.415127e-04
1.000000e+01,1.020981e+02,5.376774e+01,-1.458500e-01,2.704170e-01,6.234558e-01,3.390422e-01,-7.077852e-07,-2.280280e-06,3.012116e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.898081e+00,-3.267744e+00,2.888113e-02,5.449671e+01,3.578787e+01,2.902820e-01,2.700024e+02,1.165053e+02,7.797821e-03,8.415136e-04
