t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.019267e-01,3.444631e-01,-7.000000e-03,-1.889333e-02,4.673136e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.277962e-04
1.000000e+00,1.021880e+02,5.324177e+01,-1.558371e-01,2.564900e-01,5.994385e-01,3.441345e-01,-7.000000e-03,-2.488170e-03,-3.286300e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988026e+00,-2.741769e+00,3.886822e-02,9.988026e+00,5.741769e+00,6.669867e-02,4.988040e+01,1.651730e+01,2.285272e-03,4.830952e-04
2.000000e+00,1.021706e+02,5.297559e+01,-1.588618e-01,2.494900e-01,6.002428e-01,3.439201e-01,-7.000000e-03,8.043391e-04,-2.143656e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.970642e+00,-2.475594e+00,4.189292e-02,1.495867e+01,8.217363e+00,1.085916e-01,7.458768e+01,2.264587e+01,4.040289e-03,5.327881e-04
3.000000e+00,1.021468e+02,5.274577e+01,-1.603298e-01,2.424900e-01,6.015932e-01,3.438361e-01,-7.000000e-03,1.350319e-03,-8.405233e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.946765e+00,-2.245766e+00,4.336093e-02,1.990543e+01,1.046313e+01,1.519525e-01,9.905817e+01,2.768933e+01,5.920459e-03,5.836185e-04
4.000000e+00,1.021162e+02,5.255554e+01,-1.615765e-01,2.354900e-01,6.028251e-01,3.438327e-01,-7.000000e-03,1.231972e-03,-3.351949e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.916210e+00,-2.055540e+00,4.460759e-02,2.482164e+01,1.251867e+01,1.965601e-01,1.232273e+02,3.191457e+01,7.910296e-03,6.341363e-04
5.000000e+00,1.020790e+02,5.239900e+01,-1.629213e-01,2.284900e-01,6.038152e-01,3.438737e-01,-7.000000e-03,9.900388e-04,4.094807e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.879018e+00,-1.899001e+00,4.595245e-02,2.970066e+01,1.441767e+01,2.425126e-01,1.470321e+02,3.552078e+01,1.002192e-02,6.841182e-04
6.000000e+00,1.020353e+02,5.226918e+01,-1.644211e-01,2.214900e-01,6.045868e-01,3.439354e-01,-7.000000e-03,7.716766e-04,6.171957e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.835276e+00,-1.769179e+00,4.745227e-02,3.453594e+01,1.618685e+01,2.899648e-01,1.704120e+02,3.865077e+01,1.227364e-02,7.337175e-04
7.000000e+00,1.019851e+02,5.216012e+01,-1.660619e-01,2.144900e-01,6.051946e-01,3.440032e-01,-7.000000e-03,6.077129e-04,6.781728e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.785068e+00,-1.660123e+00,4.909300e-02,3.932100e+01,1.784697e+01,3.390578e-01,1.933089e+02,4.140678e+01,1.468376e-02,7.830914e-04
8.000000e+00,1.019285e+02,5.206721e+01,-1.678153e-01,2.074900e-01,6.056893e-01,3.440682e-01,-7.000000e-03,4.947490e-04,6.500714e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.728460e+00,-1.567205e+00,5.084640e-02,4.404946e+01,1.941418e+01,3.899042e-01,2.156672e+02,4.386291e+01,1.726912e-02,8.323404e-04
9.000000e+00,1.018655e+02,5.198694e+01,-1.696553e-01,2.004900e-01,6.061107e-01,3.441252e-01,-7.000000e-03,4.214187e-04,5.696378e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.665504e+00,-1.486942e+00,5.268643e-02,4.871497e+01,2.090112e+01,4.425906e-01,2.374341e+02,4.607391e+01,2.004498e-02,8.815212e-04
1.000000e+01,1.017962e+02,5.191673e+01,-1.715619e-01,1.934900e-01,6.064873e-01,3.441712e-01,-7.000000e-03,3.765804e-04,4.598943e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.596240e+00,-1.416729e+00,5.459301e-02,5.331121e+01,2.231785e+01,4.971837e-01,2.585596e+02,4.808103e+01,2.302538e-02,9.306651e-04
1.100000e+01,1.017207e+02,5.185460e+01,-1.735206e-01,1.864900e-01,6.068387e-01,3.442047e-01,-7.000000e-03,3.514039e-04,3.349869e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.520697e+00,-1.354602e+00,5.655177e-02,5.783191e+01,2.367245e+01,5.537354e-01,2.789963e+02,4.991598e+01,2.622348e-02,9.797898e-04
1.200000e+01,1.016389e+02,5.179906e+01,-1.755217e-01,1.794900e-01,6.071782e-01,3.442250e-01,-7.000000e-03,3.394628e-04,2.033834e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.438900e+00,-1.299055e+00,5.855283e-02,6.227081e+01,2.497151e+01,6.122883e-01,2.987001e+02,5.160352e+01,2.965191e-02,1.028905e-03
1.300000e+01,1.015509e+02,5.174891e+01,-1.775584e-01,1.724900e-01,6.075144e-01,3.442320e-01,-7.000000e-03,3.362766e-04,6.995949e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.350868e+00,-1.248911e+00,6.058954e-02,6.662167e+01,2.622042e+01,6.728778e-01,3.176301e+02,5.316330e+01,3.332301e-02,1.078019e-03
1.400000e+01,1.014566e+02,5.170322e+01,-1.796264e-01,1.654900e-01,6.078532e-01,3.442257e-01,-7.000000e-03,3.387961e-04,-6.265083e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.256619e+00,-1.203224e+00,6.265752e-02,7.087829e+01,2.742364e+01,7.355353e-01,3.357490e+02,5.461105e+01,3.724897e-02,1.127133e-03
1.500000e+01,1.013562e+02,5.166122e+01,-1.817228e-01,1.584900e-01,6.081982e-01,3.442064e-01,-7.000000e-03,3.449761e-04,-1.931869e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.156167e+00,-1.161221e+00,6.475390e-02,7.503446e+01,2.858486e+01,8.002892e-01,3.530227e+02,5.595949e+01,4.144204e-02,1.176253e-03
1.600000e+01,1.012495e+02,5.162225e+01,-1.838457e-01,1.514900e-01,6.085517e-01,3.441743e-01,-7.000000e-03,3.534571e-04,-3.212069e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.049526e+00,-1.122254e+00,6.687685e-02,7.908399e+01,2.970712e+01,8.671661e-01,3.694213e+02,5.721894e+01,4.591455e-02,1.225379e-03
1.700000e+01,1.011367e+02,5.158577e+01,-1.859941e-01,1.444900e-01,6.089150e-01,3.441296e-01,-7.000000e-03,3.633412e-04,-4.467364e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-3.936709e+00,-1.085767e+00,6.902523e-02,8.302070e+01,3.079288e+01,9.361913e-01,3.849190e+02,5.839783e+01,5.067903e-02,1.274513e-03
