t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.008200e-01,3.420004e-01,-7.000000e-03,-2.000000e-02,2.210428e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.538860e-04
1.000000e+00,1.021888e+02,5.322705e+01,-1.563490e-01,2.564900e-01,5.849588e-01,3.434716e-01,-7.000000e-03,-1.586120e-02,1.471126e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988758e+00,-2.727047e+00,3.938017e-02,9.988758e+00,5.727047e+00,6.721062e-02,4.988771e+01,1.643679e+01,2.325332e-03,7.566280e-04
2.000000e+00,1.021762e+02,5.276978e+01,-1.657667e-01,2.494900e-01,5.887615e-01,3.453785e-01,-7.000000e-03,3.802728e-03,1.906975e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.976222e+00,-2.269783e+00,4.879784e-02,1.496498e+01,7.996830e+00,1.160085e-01,7.465049e+01,2.158870e+01,4.706561e-03,8.237253e-04
3.000000e+00,1.021559e+02,5.240815e+01,-1.657034e-01,2.424900e-01,5.930416e-01,3.464354e-01,-7.000000e-03,4.280038e-03,1.056875e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.955879e+00,-1.908149e+00,4.873457e-02,1.992086e+01,9.904979e+00,1.647430e-01,9.921123e+01,2.522973e+01,7.081619e-03,8.921610e-04
4.000000e+00,1.021277e+02,5.213849e+01,-1.654542e-01,2.354900e-01,5.962593e-01,3.471866e-01,-7.000000e-03,3.217750e-03,7.511848e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.927718e+00,-1.638488e+00,4.848537e-02,2.484858e+01,1.154347e+01,2.132284e-01,1.234936e+02,2.791437e+01,9.432450e-03,9.520792e-04
5.000000e+00,1.020921e+02,5.193702e+01,-1.657663e-01,2.284900e-01,5.985693e-01,3.477481e-01,-7.000000e-03,2.310001e-03,5.614994e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.892149e+00,-1.437023e+00,4.879748e-02,2.974073e+01,1.298049e+01,2.620259e-01,1.474268e+02,2.997941e+01,1.181364e-02,1.006731e-03
6.000000e+00,1.020495e+02,5.178443e+01,-1.665600e-01,2.214900e-01,6.002141e-01,3.481748e-01,-7.000000e-03,1.644817e-03,4.266790e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.849517e+00,-1.284435e+00,4.959114e-02,3.459024e+01,1.426492e+01,3.116170e-01,1.709446e+02,3.162918e+01,1.427293e-02,1.058618e-03
7.000000e+00,1.020001e+02,5.166658e+01,-1.677135e-01,2.144900e-01,6.013821e-01,3.485032e-01,-7.000000e-03,1.167958e-03,3.283885e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.800073e+00,-1.166583e+00,5.074465e-02,3.939032e+01,1.543151e+01,3.623617e-01,1.939853e+02,3.299010e+01,1.684794e-02,1.109090e-03
8.000000e+00,1.019440e+02,5.157326e+01,-1.691325e-01,2.074900e-01,6.022102e-01,3.487592e-01,-7.000000e-03,8.281245e-04,2.560924e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.744005e+00,-1.073260e+00,5.216365e-02,4.413432e+01,1.650477e+01,4.145253e-01,2.164909e+02,3.414198e+01,1.956899e-02,1.158841e-03
9.000000e+00,1.018815e+02,5.149712e+01,-1.707483e-01,2.004900e-01,6.027973e-01,3.489617e-01,-7.000000e-03,5.870984e-04,2.024811e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.681450e+00,-9.971190e-01,5.377945e-02,4.881577e+01,1.750189e+01,4.683048e-01,2.384068e+02,3.513623e+01,2.246122e-02,1.208227e-03
1.000000e+01,1.018125e+02,5.143287e+01,-1.725114e-01,1.934900e-01,6.032145e-01,3.491240e-01,-7.000000e-03,4.172253e-04,1.623205e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.612508e+00,-9.328670e-01,5.554251e-02,5.342828e+01,1.843475e+01,5.238473e-01,2.596821e+02,3.600647e+01,2.554619e-02,1.257428e-03
1.100000e+01,1.017373e+02,5.137670e+01,-1.743860e-01,1.864900e-01,6.035131e-01,3.492559e-01,-7.000000e-03,2.985793e-04,1.318456e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.537256e+00,-8.766957e-01,5.741713e-02,5.796554e+01,1.931145e+01,5.812644e-01,2.802688e+02,3.677507e+01,2.884292e-02,1.306534e-03
1.200000e+01,1.016558e+02,5.132586e+01,-1.763464e-01,1.794900e-01,6.037299e-01,3.493642e-01,-7.000000e-03,2.168133e-04,1.083461e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.455751e+00,-8.258635e-01,5.937758e-02,6.242129e+01,2.013731e+01,6.406420e-01,3.001225e+02,3.745712e+01,3.236862e-02,1.355593e-03
1.300000e+01,1.015680e+02,5.127840e+01,-1.783742e-01,1.724900e-01,6.038915e-01,3.494541e-01,-7.000000e-03,1.615987e-04,8.987130e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.368035e+00,-7.783972e-01,6.140531e-02,6.678932e+01,2.091571e+01,7.020473e-01,3.192022e+02,3.806302e+01,3.613923e-02,1.404627e-03
1.400000e+01,1.014741e+02,5.123288e+01,-1.804558e-01,1.654900e-01,6.040170e-01,3.495291e-01,-7.000000e-03,1.255009e-04,7.501699e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.274145e+00,-7.328763e-01,6.348695e-02,7.106347e+01,2.164859e+01,7.655343e-01,3.374705e+02,3.860013e+01,4.016982e-02,1.453648e-03
1.500000e+01,1.013741e+02,5.118828e+01,-1.825817e-01,1.584900e-01,6.041202e-01,3.495919e-01,-7.000000e-03,1.031684e-04,6.277241e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.174108e+00,-6.882787e-01,6.561285e-02,7.523757e+01,2.233686e+01,8.311471e-01,3.548937e+02,3.907386e+01,4.447487e-02,1.502663e-03
1.600000e+01,1.012679e+02,5.114387e+01,-1.847449e-01,1.514900e-01,6.042109e-01,3.496443e-01,-7.000000e-03,9.074915e-05,5.241007e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.067945e+00,-6.438685e-01,6.777604e-02,7.930552e+01,2.298073e+01,8.989231e-01,3.714419e+02,3.948842e+01,4.906846e-02,1.551674e-03
1.700000e+01,1.011557e+02,5.109912e+01,-1.869403e-01,1.444900e-01,6.042964e-01,3.496877e-01,-7.000000e-03,8.547106e-05,4.340635e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-3.955676e+00,-5.991162e-01,6.997147e-02,8.326120e+01,2.357985e+01,9.688946e-01,3.870892e+02,3.984736e+01,5.396446e-02,1.600683e-03
1.800000e+01,1.010373e+02,5.105364e+01,-1.891644e-01,1.374900e-01,6.043818e-01,3.497231e-01,-7.000000e-03,8.533890e-05,3.538439e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-3.837318e+00,-5.536407e-01,7.219549e-02,8.709851e+01,2.413349e+01,1.041090e+00,4.018143e+02,4.015388e+01,5.917665e-02,1.649692e-03
1.900000e+01,1.009129e+02,5.100717e+01,-1.914143e-01,1.304900e-01,6.044707e-01,3.497512e-01,-7.000000e-03,8.891688e-05,2.807299e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-3.712885e+00,-5.071676e-01,7.444544e-02,9.081140e+01,2.464066e+01,1.115536e+00,4.155998e+02,4.041110e+01,6.471878e-02,1.698700e-03
