t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.008200e-01,3.436306e-01,-7.000000e-03,-2.000000e-02,3.840592e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.637501e-04
1.000000e+00,1.021885e+02,5.322705e+01,-1.563592e-01,2.564900e-01,5.902143e-01,3.428917e-01,-7.000000e-03,-1.060566e-02,-7.388965e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988513e+00,-2.727047e+00,3.939037e-02,9.988513e+00,5.727047e+00,6.722082e-02,4.988527e+01,1.643679e+01,2.326135e-03,6.257761e-04
2.000000e+00,1.021743e+02,5.283968e+01,-1.632463e-01,2.494900e-01,5.971569e-01,3.424661e-01,-7.000000e-03,6.942514e-03,-4.255690e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.974341e+00,-2.339676e+00,4.627741e-02,1.496285e+01,8.066723e+00,1.134982e-01,7.462934e+01,2.191087e+01,4.467734e-03,7.231557e-04
3.000000e+00,1.021517e+02,5.258260e+01,-1.617212e-01,2.424900e-01,6.015165e-01,3.422272e-01,-7.000000e-03,4.359679e-03,-2.389526e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.951686e+00,-2.082604e+00,4.475234e-02,1.991454e+01,1.014933e+01,1.582506e-01,9.914853e+01,2.624811e+01,6.470506e-03,7.912196e-04
4.000000e+00,1.021214e+02,5.240795e+01,-1.615191e-01,2.354900e-01,6.043243e-01,3.421032e-01,-7.000000e-03,2.807736e-03,-1.239763e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.921386e+00,-1.907952e+00,4.455026e-02,2.483593e+01,1.205728e+01,2.028008e-01,1.233686e+02,2.988839e+01,8.455231e-03,8.481183e-04
5.000000e+00,1.020840e+02,5.228639e+01,-1.621250e-01,2.284900e-01,6.061778e-01,3.420537e-01,-7.000000e-03,1.853562e-03,-4.953861e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.883951e+00,-1.786388e+00,4.515616e-02,2.971988e+01,1.384367e+01,2.479570e-01,1.472216e+02,3.307957e+01,1.049431e-02,9.005565e-04
6.000000e+00,1.020397e+02,5.219950e+01,-1.632396e-01,2.214900e-01,6.074268e-01,3.420553e-01,-7.000000e-03,1.249013e-03,1.646004e-06,9.720000e+01,5.050000e+01,-1.169689e-01,-4.839697e+00,-1.699496e+00,4.627078e-02,3.455958e+01,1.554316e+01,2.942278e-01,1.706442e+02,3.596786e+01,1.263529e-02,9.511165e-04
7.000000e+00,1.019888e+02,5.213537e+01,-1.646874e-01,2.144900e-01,6.082793e-01,3.420943e-01,-7.000000e-03,8.524910e-04,3.895947e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.788832e+00,-1.635373e+00,4.771849e-02,3.934841e+01,1.717854e+01,3.419462e-01,1.935771e+02,3.864230e+01,1.491235e-02,1.000845e-03
8.000000e+00,1.019315e+02,5.208608e+01,-1.663632e-01,2.074900e-01,6.088628e-01,3.421616e-01,-7.000000e-03,5.834426e-04,6.732529e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.731492e+00,-1.586084e+00,4.939433e-02,4.407990e+01,1.876462e+01,3.913406e-01,2.159642e+02,4.115797e+01,1.735215e-02,1.050190e-03
9.000000e+00,1.018678e+02,5.204620e+01,-1.682025e-01,2.004900e-01,6.092588e-01,3.422508e-01,-7.000000e-03,3.960032e-04,8.921320e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.667778e+00,-1.546198e+00,5.123361e-02,4.874768e+01,2.031082e+01,4.425742e-01,2.377523e+02,4.354870e+01,1.997703e-02,1.099355e-03
1.000000e+01,1.017978e+02,5.201191e+01,-1.701635e-01,1.934900e-01,6.093520e-01,3.424021e-01,-7.000000e-03,9.325991e-05,1.513465e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.597761e+00,-1.511914e+00,5.319466e-02,5.334544e+01,2.182273e+01,4.957688e-01,2.588917e+02,4.583458e+01,2.280670e-02,1.148386e-03
1.100000e+01,1.017215e+02,5.197830e+01,-1.722991e-01,1.864900e-01,6.094958e-01,3.425347e-01,-7.000000e-03,1.437598e-04,1.325740e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.521545e+00,-1.478296e+00,5.533027e-02,5.786698e+01,2.330103e+01,5.510991e-01,2.793361e+02,4.801994e+01,2.586814e-02,1.197424e-03
1.200000e+01,1.016391e+02,5.194559e+01,-1.744378e-01,1.794900e-01,6.096701e-01,3.426495e-01,-7.000000e-03,1.743064e-04,1.147814e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.439129e+00,-1.445589e+00,5.746896e-02,6.230611e+01,2.474662e+01,6.085681e-01,2.990420e+02,5.010967e+01,2.917082e-02,1.246468e-03
1.300000e+01,1.015505e+02,5.191375e+01,-1.765894e-01,1.724900e-01,6.098630e-01,3.427467e-01,-7.000000e-03,1.929129e-04,9.722779e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.350521e+00,-1.413751e+00,5.962058e-02,6.665663e+01,2.616037e+01,6.681887e-01,3.179690e+02,5.210836e+01,3.272544e-02,1.295515e-03
1.400000e+01,1.014557e+02,5.188258e+01,-1.787598e-01,1.654900e-01,6.100681e-01,3.428266e-01,-7.000000e-03,2.050920e-04,7.987077e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.255731e+00,-1.382581e+00,6.179094e-02,7.091237e+01,2.754295e+01,7.299796e-01,3.360802e+02,5.401989e+01,3.654356e-02,1.344563e-03
1.500000e+01,1.013548e+02,5.185182e+01,-1.809520e-01,1.584900e-01,6.102821e-01,3.428894e-01,-7.000000e-03,2.139595e-04,6.276412e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.154770e+00,-1.351815e+00,6.398317e-02,7.506713e+01,2.889476e+01,7.939628e-01,3.533423e+02,5.584729e+01,4.063740e-02,1.393613e-03
1.600000e+01,1.012477e+02,5.182117e+01,-1.831677e-01,1.514900e-01,6.105033e-01,3.429354e-01,-7.000000e-03,2.212611e-04,4.599550e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.047652e+00,-1.321172e+00,6.619884e-02,7.911479e+01,3.021594e+01,8.601616e-01,3.697258e+02,5.759279e+01,4.501969e-02,1.442664e-03
