t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.774900e-01,6.408200e-01,2.897900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,2.949000e-03
1.000000e+00,1.021961e+02,5.375917e+01,-1.333531e-01,2.704900e-01,6.208200e-01,2.397900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.996069e+00,-3.259174e+00,1.638423e-02,9.996069e+00,6.259174e+00,4.421468e-02,4.996070e+01,1.962221e+01,1.042977e-03,5.898000e-03
2.000000e+00,1.021999e+02,5.372614e+01,-1.450959e-01,2.634900e-01,6.008200e-01,1.897900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-4.999906e+00,-3.226136e+00,2.812704e-02,1.499598e+01,9.485309e+00,7.234171e-02,7.495977e+01,3.003017e+01,1.834107e-03,8.847000e-03
3.000000e+00,1.022115e+02,5.343056e+01,-1.570888e-01,2.564900e-01,5.808200e-01,1.397900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.011496e+00,-2.930564e+00,4.011990e-02,2.000747e+01,1.241587e+01,1.124616e-01,1.000749e+02,3.861837e+01,3.443713e-03,1.179600e-02
4.000000e+00,1.022308e+02,5.289910e+01,-1.693337e-01,2.494900e-01,5.608200e-01,8.979000e-02,-7.000000e-03,-2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.030822e+00,-2.399100e+00,5.236485e-02,2.503829e+01,1.481497e+01,1.648265e-01,1.253840e+02,4.437405e+01,6.185790e-03,1.474500e-02
5.000000e+00,1.022579e+02,5.215565e+01,-1.818326e-01,2.424900e-01,5.408200e-01,3.979000e-02,-7.000000e-03,-2.000000e-02,-5.000000e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.057870e+00,-1.655652e+00,6.486373e-02,3.009616e+01,1.647063e+01,2.296902e-01,1.509661e+02,4.711523e+01,1.039309e-02,1.769400e-02
6.000000e+00,1.022926e+02,5.122167e+01,-1.945871e-01,2.354900e-01,5.208200e-01,3.418987e-02,-7.000000e-03,-2.000000e-02,-5.600126e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.092628e+00,-7.216698e-01,7.761824e-02,3.518879e+01,1.719230e+01,3.073084e-01,1.769009e+02,4.763604e+01,1.641769e-02,1.817436e-02
7.000000e+00,1.023284e+02,5.011639e+01,-2.078757e-01,2.284900e-01,5.008200e-01,4.775623e-02,-7.000000e-03,-2.000000e-02,1.356635e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.128425e+00,3.836119e-01,9.090680e-02,4.031722e+01,1.757591e+01,3.982152e-01,2.032017e+02,4.778320e+01,2.468173e-02,1.880741e-02
8.000000e+00,1.023624e+02,4.885678e+01,-2.211979e-01,2.214900e-01,4.808200e-01,6.360902e-02,-7.000000e-03,-2.000000e-02,1.585279e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.162390e+00,1.643223e+00,1.042290e-01,4.547961e+01,1.921913e+01,5.024443e-01,2.298520e+02,5.048338e+01,3.554542e-02,1.950772e-02
9.000000e+00,1.023942e+02,4.745799e+01,-2.343001e-01,2.144900e-01,4.608200e-01,8.210336e-02,-7.000000e-03,-2.000000e-02,1.849435e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.194187e+00,3.042012e+00,1.173312e-01,5.067379e+01,2.226114e+01,6.197755e-01,2.568315e+02,5.973722e+01,4.931204e-02,2.029876e-02
1.000000e+01,1.024234e+02,4.593366e+01,-2.471664e-01,2.074900e-01,4.408200e-01,1.036067e-01,-7.000000e-03,-2.000000e-02,2.150332e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.223430e+00,4.566335e+00,1.301976e-01,5.589722e+01,2.682748e+01,7.499731e-01,2.841158e+02,8.058864e+01,6.626345e-02,2.121015e-02
1.100000e+01,1.024497e+02,4.429609e+01,-2.597782e-01,2.004900e-01,4.208200e-01,1.284797e-01,-7.000000e-03,-2.000000e-02,2.487301e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.249675e+00,6.203909e+00,1.428094e-01,6.114690e+01,3.303139e+01,8.927824e-01,3.116748e+02,1.190771e+02,8.665796e-02,2.227782e-02
1.200000e+01,1.024724e+02,4.255633e+01,-2.721137e-01,1.934900e-01,4.408200e-01,1.570677e-01,-7.000000e-03,2.000000e-02,2.858806e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.272426e+00,7.943668e+00,1.551448e-01,6.641932e+01,4.097505e+01,1.047927e+00,3.394733e+02,1.821790e+02,1.107279e-01,2.354410e-02
1.300000e+01,1.024780e+02,4.125808e+01,-2.650194e-01,1.864900e-01,4.608200e-01,1.783521e-01,-7.000000e-03,2.000000e-02,2.128439e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.277974e+00,9.241917e+00,1.480506e-01,7.169730e+01,5.021697e+01,1.195978e+00,3.673303e+02,2.675920e+02,1.326468e-01,2.444612e-02
1.400000e+01,1.024674e+02,4.035672e+01,-2.578457e-01,1.794900e-01,4.808200e-01,1.959572e-01,-7.000000e-03,2.000000e-02,1.760510e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.267440e+00,1.014328e+01,1.408768e-01,7.696474e+01,6.036026e+01,1.336855e+00,3.950762e+02,3.704782e+02,1.524931e-01,2.520506e-02
1.500000e+01,1.024414e+02,3.981196e+01,-2.506757e-01,1.724900e-01,5.008200e-01,2.102526e-01,-7.000000e-03,2.000000e-02,1.429535e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.241402e+00,1.068804e+01,1.337068e-01,8.220614e+01,7.104830e+01,1.470561e+00,4.225485e+02,4.847124e+02,1.703706e-01,2.585842e-02
1.600000e+01,1.024004e+02,3.958745e+01,-2.435441e-01,1.654900e-01,5.208200e-01,2.215810e-01,-7.000000e-03,2.000000e-02,1.132838e-02,9.720000e+01,5.050000e+01,-1.169689e-01,-5.200388e+00,1.091255e+01,1.265753e-01,8.740653e+01,8.196085e+01,1.597137e+00,4.495926e+02,6.037962e+02,1.863919e-01,2.643575e-02
1.700000e+01,1.023449e+02,3.965035e+01,-2.364825e-01,1.584900e-01,5.408200e-01,2.302678e-01,-7.000000e-03,2.000000e-02,8.686877e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.144874e+00,1.084965e+01,1.195136e-01,9.255140e+01,9.281049e+01,1.716650e+00,4.760623e+02,7.215110e+02,2.006754e-01,2.696021e-02
1.800000e+01,1.022753e+02,3.997100e+01,-2.295193e-01,1.514900e-01,5.608200e-01,2.366201e-01,-7.000000e-03,2.000000e-02,6.352273e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.075290e+00,1.052900e+01,1.125504e-01,9.762669e+01,1.033395e+02,1.829201e+00,5.018209e+02,8.323709e+02,2.133430e-01,2.744956e-02
1.900000e+01,1.021920e+02,4.052259e+01,-2.226801e-01,1.444900e-01,5.808200e-01,2.409251e-01,-7.000000e-03,2.000000e-02,4.304979e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.992024e+00,9.977414e+00,1.057112e-01,1.026187e+02,1.133169e+02,1.934912e+00,5.267412e+02,9.319197e+02,2.245179e-01,2.791710e-02
2.000000e+01,1.020954e+02,4.128089e+01,-2.159880e-01,1.374900e-01,6.008200e-01,2.434498e-01,-7.000000e-03,2.000000e-02,2.524713e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.895420e+00,9.219112e+00,9.901913e-02,1.075141e+02,1.225360e+02,2.033931e+00,5.507063e+02,1.016912e+03,2.343227e-01,2.837247e-02
2.100000e+01,1.019858e+02,4.222400e+01,-2.094635e-01,1.304900e-01,6.208200e-01,2.444407e-01,-7.000000e-03,2.000000e-02,9.908509e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.785788e+00,8.275998e+00,9.249464e-02,1.122999e+02,1.308120e+02,2.126426e+00,5.736101e+02,1.085404e+03,2.428779e-01,2.882245e-02
2.200000e+01,1.018634e+02,4.333211e+01,-2.031249e-01,1.234900e-01,6.408200e-01,2.441234e-01,-7.000000e-03,2.000000e-02,-3.172445e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.663399e+00,7.167885e+00,8.615599e-02,1.169633e+02,1.379799e+02,2.212582e+00,5.953574e+02,1.136782e+03,2.503008e-01,2.927155e-02
2.300000e+01,1.017285e+02,4.458730e+01,-1.969882e-01,1.164900e-01,6.608200e-01,2.427035e-01,-7.000000e-03,2.000000e-02,-1.419913e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-4.528496e+00,5.912702e+00,8.001930e-02,1.214918e+02,1.438926e+02,2.292601e+00,6.158646e+02,1.171742e+03,2.567039e-01,2.972257e-02
