t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.022000e+02,5.350000e+01,-1.447993e-01,2.634900e-01,6.019335e-01,3.444693e-01,-7.000000e-03,-1.888653e-02,4.679254e-03,9.720000e+01,5.050000e+01,-1.169689e-01,-5.000000e+00,-3.000000e+00,2.783045e-02,5.000000e+00,3.000000e+00,2.783045e-02,2.500000e+01,9.000000e+00,7.745340e-04,4.275963e-04
1.000000e+00,1.021880e+02,5.324186e+01,-1.558339e-01,2.564900e-01,5.996713e-01,3.441486e-01,-7.000000e-03,-2.262210e-03,-3.206380e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.988022e+00,-2.741860e+00,3.886501e-02,9.988022e+00,5.741860e+00,6.669546e-02,4.988037e+01,1.651779e+01,2.285023e-03,4.818167e-04
2.000000e+00,1.021706e+02,5.297877e+01,-1.587510e-01,2.494900e-01,6.006495e-01,3.439394e-01,-7.000000e-03,9.782180e-04,-2.092029e-04,9.720000e+01,5.050000e+01,-1.169689e-01,-4.970561e+00,-2.478772e+00,4.178211e-02,1.495858e+01,8.220631e+00,1.084776e-01,7.458684e+01,2.266210e+01,4.030768e-03,5.318174e-04
3.000000e+00,1.021465e+02,5.275403e+01,-1.601380e-01,2.424900e-01,6.020728e-01,3.438603e-01,-7.000000e-03,1.423317e-03,-7.912668e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.946548e+00,-2.254029e+00,4.316918e-02,1.990513e+01,1.047466e+01,1.516468e-01,9.905518e+01,2.774275e+01,5.894346e-03,5.828495e-04
4.000000e+00,1.021158e+02,5.256934e+01,-1.613533e-01,2.354900e-01,6.033122e-01,3.438613e-01,-7.000000e-03,1.239380e-03,9.883500e-07,9.720000e+01,5.050000e+01,-1.169689e-01,-4.915832e+00,-2.069342e+00,4.438439e-02,2.482096e+01,1.254400e+01,1.960311e-01,1.232206e+02,3.202492e+01,7.864320e-03,6.333856e-04
5.000000e+00,1.020785e+02,5.241787e+01,-1.626985e-01,2.284900e-01,6.042781e-01,3.439055e-01,-7.000000e-03,9.659042e-04,4.425368e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.878477e+00,-1.917874e+00,4.572962e-02,2.969944e+01,1.446188e+01,2.417608e-01,1.470201e+02,3.570317e+01,9.955518e-03,6.833205e-04
6.000000e+00,1.020346e+02,5.229228e+01,-1.642137e-01,2.214900e-01,6.050149e-01,3.439694e-01,-7.000000e-03,7.368268e-04,6.389210e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.834580e+00,-1.792285e+00,4.724484e-02,3.453402e+01,1.625416e+01,2.890056e-01,1.703933e+02,3.891545e+01,1.218759e-02,7.328675e-04
7.000000e+00,1.019842e+02,5.218656e+01,-1.658747e-01,2.144900e-01,6.055874e-01,3.440384e-01,-7.000000e-03,5.725250e-04,6.900492e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.784228e+00,-1.686563e+00,4.890584e-02,3.931825e+01,1.794072e+01,3.379114e-01,1.932821e+02,4.175995e+01,1.457937e-02,7.822000e-04
8.000000e+00,1.019275e+02,5.209617e+01,-1.676482e-01,2.074900e-01,6.060508e-01,3.441039e-01,-7.000000e-03,4.633440e-04,6.545926e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.727488e+00,-1.596168e+00,5.067935e-02,4.404573e+01,1.953689e+01,3.885908e-01,2.156312e+02,4.430770e+01,1.714777e-02,8.314190e-04
9.000000e+00,1.018644e+02,5.201775e+01,-1.695062e-01,2.004900e-01,6.064455e-01,3.441608e-01,-7.000000e-03,3.947431e-04,5.692262e-05,9.720000e+01,5.050000e+01,-1.169689e-01,-4.664411e+00,-1.517748e+00,5.253736e-02,4.871014e+01,2.105464e+01,4.411281e-01,2.373880e+02,4.661126e+01,1.990794e-02,8.805781e-04
