t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,6.028900e-01,9.144700e-01,7.903448e-01,7.000000e-03,2.000000e-02,2.054849e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,4.532224e-04
1.000000e+00,1.449794e+02,1.316097e+02,-7.048046e-02,6.098900e-01,9.344700e-01,7.930957e-01,7.000000e-03,2.000000e-02,2.750899e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.979437e+00,-3.609734e+00,-5.857301e-02,9.979437e+00,6.609734e+00,1.019887e-01,4.979480e+01,2.203018e+01,5.315719e-03,9.097899e-04
2.000000e+00,1.449551e+02,1.325506e+02,-5.542188e-02,6.168900e-01,9.516766e-01,7.965293e-01,7.000000e-03,1.720658e-02,3.433537e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.955111e+00,-4.550605e+00,-7.363159e-02,1.493455e+01,1.116034e+01,1.756203e-01,7.434792e+01,4.273818e+01,1.073733e-02,1.266645e-03
3.000000e+00,1.449283e+02,1.337339e+02,-4.236018e-02,6.238900e-01,9.667000e-01,8.005418e-01,7.000000e-03,1.502342e-02,4.012543e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.928292e+00,-5.733886e+00,-8.669328e-02,1.986284e+01,1.689422e+01,2.623136e-01,9.863599e+01,7.561563e+01,1.825305e-02,1.557449e-03
4.000000e+00,1.449000e+02,1.350919e+02,-3.085547e-02,6.308900e-01,9.796317e-01,8.050511e-01,7.000000e-03,1.293172e-02,4.509301e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.899968e+00,-7.091900e+00,-9.819799e-02,2.476281e+01,2.398613e+01,3.605116e-01,1.226457e+02,1.259107e+02,2.789590e-02,1.794012e-03
5.000000e+00,1.448711e+02,1.365657e+02,-2.082547e-02,6.378900e-01,9.907152e-01,8.099792e-01,7.000000e-03,1.108348e-02,4.928119e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.871087e+00,-8.565664e+00,-1.082280e-01,2.963390e+01,3.255179e+01,4.687395e-01,1.463732e+02,1.992813e+02,3.960920e-02,1.990142e-03
6.000000e+00,1.448425e+02,1.381070e+02,-1.208541e-02,6.448900e-01,1.000000e+00,8.152574e-01,7.000000e-03,9.284800e-03,5.278169e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.842491e+00,-1.010702e+01,-1.169681e-01,3.447639e+01,4.265881e+01,5.857076e-01,1.698229e+02,3.014331e+02,5.329072e-02,2.153209e-03
7.000000e+00,1.448150e+02,1.396737e+02,-4.584307e-03,6.378900e-01,1.000000e+00,8.208197e-01,-7.000000e-03,0.000000e+00,5.562253e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.815002e+00,-1.167371e+01,-1.244692e-01,3.929139e+01,5.433252e+01,7.101768e-01,1.930071e+02,4.377086e+02,6.878330e-02,2.233147e-03
8.000000e+00,1.447805e+02,1.410805e+02,-7.090000e-03,6.308900e-01,1.000000e+00,8.261855e-01,-7.000000e-03,0.000000e+00,5.365799e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.780481e+00,-1.308045e+01,-1.219635e-01,4.407187e+01,6.741297e+01,8.321402e-01,2.158601e+02,6.088069e+02,8.365838e-02,2.310939e-03
9.000000e+00,1.447390e+02,1.423424e+02,-9.669325e-03,6.238900e-01,1.000000e+00,8.313492e-01,-7.000000e-03,0.000000e+00,5.163701e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.738986e+00,-1.434240e+01,-1.193841e-01,4.881086e+01,8.175537e+01,9.515244e-01,2.383181e+02,8.145114e+02,9.791096e-02,2.386603e-03
