t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.888900e-01,8.744700e-01,7.852761e-01,-7.000000e-03,-2.000000e-02,-3.013940e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,4.580838e-04
1.000000e+00,1.449870e+02,1.308210e+02,-1.012988e-01,5.818900e-01,8.642478e-01,7.867062e-01,-7.000000e-03,-1.022218e-02,1.430137e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.987046e+00,-2.821016e+00,-2.775466e-02,9.987046e+00,5.821016e+00,7.117036e-02,4.987062e+01,1.695813e+01,2.655244e-03,6.136220e-04
2.000000e+00,1.449726e+02,1.304571e+02,-1.102858e-01,5.748900e-01,8.668754e-01,7.884037e-01,-7.000000e-03,2.627567e-03,1.697537e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.972589e+00,-2.457092e+00,-1.876764e-02,1.495963e+01,8.278108e+00,8.993800e-02,7.459727e+01,2.299543e+01,3.007468e-03,6.724078e-04
3.000000e+00,1.449503e+02,1.301799e+02,-1.105326e-01,5.678900e-01,8.699202e-01,7.893192e-01,-7.000000e-03,3.044842e-03,9.154366e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.950348e+00,-2.179933e+00,-1.852086e-02,1.990998e+01,1.045804e+01,1.084589e-01,9.910321e+01,2.774754e+01,3.350490e-03,7.315169e-04
4.000000e+00,1.449203e+02,1.299883e+02,-1.105801e-01,5.608900e-01,8.720547e-01,7.899174e-01,-7.000000e-03,2.134458e-03,5.982048e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.920262e+00,-1.988301e+00,-1.847335e-02,2.483024e+01,1.244634e+01,1.269322e-01,1.233122e+02,3.170088e+01,3.691755e-03,7.854306e-04
5.000000e+00,1.448828e+02,1.298549e+02,-1.113403e-01,5.538900e-01,8.734374e-01,7.903416e-01,-7.000000e-03,1.382735e-03,4.241943e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.882848e+00,-1.854898e+00,-1.771314e-02,2.971309e+01,1.430124e+01,1.446453e-01,1.471544e+02,3.514153e+01,4.005510e-03,8.365225e-04
6.000000e+00,1.448385e+02,1.297583e+02,-1.126996e-01,5.468900e-01,8.743228e-01,7.906593e-01,-7.000000e-03,8.853667e-04,3.177328e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.838522e+00,-1.758339e+00,-1.635390e-02,3.455161e+01,1.605958e+01,1.609993e-01,1.705657e+02,3.823329e+01,4.272960e-03,8.864074e-04
7.000000e+00,1.447876e+02,1.296844e+02,-1.144794e-01,5.398900e-01,8.748957e-01,7.909098e-01,-7.000000e-03,5.729275e-04,2.505360e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.787564e+00,-1.684435e+00,-1.457411e-02,3.933918e+01,1.774401e+01,1.755734e-01,1.934864e+02,4.107061e+01,4.485365e-03,9.357984e-04
8.000000e+00,1.447302e+02,1.296241e+02,-1.165501e-01,5.328900e-01,8.752771e-01,7.911175e-01,-7.000000e-03,3.813945e-04,2.076927e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.730159e+00,-1.624094e+00,-1.250333e-02,4.406934e+01,1.936811e+01,1.880767e-01,2.158608e+02,4.370829e+01,4.641698e-03,9.849870e-04
9.000000e+00,1.446664e+02,1.295715e+02,-1.188272e-01,5.258900e-01,8.755442e-01,7.912977e-01,-7.000000e-03,2.670929e-04,1.802116e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.666426e+00,-1.571534e+00,-1.022628e-02,4.873576e+01,2.093964e+01,1.983030e-01,2.376364e+02,4.617801e+01,4.746275e-03,1.034091e-03
