t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.888900e-01,8.744700e-01,7.853670e-01,-7.000000e-03,-2.000000e-02,-2.923041e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,4.575442e-04
1.000000e+00,1.449870e+02,1.308210e+02,-1.013001e-01,5.818900e-01,8.544700e-01,7.870410e-01,-7.000000e-03,-2.000000e-02,1.674087e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.987032e+00,-2.821016e+00,-2.775341e-02,9.987032e+00,5.821016e+00,7.116910e-02,4.987049e+01,1.695813e+01,2.655174e-03,9.093467e-04
2.000000e+00,1.449773e+02,1.302643e+02,-1.169375e-01,5.748900e-01,8.344700e-01,7.879721e-01,-7.000000e-03,-2.000000e-02,9.310160e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.977279e+00,-2.264312e+00,-1.211595e-02,1.496431e+01,8.085328e+00,8.328506e-02,7.464379e+01,2.208524e+01,2.801970e-03,1.359214e-03
3.000000e+00,1.449708e+02,1.293680e+02,-1.324767e-01,5.678900e-01,8.423086e-01,7.887732e-01,-7.000000e-03,7.838567e-03,8.011158e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.970839e+00,-1.368040e+00,3.423232e-03,1.993515e+01,9.453368e+00,8.670829e-02,9.935303e+01,2.395677e+01,2.813689e-03,1.470298e-03
4.000000e+00,1.449542e+02,1.287153e+02,-1.290020e-01,5.608900e-01,8.623086e-01,7.882752e-01,-7.000000e-03,2.000000e-02,-4.979867e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.954190e+00,-7.153146e-01,-5.146254e-05,2.488934e+01,1.016868e+01,8.675975e-02,1.238970e+02,2.446845e+01,2.813692e-03,1.919546e-03
5.000000e+00,1.449216e+02,1.285205e+02,-1.173818e-01,5.538900e-01,8.733548e-01,7.874974e-01,-7.000000e-03,1.104621e-02,-7.777756e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.921647e+00,-5.204937e-01,-1.167163e-02,2.981099e+01,1.068918e+01,9.843138e-02,1.481196e+02,2.473936e+01,2.949918e-03,2.091170e-03
6.000000e+00,1.448777e+02,1.285596e+02,-1.120813e-01,5.468900e-01,8.658153e-01,7.873061e-01,-7.000000e-03,-7.539505e-03,-1.912991e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.877660e+00,-5.596296e-01,-1.697217e-02,3.468865e+01,1.124881e+01,1.154035e-01,1.719112e+02,2.505255e+01,3.237973e-03,2.197051e-03
7.000000e+00,1.448312e+02,1.284419e+02,-1.195768e-01,5.398900e-01,8.733323e-01,7.879126e-01,-7.000000e-03,7.517065e-03,6.064938e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.831209e+00,-4.419277e-01,-9.476705e-03,3.951986e+01,1.169073e+01,1.248803e-01,1.952518e+02,2.524785e+01,3.327781e-03,2.302925e-03
8.000000e+00,1.447749e+02,1.284794e+02,-1.168703e-01,5.328900e-01,8.689088e-01,7.876387e-01,-7.000000e-03,-4.423592e-03,-2.739183e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.774868e+00,-4.794283e-01,-1.218320e-02,4.429472e+01,1.217016e+01,1.370635e-01,2.180512e+02,2.547770e+01,3.476211e-03,2.371568e-03
9.000000e+00,1.447146e+02,1.284205e+02,-1.223904e-01,5.258900e-01,8.729483e-01,7.880321e-01,-7.000000e-03,4.039553e-03,3.933677e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.714601e+00,-4.204697e-01,-6.663052e-03,4.900933e+01,1.259063e+01,1.437265e-01,2.402786e+02,2.565449e+01,3.520608e-03,2.437041e-03
1.000000e+01,1.446462e+02,1.284409e+02,-1.222133e-01,5.188900e-01,8.705936e-01,7.879432e-01,-7.000000e-03,-2.354716e-03,-8.888600e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.646213e+00,-4.408932e-01,-6.840181e-03,5.365554e+01,1.303152e+01,1.505667e-01,2.618659e+02,2.584888e+01,3.567396e-03,2.491594e-03
1.100000e+01,1.445729e+02,1.284061e+02,-1.264705e-01,5.118900e-01,8.729137e-01,7.882178e-01,-7.000000e-03,2.320142e-03,2.746105e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.572905e+00,-4.061336e-01,-2.583000e-03,5.822844e+01,1.343766e+01,1.531497e-01,2.827774e+02,2.601382e+01,3.574068e-03,2.546052e-03
1.200000e+01,1.444924e+02,1.284131e+02,-1.276158e-01,5.048900e-01,8.717937e-01,7.882304e-01,-7.000000e-03,-1.120019e-03,1.261180e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.492372e+00,-4.131436e-01,-1.437644e-03,6.272081e+01,1.385080e+01,1.545873e-01,3.029588e+02,2.618451e+01,3.576134e-03,2.596307e-03
1.300000e+01,1.444063e+02,1.283894e+02,-1.311779e-01,4.978900e-01,8.732367e-01,7.884415e-01,-7.000000e-03,1.443017e-03,2.111103e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.406345e+00,-3.894042e-01,2.124449e-03,6.712716e+01,1.424021e+01,1.567118e-01,3.223746e+02,2.633615e+01,3.580648e-03,2.647434e-03
1.400000e+01,1.443136e+02,1.283878e+02,-1.330688e-01,4.908900e-01,8.728347e-01,7.885117e-01,-7.000000e-03,-4.020452e-04,7.014706e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.313570e+00,-3.877761e-01,4.015354e-03,7.144073e+01,1.462798e+01,1.607271e-01,3.409815e+02,2.648652e+01,3.596771e-03,2.696600e-03
1.500000e+01,1.442150e+02,1.283691e+02,-1.362882e-01,4.838900e-01,8.738347e-01,7.886905e-01,-7.000000e-03,1.000002e-03,1.788750e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.214985e+00,-3.691477e-01,7.234708e-03,7.565571e+01,1.499713e+01,1.679618e-01,3.587476e+02,2.662279e+01,3.649112e-03,2.746632e-03
1.600000e+01,1.441099e+02,1.283621e+02,-1.386277e-01,4.768900e-01,8.738542e-01,7.887946e-01,-7.000000e-03,1.955608e-05,1.040602e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.109914e+00,-3.621278e-01,9.574186e-03,7.976563e+01,1.535926e+01,1.775360e-01,3.756390e+02,2.675392e+01,3.740777e-03,2.795643e-03
1.700000e+01,1.439989e+02,1.283457e+02,-1.417063e-01,4.698900e-01,8.746427e-01,7.889586e-01,-7.000000e-03,7.884327e-04,1.640256e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.998864e+00,-3.456775e-01,1.265283e-02,8.376449e+01,1.570493e+01,1.901889e-01,3.916299e+02,2.687342e+01,3.900871e-03,2.845292e-03
1.800000e+01,1.438815e+02,1.283352e+02,-1.443361e-01,4.628900e-01,8.749190e-01,7.890838e-01,-7.000000e-03,2.763174e-04,1.252066e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.881475e+00,-3.351846e-01,1.528266e-02,8.764597e+01,1.604012e+01,2.054715e-01,4.066958e+02,2.698577e+01,4.134431e-03,2.894384e-03
1.900000e+01,1.437580e+02,1.283194e+02,-1.473863e-01,4.558900e-01,8.756210e-01,7.892426e-01,-7.000000e-03,7.019785e-04,1.587785e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.758021e+00,-3.193817e-01,1.833282e-02,9.140399e+01,1.635950e+01,2.238043e-01,4.208185e+02,2.708777e+01,4.470523e-03,2.943902e-03
2.000000e+01,1.436283e+02,1.283065e+02,-1.502209e-01,4.488900e-01,8.760638e-01,7.893821e-01,-7.000000e-03,4.428043e-04,1.394683e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.628312e+00,-3.064954e-01,2.116747e-02,9.503230e+01,1.666600e+01,2.449718e-01,4.339832e+02,2.718171e+01,4.918585e-03,2.993117e-03
2.100000e+01,1.434925e+02,1.282905e+02,-1.533039e-01,4.418900e-01,8.767473e-01,7.895409e-01,-7.000000e-03,6.835101e-04,1.588258e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.492497e+00,-2.905246e-01,2.425047e-02,9.852480e+01,1.695652e+01,2.692223e-01,4.461807e+02,2.726611e+01,5.506670e-03,3.042610e-03
2.200000e+01,1.433505e+02,1.282758e+02,-1.562969e-01,4.348900e-01,8.773077e-01,7.896909e-01,-7.000000e-03,5.604021e-04,1.500475e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.350479e+00,-2.758395e-01,2.724347e-02,1.018753e+02,1.723236e+01,2.964658e-01,4.574064e+02,2.734220e+01,6.248877e-03,3.091946e-03
2.300000e+01,1.432023e+02,1.282593e+02,-1.594459e-01,4.278900e-01,8.780098e-01,7.898527e-01,-7.000000e-03,7.020821e-04,1.617996e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.202337e+00,-2.592643e-01,3.039240e-02,1.050776e+02,1.749162e+01,3.268582e-01,4.676614e+02,2.740942e+01,7.172575e-03,3.141465e-03
2.400000e+01,1.430480e+02,1.282431e+02,-1.625718e-01,4.268242e-01,8.786616e-01,7.900114e-01,-1.065847e-03,6.518487e-04,1.586862e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-3.048025e+00,-2.431042e-01,3.351838e-02,1.081256e+02,1.773473e+01,3.603765e-01,4.769518e+02,2.746852e+01,8.296057e-03,3.143052e-03
2.500000e+01,1.428929e+02,1.282257e+02,-1.642379e-01,4.334681e-01,8.794025e-01,7.900724e-01,6.643951e-03,7.409233e-04,6.094412e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-2.892927e+00,-2.256907e-01,3.518448e-02,1.110186e+02,1.796042e+01,3.955610e-01,4.853209e+02,2.751946e+01,9.534005e-03,3.187746e-03
2.600000e+01,1.427440e+02,1.282088e+02,-1.638170e-01,4.396715e-01,8.800959e-01,7.900142e-01,6.203394e-03,6.933127e-04,-5.813627e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-2.743959e+00,-2.087691e-01,3.476355e-02,1.137625e+02,1.816919e+01,4.303246e-01,4.928502e+02,2.756304e+01,1.074251e-02,3.226712e-03
2.700000e+01,1.426007e+02,1.281920e+02,-1.634704e-01,4.455741e-01,8.807894e-01,7.899949e-01,5.902599e-03,6.935788e-04,-1.929485e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-2.600745e+00,-1.919535e-01,3.441692e-02,1.163633e+02,1.836114e+01,4.647415e-01,4.996140e+02,2.759989e+01,1.192703e-02,3.262035e-03
2.800000e+01,1.424630e+02,1.281758e+02,-1.631359e-01,4.512116e-01,8.814448e-01,7.899815e-01,5.637509e-03,6.553441e-04,-1.348691e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-2.462989e+00,-1.757899e-01,3.408244e-02,1.188263e+02,1.853693e+01,4.988239e-01,5.056804e+02,2.763079e+01,1.308865e-02,3.294246e-03
2.900000e+01,1.423305e+02,1.281600e+02,-1.628329e-01,4.566005e-01,8.820884e-01,7.899711e-01,5.388846e-03,6.436581e-04,-1.032565e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-2.330453e+00,-1.599975e-01,3.377940e-02,1.211567e+02,1.869693e+01,5.326033e-01,5.111114e+02,2.765639e+01,1.422969e-02,3.323700e-03
3.000000e+01,1.422029e+02,1.281448e+02,-1.625419e-01,4.617549e-01,8.827016e-01,7.899617e-01,5.154440e-03,6.132098e-04,-9.424511e-06,1.400000e+02,1.280000e+02,-1.290535e-01,-2.202903e+00,-1.448157e-01,3.348845e-02,1.233596e+02,1.884175e+01,5.660918e-01,5.159642e+02,2.767736e+01,1.535117e-02,3.350644e-03
3.100000e+01,1.420801e+02,1.281301e+02,-1.622745e-01,4.666872e-01,8.832988e-01,7.899540e-01,4.932307e-03,5.971559e-04,-7.654914e-06,1.400000e+02,1.280000e+02,-1.290535e-01,-2.080124e+00,-1.300765e-01,3.322106e-02,1.254397e+02,1.897182e+01,5.993128e-01,5.202911e+02,2.769428e+01,1.645481e-02,3.375328e-03
3.200000e+01,1.419619e+02,1.281159e+02,-1.620203e-01,4.714094e-01,8.838708e-01,7.899473e-01,4.722229e-03,5.720498e-04,-6.752229e-06,1.400000e+02,1.280000e+02,-1.290535e-01,-1.961909e+00,-1.158874e-01,3.296688e-02,1.274016e+02,1.908771e+01,6.322797e-01,5.241402e+02,2.770771e+01,1.754162e-02,3.397955e-03
3.300000e+01,1.418481e+02,1.281022e+02,-1.617846e-01,4.759325e-01,8.844256e-01,7.899419e-01,4.523075e-03,5.547437e-04,-5.394521e-06,1.400000e+02,1.280000e+02,-1.290535e-01,-1.848067e+00,-1.021518e-01,3.273118e-02,1.292497e+02,1.918986e+01,6.650109e-01,5.275555e+02,2.771814e+01,1.861295e-02,3.418721e-03
