t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.888900e-01,8.744700e-01,8.382900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,2.949000e-03
1.000000e+00,1.449791e+02,1.308210e+02,-1.020281e-01,5.818900e-01,8.544700e-01,8.882900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.979094e+00,-2.821016e+00,-2.702535e-02,9.979094e+00,5.821016e+00,7.044104e-02,4.979137e+01,1.695813e+01,2.615292e-03,5.898000e-03
2.000000e+00,1.449542e+02,1.302635e+02,-1.183154e-01,5.748900e-01,8.344700e-01,9.382900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.954178e+00,-2.263540e+00,-1.073810e-02,1.493327e+01,8.084556e+00,8.117914e-02,7.433526e+01,2.208175e+01,2.730599e-03,8.847000e-03
3.000000e+00,1.449253e+02,1.293652e+02,-1.344952e-01,5.678900e-01,8.144700e-01,9.882900e-01,-7.000000e-03,-2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.925264e+00,-1.365171e+00,5.441772e-03,1.985854e+01,9.449727e+00,8.662091e-02,9.859348e+01,2.394544e+01,2.760212e-03,1.179600e-02
4.000000e+00,1.448924e+02,1.281598e+02,-1.505618e-01,5.608900e-01,8.344700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,1.171000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.892359e+00,-1.597869e-01,2.150837e-02,2.475090e+01,9.609514e+00,1.081293e-01,1.225287e+02,2.397097e+01,3.222821e-03,1.238212e-02
5.000000e+00,1.448418e+02,1.274660e+02,-1.388163e-01,5.538900e-01,8.544700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.841783e+00,5.340254e-01,9.762871e-03,2.959268e+01,1.014354e+01,1.178922e-01,1.459715e+02,2.425615e+01,3.318135e-03,1.283112e-02
6.000000e+00,1.447754e+02,1.272307e+02,-1.271415e-01,5.468900e-01,8.744700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.775354e+00,7.693417e-01,-1.911937e-03,3.436803e+01,1.091288e+01,1.198041e-01,1.687755e+02,2.484804e+01,3.321790e-03,1.328012e-02
7.000000e+00,1.446931e+02,1.274061e+02,-1.157053e-01,5.398900e-01,8.944700e-01,1.000000e+00,-7.000000e-03,2.000000e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.693132e+00,5.939097e-01,-1.334814e-02,3.906116e+01,1.150679e+01,1.331522e-01,1.908010e+02,2.520077e+01,3.499963e-03,1.372912e-02
8.000000e+00,1.445952e+02,1.279492e+02,-1.045121e-01,5.328900e-01,8.817847e-01,1.000000e+00,-7.000000e-03,-1.268530e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.595180e+00,5.084138e-02,-2.454141e-02,4.365634e+01,1.155763e+01,1.576936e-01,2.119167e+02,2.520335e+01,4.102244e-03,1.393904e-02
9.000000e+00,1.444974e+02,1.281785e+02,-1.157038e-01,5.258900e-01,8.706124e-01,1.000000e+00,-7.000000e-03,-1.117232e-02,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.497407e+00,-1.784613e-01,-1.334969e-02,4.815375e+01,1.173609e+01,1.710433e-01,2.321434e+02,2.523520e+01,4.280459e-03,1.411286e-02
1.000000e+01,1.443991e+02,1.281555e+02,-1.258173e-01,5.188900e-01,8.720977e-01,1.000000e+00,-7.000000e-03,1.485339e-03,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.399070e+00,-1.554901e-01,-3.236197e-03,5.255282e+01,1.189158e+01,1.742795e-01,2.514952e+02,2.525938e+01,4.290932e-03,1.416407e-02
1.100000e+01,1.442940e+02,1.281542e+02,-1.273273e-01,5.118900e-01,8.725199e-01,1.000000e+00,-7.000000e-03,4.221626e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.294037e+00,-1.541717e-01,-1.726133e-03,5.684686e+01,1.204576e+01,1.760057e-01,2.699339e+02,2.528315e+01,4.293911e-03,1.421325e-02
1.200000e+01,1.441828e+02,1.281508e+02,-1.296296e-01,5.048900e-01,8.730670e-01,1.000000e+00,-7.000000e-03,5.471007e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.182845e+00,-1.507784e-01,5.761166e-04,6.102970e+01,1.219653e+01,1.765818e-01,2.874301e+02,2.530588e+01,4.294243e-03,1.426255e-02
1.300000e+01,1.440655e+02,1.281473e+02,-1.319106e-01,4.978900e-01,8.736375e-01,1.000000e+00,-7.000000e-03,5.705085e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-4.065454e+00,-1.473373e-01,2.857151e-03,6.509516e+01,1.234387e+01,1.794389e-01,3.039580e+02,2.532759e+01,4.302406e-03,1.431187e-02
1.400000e+01,1.439419e+02,1.281437e+02,-1.342395e-01,4.908900e-01,8.742401e-01,1.000000e+00,-7.000000e-03,6.026418e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.941875e+00,-1.436738e-01,5.186064e-03,6.903703e+01,1.248754e+01,1.846250e-01,3.194964e+02,2.534823e+01,4.329302e-03,1.436123e-02
1.500000e+01,1.438121e+02,1.281398e+02,-1.366100e-01,4.838900e-01,8.748743e-01,1.000000e+00,-7.000000e-03,6.341687e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.812111e+00,-1.397996e-01,7.556562e-03,7.284914e+01,1.262734e+01,1.921816e-01,3.340286e+02,2.536778e+01,4.386403e-03,1.441064e-02
1.600000e+01,1.436762e+02,1.281357e+02,-1.390222e-01,4.768900e-01,8.755402e-01,1.000000e+00,-7.000000e-03,6.658809e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.676170e+00,-1.357107e-01,9.968735e-03,7.652531e+01,1.276306e+01,2.021503e-01,3.475428e+02,2.538619e+01,4.485779e-03,1.446008e-02
1.700000e+01,1.435341e+02,1.281314e+02,-1.414756e-01,4.698900e-01,8.762379e-01,1.000000e+00,-7.000000e-03,6.977213e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.534057e+00,-1.314042e-01,1.242214e-02,8.005937e+01,1.289446e+01,2.145724e-01,3.600324e+02,2.540346e+01,4.640088e-03,1.450957e-02
1.800000e+01,1.433858e+02,1.281269e+02,-1.439698e-01,4.628900e-01,8.769676e-01,1.000000e+00,-7.000000e-03,7.297036e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.385777e+00,-1.268767e-01,1.491637e-02,8.344515e+01,1.302134e+01,2.294888e-01,3.714959e+02,2.541956e+01,4.862586e-03,1.455910e-02
1.900000e+01,1.432313e+02,1.281221e+02,-1.465045e-01,4.558900e-01,8.777294e-01,1.000000e+00,-7.000000e-03,7.618354e-04,0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,-3.231336e+00,-1.221250e-01,1.745102e-02,8.667648e+01,1.314346e+01,2.469398e-01,3.819374e+02,2.543447e+01,5.167125e-03,1.460868e-02
