t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.888900e-01,9.144700e-01,8.382900e-01,-7.000000e-03,2.000000e-02,5.000000e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,2.949000e-03
1.000000e+00,1.449596e+02,1.316097e+02,-7.483991e-02,5.818900e-01,9.192013e-01,8.656750e-01,-7.000000e-03,4.731275e-03,2.738503e-02,1.400000e+02,1.280000e+02,-1.290535e-01,-4.959646e+00,-3.609734e+00,-5.421355e-02,9.959646e+00,6.609734e+00,9.762924e-02,4.959809e+01,2.203018e+01,4.824032e-03,3.770325e-03
2.000000e+00,1.449067e+02,1.322475e+02,-7.433974e-02,5.748900e-01,9.058690e-01,8.678365e-01,-7.000000e-03,-1.333228e-02,2.161487e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.906723e+00,-4.247465e+00,-5.471372e-02,1.486637e+01,1.085720e+01,1.523430e-01,7.367402e+01,4.007114e+01,7.817623e-03,4.001747e-03
3.000000e+00,1.448538e+02,1.325531e+02,-8.586782e-02,5.678900e-01,9.010519e-01,8.671985e-01,-7.000000e-03,-4.817053e-03,-6.380145e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.853838e+00,-4.553060e+00,-4.318564e-02,1.972021e+01,1.541026e+01,1.955286e-01,9.723376e+01,6.080150e+01,9.682623e-03,4.074358e-03
4.000000e+00,1.447973e+02,1.327277e+02,-9.153353e-02,5.608900e-01,8.994623e-01,8.660507e-01,-7.000000e-03,-1.589630e-03,-1.147855e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.797268e+00,-4.727666e+00,-3.751993e-02,2.451747e+01,2.013793e+01,2.330485e-01,1.202475e+02,8.315233e+01,1.109037e-02,4.127202e-03
5.000000e+00,1.447355e+02,1.328476e+02,-9.503255e-02,5.538900e-01,8.990133e-01,8.648406e-01,-7.000000e-03,-4.489811e-04,-1.210036e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.735534e+00,-4.847616e+00,-3.402092e-02,2.925301e+01,2.498554e+01,2.670695e-01,1.426728e+02,1.066517e+02,1.224779e-02,4.177868e-03
6.000000e+00,1.446681e+02,1.329403e+02,-9.781505e-02,5.468900e-01,8.989709e-01,8.636436e-01,-7.000000e-03,-4.245479e-05,-1.196982e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.668108e+00,-4.940313e+00,-3.123842e-02,3.392112e+01,2.992585e+01,2.983079e-01,1.644640e+02,1.310584e+02,1.322363e-02,4.228303e-03
7.000000e+00,1.445948e+02,1.330159e+02,-1.003897e-01,5.398900e-01,8.990767e-01,8.624611e-01,-7.000000e-03,1.058420e-04,-1.182507e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.594812e+00,-5.015894e+00,-2.866378e-02,3.851593e+01,3.494175e+01,3.269717e-01,1.855763e+02,1.562176e+02,1.404524e-02,4.278712e-03
8.000000e+00,1.445156e+02,1.330784e+02,-1.029348e-01,5.328900e-01,8.992358e-01,8.612831e-01,-7.000000e-03,1.591202e-04,-1.177981e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.515590e+00,-5.078377e+00,-2.611868e-02,4.303152e+01,4.002013e+01,3.530903e-01,2.059669e+02,1.820075e+02,1.472743e-02,4.329125e-03
9.000000e+00,1.444304e+02,1.331295e+02,-1.055155e-01,5.258900e-01,8.994103e-01,8.601007e-01,-7.000000e-03,1.744667e-04,-1.182449e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-4.430437e+00,-5.129501e+00,-2.353793e-02,4.746196e+01,4.514963e+01,3.766283e-01,2.255957e+02,2.083193e+02,1.528146e-02,4.379554e-03
