t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.450000e+02,1.310000e+02,-8.563777e-02,5.888900e-01,8.744700e-01,7.926545e-01,-7.000000e-03,-2.000000e-02,4.364491e-03,1.400000e+02,1.280000e+02,-1.290535e-01,-5.000000e+00,-3.000000e+00,-4.341569e-02,5.000000e+00,3.000000e+00,4.341569e-02,2.500000e+01,9.000000e+00,1.884922e-03,4.680488e-04
1.000000e+00,1.449859e+02,1.308210e+02,-1.014003e-01,5.818900e-01,8.672375e-01,7.921240e-01,-7.000000e-03,-7.232529e-03,-5.305340e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.985939e+00,-2.821016e+00,-2.765314e-02,9.985939e+00,5.821016e+00,7.106883e-02,4.985959e+01,1.695813e+01,2.649618e-03,5.696397e-04
2.000000e+00,1.449692e+02,1.305159e+02,-1.083264e-01,5.748900e-01,8.691176e-01,7.918535e-01,-7.000000e-03,1.880110e-03,-2.704280e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.969220e+00,-2.515926e+00,-2.072709e-02,1.495516e+01,8.336943e+00,9.179592e-02,7.455273e+01,2.328802e+01,3.079231e-03,6.222477e-04
3.000000e+00,1.449454e+02,1.302768e+02,-1.090771e-01,5.678900e-01,8.708809e-01,7.917722e-01,-7.000000e-03,1.763350e-03,-8.134014e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.945382e+00,-2.276751e+00,-1.997634e-02,1.990054e+01,1.061369e+01,1.117723e-01,9.900954e+01,2.847161e+01,3.478285e-03,6.743637e-04
4.000000e+00,1.449145e+02,1.300939e+02,-1.099991e-01,5.608900e-01,8.721567e-01,7.917938e-01,-7.000000e-03,1.275771e-03,2.158246e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.914478e+00,-2.093878e+00,-1.905437e-02,2.481502e+01,1.270757e+01,1.308266e-01,1.231616e+02,3.285593e+01,3.841354e-03,7.249917e-04
5.000000e+00,1.448768e+02,1.299513e+02,-1.113418e-01,5.538900e-01,8.730555e-01,7.918669e-01,-7.000000e-03,8.988122e-04,7.313450e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.876752e+00,-1.951350e+00,-1.771168e-02,2.969177e+01,1.465892e+01,1.485383e-01,1.469443e+02,3.666370e+01,4.155057e-03,7.748050e-04
6.000000e+00,1.448324e+02,1.298370e+02,-1.130249e-01,5.468900e-01,8.737208e-01,7.919627e-01,-7.000000e-03,6.653006e-04,9.580925e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.832402e+00,-1.837012e+00,-1.602854e-02,3.452417e+01,1.649593e+01,1.645668e-01,1.702964e+02,4.003831e+01,4.411971e-03,8.242568e-04
7.000000e+00,1.447816e+02,1.297428e+02,-1.149472e-01,5.398900e-01,8.742545e-01,7.920652e-01,-7.000000e-03,5.337325e-04,1.024444e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.781562e+00,-1.742774e+00,-1.410627e-02,3.930573e+01,1.823871e+01,1.786731e-01,1.931598e+02,4.307557e+01,4.610958e-03,8.735521e-04
8.000000e+00,1.447243e+02,1.296634e+02,-1.170368e-01,5.328900e-01,8.747195e-01,7.921654e-01,-7.000000e-03,4.649253e-04,1.001912e-04,1.400000e+02,1.280000e+02,-1.290535e-01,-4.724314e+00,-1.663375e+00,-1.201662e-02,4.403005e+01,1.990208e+01,1.906897e-01,2.154789e+02,4.584239e+01,4.755357e-03,9.227783e-04
9.000000e+00,1.446607e+02,1.295953e+02,-1.192497e-01,5.258900e-01,8.751521e-01,7.922584e-01,-7.000000e-03,4.326581e-04,9.302486e-05,1.400000e+02,1.280000e+02,-1.290535e-01,-4.660714e+00,-1.595329e+00,-9.803752e-03,4.869076e+01,2.149741e+01,2.004935e-01,2.372012e+02,4.838746e+01,4.851471e-03,9.719742e-04
