t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.122600e-01,3.805290e-01,1.226328e-01,-7.000000e-03,-1.009750e-04,1.277015e-05,8.560000e+01,3.530000e+01,-1.096096e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.901036e-05
1.000000e+00,7.559372e+01,1.529908e+01,-1.114347e-01,1.052600e-01,3.801270e-01,1.226494e-01,-7.000000e-03,-4.020647e-04,1.660578e-05,8.560000e+01,3.530000e+01,-1.096096e-01,1.000628e+01,2.000092e+01,1.825107e-03,2.000628e+01,4.000092e+01,1.825107e-03,2.001256e+02,8.000366e+02,3.331017e-06,9.817229e-05
2.000000e+00,7.558124e+01,1.529431e+01,-1.133816e-01,9.826000e-02,3.797952e-01,1.226634e-01,-7.000000e-03,-3.317975e-04,1.403136e-05,8.560000e+01,3.530000e+01,-1.096096e-01,1.001876e+01,2.000569e+01,3.771948e-03,3.002504e+01,6.000661e+01,5.597055e-03,3.005012e+02,1.200264e+03,1.755861e-05,1.472826e-04
3.000000e+00,7.556255e+01,1.528658e+01,-1.153172e-01,9.126000e-02,3.795256e-01,1.226751e-01,-7.000000e-03,-2.695870e-04,1.173825e-05,8.560000e+01,3.530000e+01,-1.096096e-01,1.003745e+01,2.001342e+01,5.707558e-03,4.006249e+01,8.002003e+01,1.130461e-02,4.012516e+02,1.600801e+03,5.013482e-05,1.963554e-04
4.000000e+00,7.553765e+01,1.527665e+01,-1.172447e-01,8.426000e-02,3.793108e-01,1.226849e-01,-7.000000e-03,-2.147771e-04,9.704627e-06,8.560000e+01,3.530000e+01,-1.096096e-01,1.006235e+01,2.002335e+01,7.635113e-03,5.012484e+01,1.000434e+02,1.893973e-02,5.025026e+02,2.001736e+03,1.084298e-04,2.454016e-04
5.000000e+00,7.550653e+01,1.526512e+01,-1.191671e-01,7.726000e-02,3.791441e-01,1.226928e-01,-7.000000e-03,-1.667375e-04,7.909472e-06,8.560000e+01,3.530000e+01,-1.096096e-01,1.009347e+01,2.003488e+01,9.557510e-03,6.021832e+01,1.200783e+02,2.849724e-02,6.043808e+02,2.403132e+03,1.997758e-04,2.944295e-04
6.000000e+00,7.546918e+01,1.525246e+01,-1.210870e-01,7.026000e-02,3.790192e-01,1.226991e-01,-7.000000e-03,-1.248670e-04,6.332686e-06,8.560000e+01,3.530000e+01,-1.096096e-01,1.013082e+01,2.004754e+01,1.147738e-02,7.034914e+01,1.401258e+02,3.997462e-02,7.070142e+02,2.805036e+03,3.315061e-04,3.434451e-04
7.000000e+00,7.542562e+01,1.523904e+01,-1.230067e-01,6.326000e-02,3.789306e-01,1.227040e-01,-7.000000e-03,-8.859547e-05,4.955141e-06,8.560000e+01,3.530000e+01,-1.096096e-01,1.017438e+01,2.006096e+01,1.339710e-02,8.052352e+01,1.601868e+02,5.337172e-02,8.105323e+02,3.207479e+03,5.109885e-04,3.924530e-04
8.000000e+00,7.537583e+01,1.522514e+01,-1.249284e-01,5.626000e-02,3.788732e-01,1.227078e-01,-7.000000e-03,-5.738522e-05,3.758731e-06,8.560000e+01,3.530000e+01,-1.096096e-01,1.022417e+01,2.007486e+01,1.531882e-02,9.074769e+01,1.802616e+02,6.869054e-02,9.150660e+02,3.610479e+03,7.456547e-04,4.414563e-04
9.000000e+00,7.531982e+01,1.521097e+01,-1.268541e-01,4.926000e-02,3.788425e-01,1.227105e-01,-7.000000e-03,-3.073188e-05,2.726395e-06,8.560000e+01,3.530000e+01,-1.096096e-01,1.028018e+01,2.008903e+01,1.724444e-02,1.010279e+02,2.003507e+02,8.593498e-02,1.020748e+03,4.014048e+03,1.043025e-03,4.904572e-04
