t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,1.226200e-01,7.000000e-03,2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.490000e-04
1.000000e+00,7.560162e+01,1.548958e+01,-1.007726e-01,1.332600e-01,4.206300e-01,1.133486e-01,7.000000e-03,2.000000e-02,-9.271376e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.998376e+00,2.810424e+00,-8.836998e-03,3.998376e+00,5.810424e+00,8.836998e-03,7.993505e+00,1.689848e+01,7.809254e-05,9.839584e-04
2.000000e+00,7.560626e+01,1.584978e+01,-9.200093e-02,1.402600e-01,4.406300e-01,1.045873e-01,7.000000e-03,2.000000e-02,-8.761355e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.993736e+00,2.450224e+00,-1.760869e-02,5.992112e+00,8.260647e+00,2.644569e-02,1.196849e+01,2.290208e+01,3.881587e-04,1.509720e-03
3.000000e+00,7.561384e+01,1.636364e+01,-8.342563e-02,1.472600e-01,4.606300e-01,9.635152e-02,7.000000e-03,2.000000e-02,-8.235748e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.986164e+00,1.936359e+00,-2.618399e-02,7.978276e+00,1.019701e+01,5.262969e-02,1.591334e+01,2.665156e+01,1.073760e-03,2.026547e-03
4.000000e+00,7.562426e+01,1.701593e+01,-7.504131e-02,1.542600e-01,4.806300e-01,8.859410e-02,7.000000e-03,2.000000e-02,-7.757417e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.975742e+00,1.284070e+00,-3.456831e-02,9.954017e+00,1.148108e+01,8.719799e-02,1.981689e+01,2.830040e+01,2.268728e-03,2.535725e-03
5.000000e+00,7.563745e+01,1.779295e+01,-6.684215e-02,1.612600e-01,5.006300e-01,8.128454e-02,7.000000e-03,2.000000e-02,-7.309559e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.962548e+00,5.070517e-01,-4.276747e-02,1.191657e+01,1.198813e+01,1.299655e-01,2.366848e+01,2.855750e+01,4.097785e-03,3.038154e-03
6.000000e+00,7.565334e+01,1.868239e+01,-5.882284e-02,1.682600e-01,4.806300e-01,7.439686e-02,7.000000e-03,-2.000000e-02,-6.887680e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.946656e+00,-3.823923e-01,-5.078678e-02,1.386322e+01,1.237052e+01,1.807523e-01,2.745795e+01,2.870373e+01,6.677082e-03,3.534595e-03
7.000000e+00,7.568122e+01,1.929384e+01,-6.508215e-02,1.752600e-01,4.606300e-01,8.270404e-02,7.000000e-03,-2.000000e-02,8.307173e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.918781e+00,-9.938371e-01,-4.452747e-02,1.578200e+01,1.336436e+01,2.252797e-01,3.113967e+01,2.969144e+01,8.659778e-03,4.052604e-03
8.000000e+00,7.571878e+01,1.965540e+01,-7.133588e-02,1.822600e-01,4.406300e-01,9.049745e-02,7.000000e-03,-2.000000e-02,7.793410e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.881220e+00,-1.355401e+00,-3.827374e-02,1.766322e+01,1.471976e+01,2.635535e-01,3.467866e+01,3.152855e+01,1.012466e-02,4.562341e-03
9.000000e+00,7.576609e+01,1.979222e+01,-7.737227e-02,1.892600e-01,4.206300e-01,9.773660e-02,7.000000e-03,-2.000000e-02,7.239151e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.833906e+00,-1.492217e+00,-3.223735e-02,1.949713e+01,1.621198e+01,2.957908e-01,3.804187e+01,3.375526e+01,1.116390e-02,5.063746e-03
1.000000e+01,7.582323e+01,1.972683e+01,-8.319881e-02,1.962600e-01,4.006300e-01,1.044826e-01,7.000000e-03,-2.000000e-02,6.746043e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.776765e+00,-1.426826e+00,-2.641081e-02,2.127389e+01,1.763880e+01,3.222016e-01,4.119876e+01,3.579110e+01,1.186143e-02,5.558255e-03
1.100000e+01,7.589027e+01,1.947943e+01,-8.882381e-02,2.032600e-01,3.806300e-01,1.107706e-01,7.000000e-03,-2.000000e-02,6.288005e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.709731e+00,-1.179433e+00,-2.078581e-02,2.298362e+01,1.881824e+01,3.429874e-01,4.412195e+01,3.718216e+01,1.229348e-02,6.046794e-03
1.200000e+01,7.596726e+01,1.906814e+01,-9.425489e-02,2.102600e-01,3.606300e-01,1.166293e-01,7.000000e-03,-2.000000e-02,5.858672e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.632740e+00,-7.681417e-01,-1.535473e-02,2.461636e+01,1.958638e+01,3.583422e-01,4.678779e+01,3.777220e+01,1.252925e-02,6.530118e-03
1.300000e+01,7.605427e+01,1.850916e+01,-9.949931e-02,2.172600e-01,3.406300e-01,1.220850e-01,7.000000e-03,-2.000000e-02,5.455691e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.545731e+00,-2.091617e-01,-1.011031e-02,2.616210e+01,1.979554e+01,3.684525e-01,4.917707e+01,3.781595e+01,1.263147e-02,7.008883e-03
1.400000e+01,7.615136e+01,1.781700e+01,-1.045641e-01,2.242600e-01,3.606300e-01,1.271625e-01,7.000000e-03,2.000000e-02,5.077458e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.448644e+00,4.830003e-01,-5.045558e-03,2.761074e+01,2.027854e+01,3.734980e-01,5.127564e+01,3.804924e+01,1.265693e-02,7.483664e-03
1.500000e+01,7.624915e+01,1.738681e+01,-9.523677e-02,2.312600e-01,3.806300e-01,1.169670e-01,7.000000e-03,2.000000e-02,-1.019545e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.350846e+00,9.131910e-01,-1.437285e-02,2.896159e+01,2.119173e+01,3.878709e-01,5.310043e+01,3.888316e+01,1.286351e-02,8.036611e-03
