t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,1.270991e-01,7.000000e-03,2.000000e-02,4.479072e-03,7.760000e+01,1.830000e+01,-1.096096e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.690621e-04
1.000000e+00,7.560095e+01,1.548958e+01,-1.007937e-01,1.332600e-01,4.044883e-01,1.278449e-01,7.000000e-03,3.858320e-03,7.458569e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.999047e+00,2.810424e+00,-8.815893e-03,3.999047e+00,5.810424e+00,8.815893e-03,7.996191e+00,1.689848e+01,7.771998e-05,5.335050e-04
2.000000e+00,7.560719e+01,1.569678e+01,-9.771568e-02,1.402600e-01,3.998709e-01,1.283081e-01,7.000000e-03,-4.617446e-03,4.631666e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.992810e+00,2.603216e+00,-1.189394e-02,5.991857e+00,8.413640e+00,2.070983e-02,1.196748e+01,2.367521e+01,2.191858e-04,6.040403e-04
3.000000e+00,7.562073e+01,1.583967e+01,-9.762356e-02,1.472600e-01,3.968343e-01,1.286051e-01,7.000000e-03,-3.036530e-03,2.969682e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.979271e+00,2.460329e+00,-1.198606e-02,7.971129e+00,1.087397e+01,3.269589e-02,1.588500e+01,2.972843e+01,3.628513e-04,6.623491e-04
4.000000e+00,7.564121e+01,1.593983e+01,-9.692370e-02,1.542600e-01,3.948492e-01,1.288005e-01,7.000000e-03,-1.985154e-03,1.953988e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.958786e+00,2.360171e+00,-1.268592e-02,9.929915e+00,1.323414e+01,4.538181e-02,1.972184e+01,3.529884e+01,5.237840e-04,7.153281e-04
5.000000e+00,7.566841e+01,1.601166e+01,-9.581466e-02,1.612600e-01,3.935527e-01,1.289338e-01,7.000000e-03,-1.296505e-03,1.333177e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.931595e+00,2.288340e+00,-1.379496e-02,1.186151e+01,1.552248e+01,5.917678e-02,2.345290e+01,4.053534e+01,7.140850e-04,7.660268e-04
6.000000e+00,7.570214e+01,1.606468e+01,-9.443212e-02,1.682600e-01,3.927034e-01,1.290298e-01,7.000000e-03,-8.493073e-04,9.606417e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.897857e+00,2.235317e+00,-1.517750e-02,1.375937e+01,1.775780e+01,7.435427e-02,2.705476e+01,4.553198e+01,9.444414e-04,8.157573e-04
7.000000e+00,7.574232e+01,1.610517e+01,-9.286630e-02,1.752600e-01,3.921424e-01,1.291044e-01,7.000000e-03,-5.609543e-04,7.457658e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.857682e+00,2.194828e+00,-1.674332e-02,1.561705e+01,1.995262e+01,9.109760e-02,3.050574e+01,5.034925e+01,1.224780e-03,8.650775e-04
8.000000e+00,7.578886e+01,1.613727e+01,-9.117649e-02,1.822600e-01,3.917659e-01,1.291676e-01,7.000000e-03,-3.764799e-04,6.313083e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.811141e+00,2.162732e+00,-1.843313e-02,1.742819e+01,2.211536e+01,1.095307e-01,3.378597e+01,5.502666e+01,1.564560e-03,9.142233e-04
9.000000e+00,7.584172e+01,1.616371e+01,-8.940148e-02,1.892600e-01,3.915062e-01,1.292256e-01,7.000000e-03,-2.596948e-04,5.807957e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.758284e+00,2.136288e+00,-2.020814e-02,1.918647e+01,2.425164e+01,1.297389e-01,3.687754e+01,5.959039e+01,1.972929e-03,9.632941e-04
