t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,1.270993e-01,7.000000e-03,2.000000e-02,4.479298e-03,7.760000e+01,1.830000e+01,-1.096096e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.690641e-04
1.000000e+00,7.560095e+01,1.548958e+01,-1.007937e-01,1.332600e-01,4.043496e-01,1.279027e-01,7.000000e-03,3.719589e-03,8.034493e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.999048e+00,2.810424e+00,-8.815892e-03,3.999048e+00,5.810424e+00,8.815892e-03,7.996191e+00,1.689848e+01,7.771996e-05,5.325450e-04
2.000000e+00,7.560721e+01,1.569547e+01,-9.776484e-02,1.402600e-01,3.997367e-01,1.284506e-01,7.000000e-03,-4.612843e-03,5.478028e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.992786e+00,2.604531e+00,-1.184478e-02,5.991834e+00,8.414954e+00,2.066068e-02,1.196739e+01,2.368206e+01,2.180189e-04,6.031234e-04
3.000000e+00,7.562076e+01,1.583722e+01,-9.767009e-02,1.472600e-01,3.967047e-01,1.288276e-01,7.000000e-03,-3.032034e-03,3.770757e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.979238e+00,2.462783e+00,-1.193953e-02,7.971071e+00,1.087774e+01,3.260020e-02,1.588477e+01,2.974736e+01,3.605712e-04,6.614588e-04
4.000000e+00,7.564124e+01,1.593639e+01,-9.696687e-02,1.542600e-01,3.947061e-01,1.290895e-01,7.000000e-03,-1.998571e-03,2.618644e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.958756e+00,2.363607e+00,-1.264276e-02,9.929827e+00,1.324134e+01,4.524296e-02,1.972149e+01,3.533400e+01,5.204105e-04,7.145217e-04
5.000000e+00,7.566843e+01,1.600721e+01,-9.586001e-02,1.612600e-01,3.933850e-01,1.292727e-01,7.000000e-03,-1.321147e-03,1.832225e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.931574e+00,2.292788e+00,-1.374961e-02,1.186140e+01,1.553413e+01,5.899257e-02,2.345247e+01,4.059088e+01,7.094623e-04,7.653007e-04
6.000000e+00,7.570215e+01,1.605909e+01,-9.448285e-02,1.682600e-01,3.925093e-01,1.294017e-01,7.000000e-03,-8.756770e-04,1.289706e-04,7.760000e+01,1.830000e+01,-1.096096e-01,1.897848e+00,2.240911e+00,-1.512677e-02,1.375925e+01,1.777504e+01,7.411935e-02,2.705430e+01,4.561256e+01,9.382816e-04,8.150841e-04
7.000000e+00,7.574232e+01,1.609830e+01,-9.292232e-02,1.752600e-01,3.919276e-01,1.294930e-01,7.000000e-03,-5.817348e-04,9.128875e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.857683e+00,2.201705e+00,-1.668730e-02,1.561693e+01,1.997675e+01,9.080665e-02,3.050529e+01,5.046006e+01,1.216748e-03,8.644309e-04
8.000000e+00,7.578885e+01,1.612904e+01,-9.123531e-02,1.822600e-01,3.915404e-01,1.295581e-01,7.000000e-03,-3.872147e-04,6.514908e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.811150e+00,2.170961e+00,-1.837431e-02,1.742808e+01,2.214771e+01,1.091810e-01,3.378555e+01,5.517314e+01,1.554363e-03,9.135850e-04
9.000000e+00,7.584170e+01,1.615416e+01,-8.945920e-02,1.892600e-01,3.912820e-01,1.296054e-01,7.000000e-03,-2.583422e-04,4.729892e-05,7.760000e+01,1.830000e+01,-1.096096e-01,1.758300e+00,2.145838e+00,-2.015042e-02,1.918638e+01,2.429355e+01,1.293314e-01,3.687717e+01,5.977776e+01,1.960402e-03,9.626540e-04
