t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.262600e-01,4.006300e-01,1.226200e-01,7.000000e-03,2.000000e-02,0.000000e+00,7.760000e+01,1.830000e+01,-1.096096e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.490000e-04
1.000000e+00,7.560162e+01,1.548958e+01,-1.007726e-01,1.332600e-01,4.206300e-01,1.014112e-01,7.000000e-03,2.000000e-02,-2.120880e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.998376e+00,2.810424e+00,-8.836998e-03,3.998376e+00,5.810424e+00,8.836998e-03,7.993505e+00,1.689848e+01,7.809254e-05,1.347813e-03
2.000000e+00,7.560805e+01,1.584978e+01,-9.194450e-02,1.402600e-01,4.406300e-01,8.375851e-02,7.000000e-03,2.000000e-02,-1.765269e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.991946e+00,2.450224e+00,-1.766512e-02,5.990321e+00,8.260647e+00,2.650212e-02,1.196135e+01,2.290208e+01,3.901490e-04,2.108431e-03
3.000000e+00,7.561875e+01,1.636370e+01,-8.343702e-02,1.472600e-01,4.606300e-01,6.687180e-02,7.000000e-03,2.000000e-02,-1.688671e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.981251e+00,1.936303e+00,-2.617260e-02,7.971573e+00,1.019695e+01,5.267472e-02,1.588671e+01,2.665135e+01,1.075154e-03,2.842591e-03
4.000000e+00,7.563358e+01,1.701615e+01,-7.520297e-02,1.542600e-01,4.806300e-01,5.051308e-02,7.000000e-03,2.000000e-02,-1.635872e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.966415e+00,1.283853e+00,-3.440665e-02,9.937988e+00,1.148080e+01,8.708137e-02,1.975350e+01,2.829963e+01,2.258972e-03,3.559199e-03
5.000000e+00,7.565248e+01,1.779349e+01,-6.723302e-02,1.612600e-01,4.806300e-01,3.467881e-02,7.000000e-03,0.000000e+00,-1.583428e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.947525e+00,5.065119e-01,-4.237660e-02,1.188551e+01,1.198732e+01,1.294580e-01,2.354635e+01,2.855618e+01,4.054748e-03,3.858923e-03
6.000000e+00,7.568001e+01,1.849379e+01,-6.657333e-02,1.682600e-01,4.606300e-01,3.628354e-02,7.000000e-03,-2.000000e-02,1.604726e-03,7.760000e+01,1.830000e+01,-1.096096e-01,1.919991e+00,-1.937912e-01,-4.303629e-02,1.380550e+01,1.218111e+01,1.724943e-01,2.723272e+01,2.859373e+01,5.906871e-03,4.310499e-03
7.000000e+00,7.571824e+01,1.893532e+01,-7.317942e-02,1.752600e-01,4.406300e-01,5.240203e-02,7.000000e-03,-2.000000e-02,1.611849e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.881765e+00,-6.353185e-01,-3.643020e-02,1.568727e+01,1.281642e+01,2.089245e-01,3.077376e+01,2.899736e+01,7.234031e-03,5.019304e-03
8.000000e+00,7.576496e+01,1.914413e+01,-7.970132e-02,1.822600e-01,4.206300e-01,6.541215e-02,7.000000e-03,-2.000000e-02,1.301012e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.835036e+00,-8.441261e-01,-2.990831e-02,1.752230e+01,1.366055e+01,2.388328e-01,3.414111e+01,2.970991e+01,8.128537e-03,5.637568e-03
9.000000e+00,7.582066e+01,1.914351e+01,-8.592415e-02,1.892600e-01,4.006300e-01,7.773820e-02,7.000000e-03,-2.000000e-02,1.232605e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.779345e+00,-8.435121e-01,-2.368547e-02,1.930165e+01,1.450406e+01,2.625182e-01,3.730718e+01,3.042143e+01,8.689539e-03,6.238499e-03
1.000000e+01,7.588540e+01,1.895438e+01,-9.189078e-02,1.962600e-01,3.806300e-01,8.956898e-02,7.000000e-03,-2.000000e-02,1.183078e-02,7.760000e+01,1.830000e+01,-1.096096e-01,1.714596e+00,-6.543846e-01,-1.771884e-02,2.101625e+01,1.515845e+01,2.802371e-01,4.024702e+01,3.084965e+01,9.003496e-03,6.827467e-03
