t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.634900e-01,6.008200e-01,3.507761e-01,-7.000000e-03,-2.000000e-02,1.098606e-02,9.920000e+01,5.350000e+01,-1.169689e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,5.696935e-04
1.000000e+00,9.719826e+01,5.024848e+01,-1.278986e-01,2.704900e-01,5.808200e-01,3.425038e-01,7.000000e-03,-2.000000e-02,-8.272309e-03,9.920000e+01,5.350000e+01,-1.169689e-01,2.001745e+00,3.251522e+00,1.092972e-02,4.001745e+00,6.251522e+00,1.092972e-02,8.006982e+00,1.957240e+01,1.194589e-04,1.087125e-03
2.000000e+00,9.721026e+01,4.977055e+01,-1.348919e-01,2.634900e-01,5.608200e-01,3.434067e-01,-7.000000e-03,-2.000000e-02,9.029135e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.989745e+00,3.729449e+00,1.792299e-02,5.991489e+00,9.980972e+00,2.885272e-02,1.196607e+01,3.348119e+01,4.406926e-04,1.536940e-03
3.000000e+00,9.722200e+01,4.908955e+01,-1.454229e-01,2.704900e-01,5.650872e-01,3.425060e-01,7.000000e-03,4.267205e-03,-9.006426e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.978004e+00,4.410447e+00,2.845407e-02,7.969493e+00,1.439142e+01,5.730679e-02,1.587856e+01,5.293323e+01,1.250327e-03,1.604960e-03
4.000000e+00,9.723883e+01,4.853091e+01,-1.412043e-01,2.634900e-01,5.664011e-01,3.412289e-01,-7.000000e-03,1.313854e-03,-1.277111e-03,9.920000e+01,5.350000e+01,-1.169689e-01,1.961174e+00,4.969094e+00,2.423547e-02,9.930667e+00,1.936051e+01,8.154226e-02,1.972477e+01,7.762512e+01,1.837685e-03,1.657317e-03
5.000000e+00,9.724910e+01,4.804550e+01,-1.419374e-01,2.704900e-01,5.815335e-01,3.414184e-01,7.000000e-03,1.513247e-02,1.895277e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.950895e+00,5.454503e+00,2.496849e-02,1.188156e+01,2.481502e+01,1.065108e-01,2.353076e+01,1.073767e+02,2.461110e-03,1.935345e-03
6.000000e+00,9.726094e+01,4.779952e+01,-1.328601e-01,2.634900e-01,5.807288e-01,3.402738e-01,-7.000000e-03,-8.047787e-04,-1.144607e-03,9.920000e+01,5.350000e+01,-1.169689e-01,1.939060e+00,5.700479e+00,1.589121e-02,1.382062e+01,3.051549e+01,1.224020e-01,2.729071e+01,1.398722e+02,2.713641e-03,1.986303e-03
7.000000e+00,9.726687e+01,4.756864e+01,-1.346947e-01,2.704900e-01,5.834583e-01,3.411989e-01,7.000000e-03,2.729548e-03,9.250985e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.933127e+00,5.931359e+00,1.772582e-02,1.575375e+01,3.644685e+01,1.401278e-01,3.102769e+01,1.750532e+02,3.027846e-03,2.043609e-03
8.000000e+00,9.727811e+01,4.739551e+01,-1.313678e-01,2.634900e-01,5.832679e-01,3.406044e-01,-7.000000e-03,-1.903960e-04,-5.945513e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.921893e+00,6.104493e+00,1.439891e-02,1.767564e+01,4.255135e+01,1.545267e-01,3.472137e+01,2.123181e+02,3.235174e-03,2.092999e-03
9.000000e+00,9.728317e+01,4.723789e+01,-1.329448e-01,2.704900e-01,5.838971e-01,3.411621e-01,7.000000e-03,6.291929e-04,5.576900e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.916834e+00,6.262115e+00,1.597592e-02,1.959248e+01,4.881346e+01,1.705026e-01,3.839562e+01,2.515321e+02,3.490404e-03,2.142706e-03
