t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,3.397900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,9.720010e+01,5.075141e+01,-1.061043e-01,2.844900e-01,6.608200e-01,3.283914e-01,7.000000e-03,2.000000e-02,-1.139861e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.999898e+00,1.974859e+01,-1.086457e-02,1.999990e+01,3.974859e+01,1.086457e-02,1.999980e+02,7.900069e+02,1.180388e-04,1.027928e-03
2.000000e+00,9.720201e+01,5.122915e+01,-9.530311e-02,2.914900e-01,6.808200e-01,3.176021e-01,7.000000e-03,2.000000e-02,-1.078931e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.997987e+00,1.927085e+01,-2.166575e-02,2.999788e+01,5.901945e+01,3.253032e-02,2.999577e+02,1.161373e+03,5.874436e-04,1.593337e-03
3.000000e+00,9.720564e+01,5.191070e+01,-8.472766e-02,2.984900e-01,7.008200e-01,3.074433e-01,7.000000e-03,2.000000e-02,-1.015875e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.994362e+00,1.858930e+01,-3.224120e-02,3.999225e+01,7.760874e+01,6.477152e-02,3.998450e+02,1.506935e+03,1.626939e-03,2.145538e-03
4.000000e+00,9.721088e+01,5.277583e+01,-7.437273e-02,3.054900e-01,7.208200e-01,2.978591e-01,7.000000e-03,2.000000e-02,-9.584251e-03,1.072000e+02,7.050000e+01,-1.169689e-01,9.989124e+00,1.772417e+01,-4.259613e-02,4.998137e+01,9.533291e+01,1.073677e-01,4.996276e+02,1.821081e+03,3.441369e-03,2.686395e-03
5.000000e+00,9.721764e+01,5.380631e+01,-6.423248e-02,3.124900e-01,7.408200e-01,2.888137e-01,7.000000e-03,2.000000e-02,-9.045382e-03,1.072000e+02,7.050000e+01,-1.169689e-01,9.982362e+00,1.669369e+01,-5.273638e-02,5.996373e+01,1.120266e+02,1.601040e-01,5.992751e+02,2.099760e+03,6.222495e-03,3.217214e-03
6.000000e+00,9.722584e+01,5.498575e+01,-5.430164e-02,3.194900e-01,7.608200e-01,2.802769e-01,7.000000e-03,2.000000e-02,-8.536794e-03,1.072000e+02,7.050000e+01,-1.169689e-01,9.974163e+00,1.551425e+01,-6.266722e-02,6.993790e+01,1.275409e+02,2.227713e-01,6.987591e+02,2.340452e+03,1.014968e-02,3.739091e-03
7.000000e+00,9.723539e+01,5.629941e+01,-4.457526e-02,3.264900e-01,7.808200e-01,2.722207e-01,7.000000e-03,2.000000e-02,-8.056220e-03,1.072000e+02,7.050000e+01,-1.169689e-01,9.964608e+00,1.420059e+01,-7.239360e-02,7.990250e+01,1.417414e+02,2.951649e-01,7.980525e+02,2.542109e+03,1.539051e-02,4.252994e-03
8.000000e+00,9.724623e+01,5.773402e+01,-3.504865e-02,3.334900e-01,8.008200e-01,2.646187e-01,7.000000e-03,2.000000e-02,-7.601993e-03,1.072000e+02,7.050000e+01,-1.169689e-01,9.953773e+00,1.276598e+01,-8.192021e-02,8.985628e+01,1.545074e+02,3.770851e-01,8.971301e+02,2.705079e+03,2.210143e-02,4.759784e-03
9.000000e+00,9.725827e+01,5.927766e+01,-2.571736e-02,3.404900e-01,8.208200e-01,2.574461e-01,7.000000e-03,2.000000e-02,-7.172614e-03,1.072000e+02,7.050000e+01,-1.169689e-01,9.941732e+00,1.122234e+01,-9.125150e-02,9.979801e+01,1.657298e+02,4.683366e-01,9.959681e+02,2.831020e+03,3.042827e-02,5.260231e-03
