t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,3.450204e-01,7.000000e-03,2.000000e-02,5.230355e-03,9.920000e+01,5.350000e+01,-1.169689e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.763566e-04
1.000000e+00,9.719932e+01,5.075141e+01,-1.061355e-01,2.844900e-01,6.443555e-01,3.459370e-01,7.000000e-03,3.535485e-03,9.166360e-04,9.920000e+01,5.350000e+01,-1.169689e-01,2.000682e+00,2.748592e+00,-1.083335e-02,4.000682e+00,5.748592e+00,1.083335e-02,8.002730e+00,1.655476e+01,1.173615e-04,5.386965e-04
2.000000e+00,9.720370e+01,5.102208e+01,-1.028260e-01,2.914900e-01,6.380226e-01,3.465081e-01,7.000000e-03,-6.332880e-03,5.711239e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.996297e+00,2.477915e+00,-1.414290e-02,5.996979e+00,8.226508e+00,2.497625e-02,1.198793e+01,2.269483e+01,3.173830e-04,6.281280e-04
3.000000e+00,9.721626e+01,5.118634e+01,-1.039775e-01,2.984900e-01,6.342538e-01,3.468721e-01,7.000000e-03,-3.768836e-03,3.639508e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.983744e+00,2.313663e+00,-1.299138e-02,7.980723e+00,1.054017e+01,3.796763e-02,1.592317e+01,2.804786e+01,4.861591e-04,6.914646e-04
4.000000e+00,9.723619e+01,5.128753e+01,-1.038816e-01,3.054900e-01,6.319869e-01,3.471093e-01,7.000000e-03,-2.266841e-03,2.372793e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.963805e+00,2.212466e+00,-1.308722e-02,9.944528e+00,1.275264e+01,5.105485e-02,1.977970e+01,3.294287e+01,6.574345e-04,7.456595e-04
5.000000e+00,9.726306e+01,5.135130e+01,-1.030428e-01,3.124900e-01,6.306057e-01,3.472672e-01,7.000000e-03,-1.381218e-03,1.578142e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.936945e+00,2.148698e+00,-1.392610e-02,1.188147e+01,1.490134e+01,6.498095e-02,2.353146e+01,3.755977e+01,8.513706e-04,7.965922e-04
6.000000e+00,9.729656e+01,5.139293e+01,-1.017537e-01,3.194900e-01,6.297511e-01,3.473736e-01,7.000000e-03,-8.546436e-04,1.064593e-04,9.920000e+01,5.350000e+01,-1.169689e-01,1.903440e+00,2.107072e+00,-1.521512e-02,1.378491e+01,1.700841e+01,8.019607e-02,2.715454e+01,4.199952e+01,1.082870e-03,8.463339e-04
7.000000e+00,9.733654e+01,5.142164e+01,-1.001854e-01,3.264900e-01,6.292124e-01,3.474459e-01,7.000000e-03,-5.387040e-04,7.230998e-05,9.920000e+01,5.350000e+01,-1.169689e-01,1.863462e+00,2.078360e+00,-1.678344e-02,1.564837e+01,1.908677e+01,9.697951e-02,3.062703e+01,4.631911e+01,1.364554e-03,8.956294e-04
8.000000e+00,9.738288e+01,5.144309e+01,-9.843821e-02,3.334900e-01,6.288645e-01,3.474951e-01,7.000000e-03,-3.478305e-04,4.916289e-05,9.920000e+01,5.350000e+01,-1.169689e-01,1.817118e+00,2.056914e+00,-1.853066e-02,1.746549e+01,2.114368e+01,1.155102e-01,3.392895e+01,5.055000e+01,1.707940e-03,9.447528e-04
9.000000e+00,9.743552e+01,5.146077e+01,-9.657189e-02,3.404900e-01,6.286319e-01,3.475286e-01,7.000000e-03,-2.326127e-04,3.349094e-05,9.920000e+01,5.350000e+01,-1.169689e-01,1.764478e+00,2.039230e+00,-2.039697e-02,1.922997e+01,2.318291e+01,1.359071e-01,3.704233e+01,5.470846e+01,2.123976e-03,9.938080e-04
