t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.774900e-01,6.408200e-01,3.397900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,9.720010e+01,5.075141e+01,-1.061043e-01,2.844900e-01,6.608200e-01,3.137150e-01,7.000000e-03,2.000000e-02,-2.607496e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.999898e+00,1.974859e+01,-1.086457e-02,1.999990e+01,3.974859e+01,1.086457e-02,1.999980e+02,7.900069e+02,1.180388e-04,1.577903e-03
2.000000e+00,9.720421e+01,5.122915e+01,-9.521530e-02,2.914900e-01,6.808200e-01,2.919273e-01,7.000000e-03,2.000000e-02,-2.178778e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.995785e+00,1.927085e+01,-2.175357e-02,2.999568e+01,5.901945e+01,3.261813e-02,2.999137e+02,1.161373e+03,5.912565e-04,2.501611e-03
3.000000e+00,9.721168e+01,5.191085e+01,-8.469066e-02,2.984900e-01,7.008200e-01,2.710237e-01,7.000000e-03,2.000000e-02,-2.090353e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.988315e+00,1.858915e+01,-3.227821e-02,3.998400e+01,7.760860e+01,6.489634e-02,3.996801e+02,1.506929e+03,1.633139e-03,3.387569e-03
4.000000e+00,9.722237e+01,5.277639e+01,-7.447482e-02,3.054900e-01,7.208200e-01,2.507156e-01,7.000000e-03,2.000000e-02,-2.030814e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.977629e+00,1.772361e+01,-4.249404e-02,4.996163e+01,9.533221e+01,1.073904e-01,4.992332e+02,1.821056e+03,3.438883e-03,4.248989e-03
5.000000e+00,9.723617e+01,5.380765e+01,-6.455802e-02,3.124900e-01,7.208200e-01,2.397900e-01,7.000000e-03,0.000000e+00,-1.092559e-02,1.072000e+02,7.050000e+01,-1.169689e-01,9.963825e+00,1.669235e+01,-5.241085e-02,5.992545e+01,1.120246e+02,1.598012e-01,5.985110e+02,2.099690e+03,6.185780e-03,4.417358e-03
6.000000e+00,9.725788e+01,5.473679e+01,-6.405193e-02,3.194900e-01,7.208200e-01,2.397900e-01,7.000000e-03,0.000000e+00,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.942119e+00,1.576321e+01,-5.291693e-02,6.986757e+01,1.277878e+02,2.127182e-01,6.973567e+02,2.348169e+03,8.985981e-03,4.466358e-03
7.000000e+00,9.728583e+01,5.557461e+01,-6.366638e-02,3.264900e-01,7.208200e-01,2.397900e-01,7.000000e-03,0.000000e+00,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.914169e+00,1.492539e+01,-5.330248e-02,7.978174e+01,1.427132e+02,2.660206e-01,7.956475e+02,2.570936e+03,1.182714e-02,4.515358e-03
8.000000e+00,9.732001e+01,5.633068e+01,-6.324895e-02,3.334900e-01,7.208200e-01,2.397900e-01,7.000000e-03,0.000000e+00,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.879990e+00,1.416932e+01,-5.371991e-02,8.966173e+01,1.568825e+02,3.197406e-01,8.932617e+02,2.771706e+03,1.471296e-02,4.564358e-03
9.000000e+00,9.736040e+01,5.701364e+01,-6.279984e-02,3.404900e-01,7.208200e-01,2.397900e-01,7.000000e-03,0.000000e+00,0.000000e+00,1.072000e+02,7.050000e+01,-1.169689e-01,9.839601e+00,1.348636e+01,-5.416902e-02,9.950133e+01,1.703688e+02,3.739096e-01,9.900794e+02,2.953588e+03,1.764725e-02,4.613358e-03
