t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,5.958900e-01,8.944700e-01,7.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,2.500000e-03
1.000000e+00,1.400075e+02,1.280000e+02,-1.284175e-01,5.958900e-01,8.944700e-01,6.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.992496e+00,2.000004e+01,-6.359551e-04,1.999250e+01,4.000004e+01,6.359551e-04,1.998500e+02,8.000018e+02,4.044389e-07,5.000000e-03
2.000000e+00,1.400225e+02,1.280007e+02,-1.278436e-01,5.958900e-01,8.944700e-01,6.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.977518e+00,1.999931e+01,-1.209871e-03,2.997001e+01,5.999936e+01,1.845826e-03,2.994009e+02,1.199974e+03,1.868226e-06,7.500000e-03
3.000000e+00,1.400449e+02,1.280029e+02,-1.273305e-01,5.958900e-01,8.944700e-01,5.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.955090e+00,1.999711e+01,-1.722942e-03,3.992510e+01,7.999647e+01,3.568768e-03,3.985047e+02,1.599859e+03,4.836755e-06,1.000000e-02
4.000000e+00,1.400748e+02,1.280072e+02,-1.268763e-01,5.958900e-01,8.944700e-01,5.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.925237e+00,1.999283e+01,-2.177179e-03,4.985034e+01,9.998930e+01,5.745947e-03,4.970150e+02,1.999572e+03,9.576863e-06,1.250000e-02
5.000000e+00,1.401120e+02,1.280141e+02,-1.264781e-01,5.958900e-01,8.944700e-01,4.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.887985e+00,1.998590e+01,-2.575413e-03,5.973833e+01,1.199752e+02,8.321359e-03,5.947873e+02,2.399008e+03,1.620961e-05,1.500000e-02
6.000000e+00,1.401566e+02,1.280242e+02,-1.261322e-01,5.958900e-01,8.944700e-01,4.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.843358e+00,1.997583e+01,-2.921314e-03,6.958168e+01,1.399510e+02,1.124267e-02,6.916789e+02,2.798042e+03,2.474369e-05,1.750000e-02
7.000000e+00,1.402086e+02,1.280378e+02,-1.258341e-01,5.958900e-01,8.944700e-01,3.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.791380e+00,1.996218e+01,-3.219404e-03,7.937307e+01,1.599132e+02,1.446208e-02,7.875501e+02,3.196531e+03,3.510825e-05,2.000000e-02
8.000000e+00,1.402679e+02,1.280555e+02,-1.255784e-01,5.958900e-01,8.944700e-01,3.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.732078e+00,1.994455e+01,-3.475082e-03,8.910514e+01,1.798578e+02,1.793716e-02,8.822634e+02,3.594316e+03,4.718444e-05,2.250000e-02
9.000000e+00,1.403345e+02,1.280774e+02,-1.253588e-01,5.958900e-01,8.944700e-01,2.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.665474e+00,1.992258e+01,-3.694642e-03,9.877062e+01,1.997803e+02,2.163180e-02,9.756848e+02,3.991225e+03,6.083482e-05,2.500000e-02
1.000000e+01,1.404084e+02,1.281040e+02,-1.251682e-01,5.958900e-01,8.944700e-01,2.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.591595e+00,1.989595e+01,-3.885307e-03,1.083622e+02,2.196763e+02,2.551711e-02,1.067684e+03,4.387074e+03,7.593043e-05,2.750000e-02
1.100000e+01,1.404895e+02,1.281356e+02,-1.249982e-01,5.958900e-01,8.944700e-01,1.882900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.510463e+00,1.986439e+01,-4.055256e-03,1.178727e+02,2.395407e+02,2.957236e-02,1.158132e+03,4.781668e+03,9.237553e-05,3.000000e-02
1.200000e+01,1.405779e+02,1.281724e+02,-1.248398e-01,5.958900e-01,8.944700e-01,1.382900e-01,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.422105e+00,1.982763e+01,-4.213664e-03,1.272948e+02,2.593683e+02,3.378603e-02,1.246908e+03,5.174802e+03,1.101305e-04,3.250000e-02
1.300000e+01,1.406735e+02,1.282145e+02,-1.246827e-01,5.958900e-01,8.944700e-01,8.829000e-02,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.326543e+00,1.978545e+01,-4.370740e-03,1.366213e+02,2.791538e+02,3.815677e-02,1.333893e+03,5.566267e+03,1.292339e-04,3.500000e-02
1.400000e+01,1.407762e+02,1.282623e+02,-1.245157e-01,5.958900e-01,8.944700e-01,3.829000e-02,0.000000e+00,0.000000e+00,-5.000000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.223803e+00,1.973766e+01,-4.537775e-03,1.458451e+02,2.988914e+02,4.269454e-02,1.418971e+03,5.955842e+03,1.498253e-04,3.750000e-02
1.500000e+01,1.408861e+02,1.283159e+02,-1.243263e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,-3.829000e-02,1.500000e+02,1.480000e+02,-1.290535e-01,9.113907e+00,1.968408e+01,-4.727191e-03,1.549590e+02,3.185755e+02,4.742173e-02,1.502035e+03,6.343305e+03,1.721716e-04,3.896612e-02
1.600000e+01,1.410014e+02,1.283755e+02,-1.242587e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.998638e+00,1.962454e+01,-4.794736e-03,1.639577e+02,3.382000e+02,5.221647e-02,1.583010e+03,6.728427e+03,1.951611e-04,3.896612e-02
1.700000e+01,1.411162e+02,1.284409e+02,-1.246579e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.883757e+00,1.955909e+01,-4.395519e-03,1.728414e+02,3.577591e+02,5.661199e-02,1.661931e+03,7.110985e+03,2.144817e-04,3.896612e-02
1.800000e+01,1.412307e+02,1.285116e+02,-1.249881e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.769261e+00,1.948835e+01,-4.065370e-03,1.816107e+02,3.772475e+02,6.067736e-02,1.738831e+03,7.490781e+03,2.310089e-04,3.896612e-02
1.900000e+01,1.413448e+02,1.285871e+02,-1.252481e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.655151e+00,1.941290e+01,-3.805352e-03,1.902658e+02,3.966604e+02,6.448271e-02,1.813743e+03,7.867642e+03,2.454896e-04,3.896612e-02
2.000000e+01,1.414586e+02,1.286668e+02,-1.254369e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.541425e+00,1.933325e+01,-3.616547e-03,1.988073e+02,4.159936e+02,6.809926e-02,1.886699e+03,8.241416e+03,2.585690e-04,3.896612e-02
2.100000e+01,1.415719e+02,1.287502e+02,-1.255534e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.428081e+00,1.924985e+01,-3.500057e-03,2.072353e+02,4.352435e+02,7.159931e-02,1.957731e+03,8.611973e+03,2.708194e-04,3.896612e-02
2.200000e+01,1.416849e+02,1.288369e+02,-1.255965e-01,5.958900e-01,8.944700e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,8.315118e+00,1.916311e+01,-3.457004e-03,2.155505e+02,4.544066e+02,7.505632e-02,2.026873e+03,8.979197e+03,2.827703e-04,3.896612e-02
