t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.882900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,1.399970e+02,1.283790e+02,-1.140955e-01,6.098900e-01,9.344700e-01,7.883130e-01,7.000000e-03,2.000000e-02,2.304060e-05,1.500000e+02,1.480000e+02,-1.290535e-01,1.000304e+01,1.962095e+01,-1.495800e-02,2.000304e+01,3.962095e+01,1.495800e-02,2.000609e+02,7.849817e+02,2.237418e-04,8.980005e-04
2.000000e+00,1.399909e+02,1.290990e+02,-9.923780e-02,6.168900e-01,9.544700e-01,7.883588e-01,7.000000e-03,2.000000e-02,4.576162e-05,1.500000e+02,1.480000e+02,-1.290535e-01,1.000913e+01,1.890104e+01,-2.981566e-02,3.001217e+01,5.852199e+01,4.477366e-02,3.002435e+02,1.142231e+03,1.112715e-03,1.347003e-03
3.000000e+00,1.399818e+02,1.301253e+02,-8.448096e-02,6.238900e-01,9.744700e-01,7.884269e-01,7.000000e-03,2.000000e-02,6.814349e-05,1.500000e+02,1.480000e+02,-1.290535e-01,1.001824e+01,1.787472e+01,-4.457250e-02,4.003042e+01,7.639672e+01,8.934617e-02,4.006088e+02,1.461737e+03,3.099423e-03,1.796007e-03
4.000000e+00,1.399696e+02,1.314270e+02,-6.982532e-02,6.308900e-01,9.944700e-01,7.885171e-01,7.000000e-03,2.000000e-02,9.016708e-05,1.500000e+02,1.480000e+02,-1.290535e-01,1.003039e+01,1.657302e+01,-5.922814e-02,5.006080e+01,9.296974e+01,1.485743e-01,5.012174e+02,1.736402e+03,6.607396e-03,2.245015e-03
5.000000e+00,1.399545e+02,1.329761e+02,-5.527117e-02,6.378900e-01,1.000000e+00,7.886289e-01,7.000000e-03,5.530000e-03,1.118138e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.004554e+01,1.502388e+01,-7.378230e-02,6.010634e+01,1.079936e+02,2.223566e-01,6.021303e+02,1.962119e+03,1.205122e-02,2.324609e-03
6.000000e+00,1.399431e+02,1.344733e+02,-5.029900e-02,6.448900e-01,1.000000e+00,7.887474e-01,7.000000e-03,0.000000e+00,1.184624e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.005694e+01,1.352666e+01,-7.875446e-02,7.016328e+01,1.215203e+02,3.011111e-01,7.032723e+02,2.145090e+03,1.825349e-02,2.373623e-03
7.000000e+00,1.399380e+02,1.358195e+02,-4.892218e-02,6.518900e-01,1.000000e+00,7.888668e-01,7.000000e-03,0.000000e+00,1.194215e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.006201e+01,1.218052e+01,-8.013129e-02,8.022529e+01,1.337008e+02,3.812424e-01,8.045163e+02,2.293455e+03,2.467451e-02,2.422637e-03
8.000000e+00,1.399392e+02,1.370304e+02,-4.746888e-02,6.588900e-01,1.000000e+00,7.889872e-01,7.000000e-03,0.000000e+00,1.203811e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.006078e+01,1.096960e+01,-8.158459e-02,9.028608e+01,1.446704e+02,4.628269e-01,9.057357e+02,2.413787e+03,3.133056e-02,2.471652e-03
9.000000e+00,1.399467e+02,1.381204e+02,-4.593933e-02,6.658900e-01,1.000000e+00,7.891085e-01,7.000000e-03,0.000000e+00,1.213393e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.005328e+01,9.879626e+00,-8.311414e-02,1.003394e+02,1.545500e+02,5.459411e-01,1.006804e+03,2.511394e+03,3.823852e-02,2.520666e-03
1.000000e+01,1.399605e+02,1.391022e+02,-4.433373e-02,6.728900e-01,1.000000e+00,7.892308e-01,7.000000e-03,0.000000e+00,1.222942e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.003952e+01,8.897755e+00,-8.471973e-02,1.103789e+02,1.634478e+02,6.306608e-01,1.107596e+03,2.590564e+03,4.541595e-02,2.569681e-03
1.100000e+01,1.399805e+02,1.399876e+02,-4.265231e-02,6.798900e-01,1.000000e+00,7.893541e-01,7.000000e-03,0.000000e+00,1.232440e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.001953e+01,8.012435e+00,-8.640116e-02,1.203984e+02,1.714602e+02,7.170620e-01,1.207987e+03,2.654763e+03,5.288111e-02,2.618696e-03
1.200000e+01,1.400067e+02,1.407867e+02,-4.089525e-02,6.868900e-01,1.000000e+00,7.894783e-01,7.000000e-03,0.000000e+00,1.241870e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.993336e+00,7.213270e+00,-8.815822e-02,1.303917e+02,1.786735e+02,8.052202e-01,1.307854e+03,2.706794e+03,6.065298e-02,2.667712e-03
1.300000e+01,1.400390e+02,1.415091e+02,-3.906276e-02,6.938900e-01,1.000000e+00,7.896034e-01,7.000000e-03,0.000000e+00,1.251213e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.960958e+00,6.490906e+00,-8.999071e-02,1.403527e+02,1.851644e+02,8.952109e-01,1.407075e+03,2.748926e+03,6.875131e-02,2.716728e-03
