t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.946935e-01,7.000000e-03,2.000000e-02,6.403490e-03,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.900047e-04
1.000000e+00,1.399960e+02,1.283790e+02,-1.141770e-01,6.098900e-01,9.147396e-01,7.956663e-01,7.000000e-03,2.696389e-04,9.727631e-04,1.420000e+02,1.310000e+02,-1.290535e-01,2.004004e+00,2.620951e+00,-1.487648e-02,4.004004e+00,5.620951e+00,1.487648e-02,8.016034e+00,1.586938e+01,2.213096e-04,5.400237e-04
2.000000e+00,1.399980e+02,1.287249e+02,-1.122587e-01,6.168900e-01,9.077453e-01,7.960794e-01,7.000000e-03,-6.994295e-03,4.131353e-04,1.420000e+02,1.310000e+02,-1.290535e-01,2.001967e+00,2.275120e+00,-1.679475e-02,6.005972e+00,7.896070e+00,3.167123e-02,1.202391e+01,2.104555e+01,5.033733e-04,6.381145e-04
3.000000e+00,1.400096e+02,1.289038e+02,-1.150252e-01,6.238900e-01,9.043516e-01,7.962509e-01,7.000000e-03,-3.393755e-03,1.715381e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.990430e+00,2.096229e+00,-1.402827e-02,7.996402e+00,9.992299e+00,4.569950e-02,1.598572e+01,2.543973e+01,7.001655e-04,6.986615e-04
4.000000e+00,1.400289e+02,1.290017e+02,-1.152967e-01,6.308900e-01,9.026735e-01,7.963147e-01,7.000000e-03,-1.678108e-03,6.374771e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.971071e+00,1.998349e+00,-1.375681e-02,9.967473e+00,1.199065e+01,5.945630e-02,1.987084e+01,2.943313e+01,8.894153e-04,7.504816e-04
5.000000e+00,1.400553e+02,1.290599e+02,-1.143421e-01,6.378900e-01,9.017978e-01,7.963314e-01,7.000000e-03,-8.756782e-04,1.675566e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.944704e+00,1.940053e+00,-1.471140e-02,1.191218e+01,1.393070e+01,7.416770e-02,2.365271e+01,3.319693e+01,1.105840e-03,8.002487e-04
6.000000e+00,1.400883e+02,1.290986e+02,-1.127761e-01,6.448900e-01,9.012898e-01,7.963298e-01,7.000000e-03,-5.080008e-04,-1.653964e-06,1.420000e+02,1.310000e+02,-1.290535e-01,1.911719e+00,1.901446e+00,-1.627740e-02,1.382390e+01,1.583215e+01,9.044510e-02,2.730738e+01,3.681243e+01,1.370794e-03,8.495068e-04
7.000000e+00,1.401277e+02,1.291271e+02,-1.108913e-01,6.518900e-01,9.009441e-01,7.963235e-01,7.000000e-03,-3.457013e-04,-6.279102e-06,1.420000e+02,1.310000e+02,-1.290535e-01,1.872307e+00,1.872907e+00,-1.816216e-02,1.569620e+01,1.770505e+01,1.086073e-01,3.081291e+01,4.032021e+01,1.700658e-03,8.986263e-04
8.000000e+00,1.401734e+02,1.291503e+02,-1.088261e-01,6.588900e-01,9.006641e-01,7.963194e-01,7.000000e-03,-2.800009e-04,-4.059477e-06,1.420000e+02,1.310000e+02,-1.290535e-01,1.826567e+00,1.849686e+00,-2.022732e-02,1.752277e+01,1.955474e+01,1.288346e-01,3.414926e+01,4.374155e+01,2.109803e-03,9.477047e-04
9.000000e+00,1.402255e+02,1.291706e+02,-1.066457e-01,6.658900e-01,9.004046e-01,7.963211e-01,7.000000e-03,-2.595489e-04,1.704393e-06,1.420000e+02,1.310000e+02,-1.290535e-01,1.774549e+00,1.829351e+00,-2.240772e-02,1.929732e+01,2.138409e+01,1.512423e-01,3.729828e+01,4.708807e+01,2.611909e-03,9.967721e-04
