t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.882900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.490000e-04
1.000000e+00,1.399970e+02,1.283790e+02,-1.140955e-01,6.098900e-01,9.344700e-01,7.872829e-01,7.000000e-03,2.000000e-02,-1.007075e-03,1.420000e+02,1.310000e+02,-1.290535e-01,2.003044e+00,2.620951e+00,-1.495800e-02,4.003044e+00,5.620951e+00,1.495800e-02,8.012185e+00,1.586938e+01,2.237418e-04,8.990142e-04
2.000000e+00,1.399910e+02,1.290990e+02,-9.922467e-02,6.168900e-01,9.544700e-01,7.864952e-01,7.000000e-03,2.000000e-02,-7.877344e-04,1.420000e+02,1.310000e+02,-1.290535e-01,2.008974e+00,1.901044e+00,-2.982879e-02,6.012018e+00,7.521995e+00,4.478680e-02,1.204816e+01,1.948335e+01,1.113499e-03,1.348635e-03
3.000000e+00,1.399822e+02,1.301253e+02,-8.445841e-02,6.238900e-01,9.344700e-01,7.857483e-01,7.000000e-03,-2.000000e-02,-7.468972e-04,1.420000e+02,1.310000e+02,-1.290535e-01,2.017811e+00,8.747074e-01,-4.459506e-02,8.029829e+00,8.396702e+00,8.938185e-02,1.611972e+01,2.024846e+01,3.102218e-03,1.798193e-03
4.000000e+00,1.399891e+02,1.306690e+02,-9.601317e-02,6.308900e-01,9.144700e-01,7.867769e-01,7.000000e-03,-2.000000e-02,1.028607e-03,1.420000e+02,1.310000e+02,-1.290535e-01,2.010859e+00,3.310339e-01,-3.304030e-02,1.004069e+01,8.727736e+00,1.224221e-01,2.016328e+01,2.035805e+01,4.193879e-03,2.248251e-03
5.000000e+00,1.400116e+02,1.307800e+02,-1.073493e-01,6.378900e-01,9.021181e-01,7.874148e-01,7.000000e-03,-1.235189e-02,6.378710e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.988439e+00,2.200313e-01,-2.170415e-02,1.202913e+01,8.947767e+00,1.441263e-01,2.411717e+01,2.040646e+01,4.664949e-03,2.450227e-03
6.000000e+00,1.400459e+02,1.306481e+02,-1.134259e-01,6.448900e-01,9.144769e-01,7.876388e-01,7.000000e-03,1.235878e-02,2.240098e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.954118e+00,3.519026e-01,-1.562753e-02,1.398324e+01,9.299670e+00,1.597538e-01,2.793574e+01,2.053030e+01,4.909169e-03,2.652016e-03
7.000000e+00,1.400806e+02,1.307673e+02,-1.031131e-01,6.518900e-01,9.052658e-01,7.868244e-01,7.000000e-03,-9.211123e-03,-8.143497e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.919425e+00,2.326733e-01,-2.594033e-02,1.590267e+01,9.532343e+00,1.856942e-01,3.161993e+01,2.058443e+01,5.582069e-03,2.786524e-03
8.000000e+00,1.401259e+02,1.307036e+02,-1.069728e-01,6.588900e-01,9.111812e-01,7.872090e-01,7.000000e-03,5.915396e-03,3.845643e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.874121e+00,2.963998e-01,-2.208069e-02,1.777679e+01,9.828743e+00,2.077748e-01,3.513226e+01,2.067229e+01,6.069626e-03,2.870664e-03
9.000000e+00,1.401745e+02,1.307632e+02,-1.007737e-01,6.658900e-01,9.066448e-01,7.867544e-01,7.000000e-03,-4.536365e-03,-4.546268e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.825496e+00,2.367808e-01,-2.827972e-02,1.960229e+01,1.006552e+01,2.360546e-01,3.846470e+01,2.072835e+01,6.869369e-03,2.940449e-03
