t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.946935e-01,7.000000e-03,2.000000e-02,6.403490e-03,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.900047e-04
1.000000e+00,1.399960e+02,1.283790e+02,-1.141770e-01,6.098900e-01,9.137994e-01,7.955490e-01,7.000000e-03,-6.705871e-04,8.554938e-04,1.420000e+02,1.310000e+02,-1.290535e-01,2.004004e+00,2.620951e+00,-1.487648e-02,4.004004e+00,5.620951e+00,1.487648e-02,8.016034e+00,1.586938e+01,2.213096e-04,5.401862e-04
2.000000e+00,1.399985e+02,1.287071e+02,-1.128737e-01,6.168900e-01,9.066184e-01,7.959927e-01,7.000000e-03,-7.180996e-03,4.436884e-04,1.420000e+02,1.310000e+02,-1.290535e-01,2.001510e+00,2.292941e+00,-1.617980e-02,6.005515e+00,7.913892e+00,3.105628e-02,1.202208e+01,2.112696e+01,4.830955e-04,6.409498e-04
3.000000e+00,1.400106e+02,1.288664e+02,-1.157552e-01,6.238900e-01,9.031549e-01,7.962384e-01,7.000000e-03,-3.463489e-03,2.457075e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.989435e+00,2.133580e+00,-1.329831e-02,7.994949e+00,1.004747e+01,4.435459e-02,1.597993e+01,2.567912e+01,6.599406e-04,7.020059e-04
4.000000e+00,1.400305e+02,1.289455e+02,-1.160639e-01,6.308900e-01,9.014234e-01,7.963844e-01,7.000000e-03,-1.731485e-03,1.460391e-04,1.420000e+02,1.310000e+02,-1.290535e-01,1.969518e+00,2.054546e+00,-1.298953e-02,9.964468e+00,1.210202e+01,5.734412e-02,1.985893e+01,2.990028e+01,8.286685e-04,7.540253e-04
5.000000e+00,1.400574e+02,1.289858e+02,-1.151354e-01,6.378900e-01,9.005119e-01,7.964764e-01,7.000000e-03,-9.115753e-04,9.194722e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.942582e+00,2.014168e+00,-1.391802e-02,1.190705e+01,1.411619e+01,7.126214e-02,2.363256e+01,3.395716e+01,1.022380e-03,8.038647e-04
6.000000e+00,1.400910e+02,1.290077e+02,-1.135835e-01,6.448900e-01,8.999988e-01,7.965359e-01,7.000000e-03,-5.130898e-04,5.949018e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.909024e+00,1.992315e+00,-1.546995e-02,1.381607e+01,1.610850e+01,8.673209e-02,2.727693e+01,3.792648e+01,1.261699e-03,8.531315e-04
7.000000e+00,1.401310e+02,1.290211e+02,-1.116921e-01,6.518900e-01,8.996866e-01,7.965738e-01,7.000000e-03,-3.122113e-04,3.791796e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.869049e+00,1.978898e+00,-1.736134e-02,1.568512e+01,1.808740e+01,1.040934e-01,3.077028e+01,4.184251e+01,1.563115e-03,9.022304e-04
8.000000e+00,1.401772e+02,1.290314e+02,-1.095948e-01,6.588900e-01,8.994795e-01,7.965963e-01,7.000000e-03,-2.070446e-04,2.250119e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.822769e+00,1.968600e+00,-1.945871e-02,1.750789e+01,2.005600e+01,1.235521e-01,3.409276e+01,4.571790e+01,1.941756e-03,9.512738e-04
9.000000e+00,1.402297e+02,1.290415e+02,-1.073563e-01,6.658900e-01,8.993284e-01,7.966075e-01,7.000000e-03,-1.511626e-04,1.123066e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.770251e+00,1.958465e+00,-2.169716e-02,1.927814e+01,2.201446e+01,1.452493e-01,3.722655e+01,4.955348e+01,2.412523e-03,1.000297e-03
1.000000e+01,1.402885e+02,1.290532e+02,-1.050104e-01,6.728900e-01,8.991723e-01,7.966180e-01,7.000000e-03,-1.560481e-04,1.050399e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.711542e+00,1.946771e+00,-2.404308e-02,2.098969e+01,2.396123e+01,1.692924e-01,4.015593e+01,5.334340e+01,2.990593e-03,1.049321e-03
1.100000e+01,1.403533e+02,1.290669e+02,-1.025979e-01,6.711531e-01,8.990160e-01,7.966285e-01,-1.736866e-03,-1.563596e-04,1.048579e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.646660e+00,1.933127e+00,-2.645560e-02,2.263635e+01,2.589436e+01,1.957480e-01,4.286742e+01,5.708038e+01,3.690491e-03,1.052363e-03
1.200000e+01,1.404165e+02,1.290829e+02,-1.024185e-01,6.688615e-01,8.988560e-01,7.966399e-01,-2.291675e-03,-1.599449e-04,1.138267e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.583488e+00,1.917098e+00,-2.663501e-02,2.421983e+01,2.781146e+01,2.223830e-01,4.537485e+01,6.075564e+01,4.399915e-03,1.057640e-03
1.300000e+01,1.404775e+02,1.291008e+02,-1.024076e-01,6.666592e-01,8.986922e-01,7.966531e-01,-2.202213e-03,-1.638254e-04,1.318537e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.522519e+00,1.899170e+00,-2.664589e-02,2.574235e+01,2.971063e+01,2.490289e-01,4.769292e+01,6.436249e+01,5.109919e-03,1.062517e-03
1.400000e+01,1.405363e+02,1.291202e+02,-1.024012e-01,6.645297e-01,8.985248e-01,7.966686e-01,-2.129496e-03,-1.673660e-04,1.554221e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.463663e+00,1.879838e+00,-2.665228e-02,2.720602e+01,3.159047e+01,2.756812e-01,4.983523e+01,6.789628e+01,5.820263e-03,1.067080e-03
1.500000e+01,1.405932e+02,1.291405e+02,-1.024024e-01,6.624600e-01,8.983546e-01,7.966868e-01,-2.069743e-03,-1.702265e-04,1.818102e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.406846e+00,1.859531e+00,-2.665105e-02,2.861286e+01,3.345000e+01,3.023322e-01,5.181444e+01,7.135414e+01,6.530542e-03,1.071393e-03
1.600000e+01,1.406480e+02,1.291614e+02,-1.024133e-01,6.604403e-01,8.981824e-01,7.967077e-01,-2.019668e-03,-1.722219e-04,2.088945e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.352006e+00,1.838614e+00,-2.664012e-02,2.996487e+01,3.528861e+01,3.289723e-01,5.364236e+01,7.473464e+01,7.240237e-03,1.075502e-03
1.700000e+01,1.407009e+02,1.291826e+02,-1.024352e-01,6.584639e-01,8.980091e-01,7.967312e-01,-1.976429e-03,-1.732505e-04,2.350191e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.299092e+00,1.817394e+00,-2.661824e-02,3.126396e+01,3.710601e+01,3.555906e-01,5.533000e+01,7.803756e+01,7.948768e-03,1.079439e-03
1.800000e+01,1.407519e+02,1.292039e+02,-1.024686e-01,6.565263e-01,8.978359e-01,7.967571e-01,-1.937582e-03,-1.732558e-04,2.589003e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.248056e+00,1.796123e+00,-2.658490e-02,3.251202e+01,3.890213e+01,3.821755e-01,5.688765e+01,8.126362e+01,8.655525e-03,1.083224e-03
1.900000e+01,1.408011e+02,1.292250e+02,-1.025133e-01,6.546253e-01,8.976637e-01,7.967850e-01,-1.901035e-03,-1.722058e-04,2.795549e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.198860e+00,1.775002e+00,-2.654018e-02,3.371088e+01,4.067713e+01,4.087157e-01,5.832491e+01,8.441425e+01,9.359907e-03,1.086868e-03
2.000000e+01,1.408485e+02,1.292458e+02,-1.025688e-01,6.527603e-01,8.974936e-01,7.968146e-01,-1.865004e-03,-1.700826e-04,2.962410e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.151463e+00,1.754190e+00,-2.648467e-02,3.486234e+01,4.243132e+01,4.352003e-01,5.965078e+01,8.749144e+01,1.006134e-02,1.090376e-03
2.100000e+01,1.408942e+02,1.292662e+02,-1.026341e-01,6.509323e-01,8.973267e-01,7.968455e-01,-1.827969e-03,-1.668748e-04,3.084109e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.105830e+00,1.733803e+00,-2.641941e-02,3.596817e+01,4.416513e+01,4.616197e-01,6.087364e+01,9.049751e+01,1.075933e-02,1.093746e-03
2.200000e+01,1.409381e+02,1.292861e+02,-1.027076e-01,6.491437e-01,8.971641e-01,7.968771e-01,-1.788638e-03,-1.625725e-04,3.156652e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.061921e+00,1.713922e+00,-2.634585e-02,3.703009e+01,4.587905e+01,4.879656e-01,6.200131e+01,9.343504e+01,1.145343e-02,1.096973e-03
2.300000e+01,1.409803e+02,1.293054e+02,-1.027877e-01,6.473964e-01,8.970064e-01,7.969090e-01,-1.747297e-03,-1.577539e-04,3.189524e-05,1.420000e+02,1.310000e+02,-1.290535e-01,1.019699e+00,1.694595e+00,-2.626577e-02,3.804979e+01,4.757364e+01,5.142314e-01,6.304110e+01,9.630669e+01,1.214332e-02,1.100052e-03
2.400000e+01,1.410209e+02,1.293241e+02,-1.028730e-01,6.456921e-01,8.968536e-01,7.969409e-01,-1.704318e-03,-1.527329e-04,3.190698e-05,1.420000e+02,1.310000e+02,-1.290535e-01,9.791215e-01,1.675851e+00,-2.618051e-02,3.902891e+01,4.924949e+01,5.404119e-01,6.399978e+01,9.911517e+01,1.282874e-02,1.102981e-03
2.500000e+01,1.410599e+02,1.293423e+02,-1.029624e-01,6.440320e-01,8.967060e-01,7.969725e-01,-1.660038e-03,-1.476581e-04,3.166397e-05,1.420000e+02,1.310000e+02,-1.290535e-01,9.401479e-01,1.657706e+00,-2.609111e-02,3.996906e+01,5.090720e+01,5.665030e-01,6.488366e+01,1.018632e+02,1.350949e-02,1.105760e-03
2.600000e+01,1.410973e+02,1.293598e+02,-1.030550e-01,6.424173e-01,8.965634e-01,7.970037e-01,-1.614762e-03,-1.426020e-04,3.121662e-05,1.420000e+02,1.310000e+02,-1.290535e-01,9.027350e-01,1.640173e+00,-2.599844e-02,4.087179e+01,5.254737e+01,5.925014e-01,6.569859e+01,1.045533e+02,1.418541e-02,1.108388e-03
2.700000e+01,1.411332e+02,1.293767e+02,-1.031502e-01,6.408485e-01,8.964258e-01,7.970343e-01,-1.568766e-03,-1.376017e-04,3.060661e-05,1.420000e+02,1.310000e+02,-1.290535e-01,8.668389e-01,1.623254e+00,-2.590326e-02,4.173863e+01,5.417063e+01,6.184047e-01,6.645000e+01,1.071883e+02,1.485639e-02,1.110869e-03
2.800000e+01,1.411676e+02,1.293930e+02,-1.032472e-01,6.393262e-01,8.962931e-01,7.970642e-01,-1.522301e-03,-1.326776e-04,2.986882e-05,1.420000e+02,1.310000e+02,-1.290535e-01,8.324154e-01,1.606953e+00,-2.580623e-02,4.257105e+01,5.577758e+01,6.442109e-01,6.714291e+01,1.097706e+02,1.552235e-02,1.113205e-03
2.900000e+01,1.412006e+02,1.294087e+02,-1.033455e-01,6.378506e-01,8.961653e-01,7.970932e-01,-1.475588e-03,-1.278421e-04,2.903253e-05,1.420000e+02,1.310000e+02,-1.290535e-01,7.994198e-01,1.591265e+00,-2.570793e-02,4.337047e+01,5.736885e+01,6.699188e-01,6.778198e+01,1.123027e+02,1.618325e-02,1.115400e-03
3.000000e+01,1.412322e+02,1.294238e+02,-1.034446e-01,6.364218e-01,8.960422e-01,7.971214e-01,-1.428828e-03,-1.231033e-04,2.812235e-05,1.420000e+02,1.310000e+02,-1.290535e-01,7.678075e-01,1.576186e+00,-2.560889e-02,4.413827e+01,5.894503e+01,6.955277e-01,6.837151e+01,1.147871e+02,1.683906e-02,1.117457e-03
3.100000e+01,1.412625e+02,1.294383e+02,-1.035439e-01,6.350396e-01,8.959237e-01,7.971485e-01,-1.382199e-03,-1.184673e-04,2.715895e-05,1.420000e+02,1.310000e+02,-1.290535e-01,7.375338e-01,1.561708e+00,-2.550957e-02,4.487581e+01,6.050674e+01,7.210373e-01,6.891547e+01,1.172260e+02,1.748980e-02,1.119383e-03
3.200000e+01,1.412914e+02,1.294522e+02,-1.036431e-01,6.337037e-01,8.958097e-01,7.971747e-01,-1.335858e-03,-1.139386e-04,2.615964e-05,1.420000e+02,1.310000e+02,-1.290535e-01,7.085541e-01,1.547822e+00,-2.541037e-02,4.558436e+01,6.205456e+01,7.464477e-01,6.941752e+01,1.196218e+02,1.813549e-02,1.121181e-03
3.300000e+01,1.413192e+02,1.294655e+02,-1.037418e-01,6.324138e-01,8.957002e-01,7.971998e-01,-1.289943e-03,-1.095209e-04,2.513884e-05,1.420000e+02,1.310000e+02,-1.290535e-01,6.808245e-01,1.534516e+00,-2.531168e-02,4.626519e+01,6.358908e+01,7.717593e-01,6.988104e+01,1.219765e+02,1.877617e-02,1.122857e-03
3.400000e+01,1.413457e+02,1.294782e+02,-1.038397e-01,6.311692e-01,8.955950e-01,7.972239e-01,-1.244577e-03,-1.052169e-04,2.410850e-05,1.420000e+02,1.310000e+02,-1.290535e-01,6.543013e-01,1.521777e+00,-2.521379e-02,4.691949e+01,6.511086e+01,7.969731e-01,7.030915e+01,1.242923e+02,1.941190e-02,1.124418e-03
3.500000e+01,1.413711e+02,1.294904e+02,-1.039365e-01,6.299693e-01,8.954940e-01,7.972470e-01,-1.199866e-03,-1.010288e-04,2.307848e-05,1.420000e+02,1.310000e+02,-1.290535e-01,6.289414e-01,1.509592e+00,-2.511701e-02,4.754843e+01,6.662045e+01,8.220901e-01,7.070472e+01,1.265712e+02,2.004277e-02,1.125868e-03
3.600000e+01,1.413953e+02,1.295021e+02,-1.040319e-01,6.288134e-01,8.953970e-01,7.972691e-01,-1.155900e-03,-9.695809e-05,2.205683e-05,1.420000e+02,1.310000e+02,-1.290535e-01,6.047026e-01,1.497946e+00,-2.502156e-02,4.815313e+01,6.811839e+01,8.471117e-01,7.107038e+01,1.288150e+02,2.066884e-02,1.127214e-03
3.700000e+01,1.414185e+02,1.295132e+02,-1.041258e-01,6.277007e-01,8.953040e-01,7.972901e-01,-1.112758e-03,-9.300579e-05,2.105007e-05,1.420000e+02,1.310000e+02,-1.290535e-01,5.815431e-01,1.486822e+00,-2.492766e-02,4.873468e+01,6.960522e+01,8.720393e-01,7.140857e+01,1.310256e+02,2.129023e-02,1.128462e-03
3.800000e+01,1.414406e+02,1.295238e+02,-1.042180e-01,6.266302e-01,8.952148e-01,7.973102e-01,-1.070507e-03,-8.917245e-05,2.006341e-05,1.420000e+02,1.310000e+02,-1.290535e-01,5.594223e-01,1.476206e+00,-2.483548e-02,4.929410e+01,7.108142e+01,8.968748e-01,7.172153e+01,1.332048e+02,2.190703e-02,1.129616e-03
3.900000e+01,1.414617e+02,1.295339e+02,-1.043083e-01,6.256010e-01,8.951294e-01,7.973293e-01,-1.029201e-03,-8.545817e-05,1.910095e-05,1.420000e+02,1.310000e+02,-1.290535e-01,5.383003e-01,1.466080e+00,-2.474519e-02,4.983240e+01,7.254750e+01,9.216200e-01,7.201129e+01,1.353542e+02,2.251936e-02,1.130683e-03
4.000000e+01,1.414819e+02,1.295436e+02,-1.043966e-01,6.246121e-01,8.950475e-01,7.973475e-01,-9.888866e-04,-8.186266e-05,1.816585e-05,1.420000e+02,1.310000e+02,-1.290535e-01,5.181382e-01,1.456428e+00,-2.465690e-02,5.035054e+01,7.400393e+01,9.462769e-01,7.227976e+01,1.374754e+02,2.312732e-02,1.131668e-03
4.100000e+01,1.415011e+02,1.295528e+02,-1.044827e-01,6.236625e-01,8.949691e-01,7.973647e-01,-9.495992e-04,-7.838525e-05,1.726047e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.988979e-01,1.447233e+00,-2.457072e-02,5.084943e+01,7.545116e+01,9.708476e-01,7.252866e+01,1.395699e+02,2.373104e-02,1.132576e-03
4.200000e+01,1.415195e+02,1.295615e+02,-1.045667e-01,6.227511e-01,8.948941e-01,7.973811e-01,-9.113675e-04,-7.502496e-05,1.638652e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.805425e-01,1.438477e+00,-2.448673e-02,5.132998e+01,7.688964e+01,9.953344e-01,7.275958e+01,1.416391e+02,2.433064e-02,1.133412e-03
4.300000e+01,1.415370e+02,1.295699e+02,-1.046485e-01,6.218769e-01,8.948223e-01,7.973966e-01,-8.742125e-04,-7.178052e-05,1.554513e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.630361e-01,1.430145e+00,-2.440501e-02,5.179301e+01,7.831978e+01,1.019739e+00,7.297398e+01,1.436844e+02,2.492625e-02,1.134182e-03
4.400000e+01,1.415537e+02,1.295778e+02,-1.047279e-01,6.210388e-01,8.947537e-01,7.974114e-01,-8.381486e-04,-6.865040e-05,1.473696e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.463438e-01,1.422219e+00,-2.432559e-02,5.223936e+01,7.974200e+01,1.044065e+00,7.317321e+01,1.457071e+02,2.551798e-02,1.134890e-03
4.500000e+01,1.415696e+02,1.295853e+02,-1.048050e-01,6.202356e-01,8.946881e-01,7.974253e-01,-8.031844e-04,-6.563283e-05,1.396231e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.304317e-01,1.414683e+00,-2.424851e-02,5.266979e+01,8.115669e+01,1.068313e+00,7.335848e+01,1.477085e+02,2.610597e-02,1.135539e-03
4.600000e+01,1.415847e+02,1.295925e+02,-1.048797e-01,6.194663e-01,8.946253e-01,7.974386e-01,-7.693235e-04,-6.272585e-05,1.322113e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.152670e-01,1.407521e+00,-2.417379e-02,5.308506e+01,8.256421e+01,1.092487e+00,7.353093e+01,1.496896e+02,2.669034e-02,1.136135e-03
4.700000e+01,1.415992e+02,1.295993e+02,-1.049520e-01,6.187297e-01,8.945654e-01,7.974511e-01,-7.365644e-04,-5.992733e-05,1.251314e-05,1.420000e+02,1.310000e+02,-1.290535e-01,4.008181e-01,1.400716e+00,-2.410144e-02,5.348587e+01,8.396492e+01,1.116589e+00,7.369158e+01,1.516516e+02,2.727122e-02,1.136681e-03
4.800000e+01,1.416129e+02,1.296057e+02,-1.050220e-01,6.180248e-01,8.945082e-01,7.974629e-01,-7.049021e-04,-5.723500e-05,1.183782e-05,1.420000e+02,1.310000e+02,-1.290535e-01,3.870542e-01,1.394254e+00,-2.403147e-02,5.387293e+01,8.535918e+01,1.140620e+00,7.384139e+01,1.535955e+02,2.784873e-02,1.137182e-03
4.900000e+01,1.416261e+02,1.296119e+02,-1.050896e-01,6.173505e-01,8.944535e-01,7.974741e-01,-6.743275e-04,-5.464645e-05,1.119450e-05,1.420000e+02,1.310000e+02,-1.290535e-01,3.739457e-01,1.388119e+00,-2.396385e-02,5.424687e+01,8.674730e+01,1.164584e+00,7.398123e+01,1.555224e+02,2.842300e-02,1.137640e-03
5.000000e+01,1.416385e+02,1.296177e+02,-1.051549e-01,6.167056e-01,8.944014e-01,7.974847e-01,-6.448286e-04,-5.215917e-05,1.058238e-05,1.420000e+02,1.310000e+02,-1.290535e-01,3.614640e-01,1.382297e+00,-2.389857e-02,5.460834e+01,8.812959e+01,1.188483e+00,7.411188e+01,1.574331e+02,2.899414e-02,1.138058e-03
5.100000e+01,1.416504e+02,1.296232e+02,-1.052179e-01,6.160892e-01,8.943516e-01,7.974947e-01,-6.163907e-04,-4.977057e-05,1.000054e-05,1.420000e+02,1.310000e+02,-1.290535e-01,3.495815e-01,1.376773e+00,-2.383560e-02,5.495792e+01,8.950637e+01,1.212318e+00,7.423409e+01,1.593286e+02,2.956228e-02,1.138441e-03
