t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.382900e-01,7.000000e-03,2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,2.949000e-03
1.000000e+00,1.400045e+02,1.283790e+02,-1.134588e-01,5.958900e-01,8.944700e-01,6.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.995544e+00,2.620951e+00,-1.559471e-02,3.995544e+00,5.620951e+00,1.559471e-02,7.982196e+00,1.586938e+01,2.431948e-04,5.898000e-03
2.000000e+00,1.400194e+02,1.283416e+02,-1.279423e-01,5.888900e-01,8.744700e-01,6.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.980555e+00,2.658442e+00,-1.111154e-03,5.976099e+00,8.279393e+00,1.670586e-02,1.190480e+01,2.293670e+01,2.444295e-04,8.847000e-03
3.000000e+00,1.400449e+02,1.279302e+02,-1.423918e-01,5.818900e-01,8.544700e-01,5.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.955068e+00,3.069796e+00,1.333835e-02,7.931168e+00,1.134919e+01,3.004421e-02,1.572709e+01,3.236034e+01,4.223411e-04,1.179600e-02
4.000000e+00,1.400809e+02,1.271833e+02,-1.568093e-01,5.748900e-01,8.344700e-01,5.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.919114e+00,3.816701e+00,2.775587e-02,9.850281e+00,1.516589e+01,5.780009e-02,1.941008e+01,4.692755e+01,1.192730e-03,1.474500e-02
5.000000e+00,1.401273e+02,1.261352e+02,-1.711965e-01,5.678900e-01,8.144700e-01,4.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.872721e+00,4.864777e+00,4.214306e-02,1.172300e+01,2.003067e+01,9.994315e-02,2.291717e+01,7.059360e+01,2.968767e-03,1.769400e-02
6.000000e+00,1.401841e+02,1.248168e+02,-1.855546e-01,5.608900e-01,7.944700e-01,4.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.815917e+00,6.183179e+00,5.650114e-02,1.353892e+01,2.621384e+01,1.564443e-01,2.621472e+01,1.088253e+02,6.161146e-03,2.064300e-02
7.000000e+00,1.402513e+02,1.232558e+02,-1.998844e-01,5.538900e-01,7.744700e-01,3.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.748725e+00,7.744244e+00,7.083092e-02,1.528764e+01,3.395809e+01,2.272752e-01,2.927276e+01,1.687986e+02,1.117817e-02,2.359200e-02
8.000000e+00,1.403288e+02,1.214768e+02,-2.141862e-01,5.468900e-01,7.544700e-01,3.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.671167e+00,9.523173e+00,8.513278e-02,1.695881e+01,4.348126e+01,3.124080e-01,3.206556e+01,2.594894e+02,1.842576e-02,2.654100e-02
9.000000e+00,1.404167e+02,1.195023e+02,-2.284601e-01,5.398900e-01,7.344700e-01,2.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.583263e+00,1.149774e+01,9.940667e-02,1.854207e+01,5.497901e+01,4.118147e-01,3.457228e+01,3.916875e+02,2.830744e-02,2.949000e-02
1.000000e+01,1.405150e+02,1.173519e+02,-2.427056e-01,5.328900e-01,7.144700e-01,2.382900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.485029e+00,1.364805e+01,1.136521e-01,2.002710e+01,6.862706e+01,5.254667e-01,3.677759e+01,5.779569e+02,4.122424e-02,3.243900e-02
1.100000e+01,1.406235e+02,1.150437e+02,-2.569216e-01,5.258900e-01,6.944700e-01,1.882900e-01,-7.000000e-03,-2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.376480e+00,1.595628e+01,1.278681e-01,2.140358e+01,8.458334e+01,6.533349e-01,3.867229e+01,8.325597e+02,5.757450e-02,3.538800e-02
1.200000e+01,1.407424e+02,1.125935e+02,-2.711068e-01,5.188900e-01,7.144700e-01,1.382900e-01,-7.000000e-03,2.000000e-02,-5.000000e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.257628e+00,1.840648e+01,1.420534e-01,2.266121e+01,1.029898e+02,7.953883e-01,4.025392e+01,1.171358e+03,7.775366e-02,3.833700e-02
1.300000e+01,1.408527e+02,1.107783e+02,-2.588432e-01,5.118900e-01,7.344700e-01,1.488869e-01,-7.000000e-03,2.000000e-02,1.059685e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.147289e+00,2.022170e+01,1.297897e-01,2.380850e+01,1.232115e+02,9.251779e-01,4.157019e+01,1.580276e+03,9.459902e-02,3.889829e-02
1.400000e+01,1.409455e+02,1.095346e+02,-2.476008e-01,5.048900e-01,7.544700e-01,1.625798e-01,-7.000000e-03,2.000000e-02,1.369297e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.054548e+00,2.146538e+01,1.185473e-01,2.486305e+01,1.446769e+02,1.043725e+00,4.268226e+01,2.041038e+03,1.086525e-01,3.953479e-02
1.500000e+01,1.410202e+02,1.088046e+02,-2.365788e-01,4.978900e-01,7.744700e-01,1.720324e-01,-7.000000e-03,2.000000e-02,9.452531e-03,1.420000e+02,1.310000e+02,-1.290535e-01,9.798355e-01,2.219542e+01,1.075254e-01,2.584288e+01,1.668723e+02,1.151251e+00,4.364234e+01,2.533675e+03,1.202142e-01,4.007314e-02
1.600000e+01,1.410775e+02,1.085358e+02,-2.256837e-01,4.908900e-01,7.944700e-01,1.778349e-01,-7.000000e-03,2.000000e-02,5.802540e-03,1.420000e+02,1.310000e+02,-1.290535e-01,9.224768e-01,2.246417e+01,9.663020e-02,2.676536e+01,1.893365e+02,1.247881e+00,4.449330e+01,3.038314e+03,1.295516e-01,4.055581e-02
1.700000e+01,1.411181e+02,1.086812e+02,-2.149308e-01,4.838900e-01,8.144700e-01,1.805411e-01,-7.000000e-03,2.000000e-02,2.706226e-03,1.420000e+02,1.310000e+02,-1.290535e-01,8.818840e-01,2.231880e+01,8.587732e-02,2.764724e+01,2.116553e+02,1.333758e+00,4.527102e+01,3.536443e+03,1.369265e-01,4.101213e-02
