t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.882900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,1.399970e+02,1.283790e+02,-1.140955e-01,6.098900e-01,9.344700e-01,7.797839e-01,7.000000e-03,2.000000e-02,-8.506117e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.000304e+01,1.962095e+01,-1.495800e-02,2.000304e+01,3.962095e+01,1.495800e-02,2.000609e+02,7.849817e+02,2.237418e-04,9.703540e-04
2.000000e+00,1.399922e+02,1.290990e+02,-9.912906e-02,6.168900e-01,9.544700e-01,7.714508e-01,7.000000e-03,2.000000e-02,-8.333061e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.000785e+01,1.890104e+01,-2.992441e-02,3.001089e+01,5.852199e+01,4.488241e-02,3.002179e+02,1.142231e+03,1.119212e-03,1.488794e-03
3.000000e+00,1.399856e+02,1.301254e+02,-8.427533e-02,6.238900e-01,9.744700e-01,7.631866e-01,7.000000e-03,2.000000e-02,-8.264180e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.001443e+01,1.787458e+01,-4.477814e-02,4.002533e+01,7.639658e+01,8.966054e-02,4.005068e+02,1.461732e+03,3.124293e-03,2.006091e-03
4.000000e+00,1.399772e+02,1.314275e+02,-6.953260e-02,6.308900e-01,9.944700e-01,7.549601e-01,7.000000e-03,2.000000e-02,-8.226537e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.002280e+01,1.657245e+01,-5.952087e-02,5.004813e+01,9.296903e+01,1.491814e-01,5.009634e+02,1.736378e+03,6.667027e-03,2.522767e-03
5.000000e+00,1.399670e+02,1.329775e+02,-5.490006e-02,6.378900e-01,1.000000e+00,7.467659e-01,7.000000e-03,5.530000e-03,-8.194198e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.003295e+01,1.502247e+01,-7.415340e-02,6.008108e+01,1.079915e+02,2.233348e-01,6.016235e+02,1.962053e+03,1.216575e-02,2.669492e-03
6.000000e+00,1.399619e+02,1.344761e+02,-4.985877e-02,6.448900e-01,1.000000e+00,7.439950e-01,7.000000e-03,0.000000e+00,-2.770909e-03,1.500000e+02,1.480000e+02,-1.290535e-01,1.003812e+01,1.352390e+01,-7.919469e-02,7.011920e+01,1.215154e+02,3.025295e-01,7.023873e+02,2.144949e+03,1.843755e-02,2.726170e-03
7.000000e+00,1.399635e+02,1.358242e+02,-4.849131e-02,6.518900e-01,1.000000e+00,7.431697e-01,7.000000e-03,0.000000e+00,-8.252992e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.003655e+01,1.217580e+01,-8.056215e-02,8.015575e+01,1.336912e+02,3.830917e-01,8.031196e+02,2.293199e+03,2.492781e-02,2.775851e-03
8.000000e+00,1.399714e+02,1.370377e+02,-4.707473e-02,6.588900e-01,1.000000e+00,7.422405e-01,7.000000e-03,0.000000e+00,-9.292404e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.002856e+01,1.096232e+01,-8.197873e-02,9.018431e+01,1.446535e+02,4.650704e-01,9.036917e+02,2.413371e+03,3.164833e-02,2.825715e-03
9.000000e+00,1.399858e+02,1.381308e+02,-4.558062e-02,6.658900e-01,1.000000e+00,7.412528e-01,7.000000e-03,0.000000e+00,-9.876931e-04,1.500000e+02,1.480000e+02,-1.290535e-01,1.001417e+01,9.869242e+00,-8.347284e-02,1.001985e+02,1.545228e+02,5.485432e-01,1.003975e+03,2.510773e+03,3.861604e-02,2.875690e-03
