t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,6.028900e-01,9.144700e-01,7.882900e-01,7.000000e-03,2.000000e-02,0.000000e+00,1.420000e+02,1.310000e+02,-1.290535e-01,2.000000e+00,3.000000e+00,0.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,4.000000e+00,9.000000e+00,0.000000e+00,4.490000e-04
1.000000e+00,1.399970e+02,1.283790e+02,-1.140955e-01,6.098900e-01,9.344700e-01,7.523908e-01,7.000000e-03,2.000000e-02,-3.589920e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.003044e+00,2.620951e+00,-1.495800e-02,4.003044e+00,5.620951e+00,1.495800e-02,8.012185e+00,1.586938e+01,2.237418e-04,2.186753e-03
2.000000e+00,1.399963e+02,1.290990e+02,-9.877975e-02,6.168900e-01,9.544700e-01,7.216163e-01,7.000000e-03,2.000000e-02,-3.077450e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.003740e+00,1.901044e+00,-3.027371e-02,6.006784e+00,7.521995e+00,4.523171e-02,1.202716e+01,1.948335e+01,1.140239e-03,3.582823e-03
3.000000e+00,1.399971e+02,1.301259e+02,-8.367153e-02,6.238900e-01,9.744700e-01,6.914828e-01,7.000000e-03,2.000000e-02,-3.013345e-02,1.420000e+02,1.310000e+02,-1.290535e-01,2.002864e+00,8.741213e-01,-4.538193e-02,8.009648e+00,8.396116e+00,9.061364e-02,1.603862e+01,2.024744e+01,3.199759e-03,4.939847e-03
4.000000e+00,1.399995e+02,1.314293e+02,-6.870533e-02,6.308900e-01,9.544700e-01,6.882900e-01,7.000000e-03,-2.000000e-02,-3.192848e-03,1.420000e+02,1.310000e+02,-1.290535e-01,2.000519e+00,-4.292926e-01,-6.034814e-02,1.001017e+01,8.825409e+00,1.509618e-01,2.004070e+01,2.043173e+01,6.841657e-03,5.399042e-03
5.000000e+00,1.400179e+02,1.322235e+02,-8.043872e-02,6.378900e-01,9.344700e-01,6.957539e-01,7.000000e-03,-2.000000e-02,7.463861e-03,1.420000e+02,1.310000e+02,-1.290535e-01,1.982057e+00,-1.223542e+00,-4.861475e-02,1.199222e+01,1.004895e+01,1.995765e-01,2.396925e+01,2.192879e+01,9.205051e-03,5.903751e-03
6.000000e+00,1.400509e+02,1.325613e+02,-9.206933e-02,6.448900e-01,9.144700e-01,7.189740e-01,7.000000e-03,-2.000000e-02,2.322011e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.949131e+00,-1.561286e+00,-3.698414e-02,1.394135e+01,1.161024e+01,2.365607e-01,2.776836e+01,2.436640e+01,1.057288e-02,6.891924e-03
7.000000e+00,1.400958e+02,1.324896e+02,-1.036558e-01,6.518900e-01,8.944700e-01,7.421293e-01,7.000000e-03,-2.000000e-02,2.315529e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.904152e+00,-1.489594e+00,-2.539767e-02,1.584551e+01,1.309983e+01,2.619583e-01,3.139416e+01,2.658529e+01,1.121792e-02,7.877092e-03
8.000000e+00,1.401529e+02,1.320504e+02,-1.149824e-01,6.588900e-01,8.744700e-01,7.646786e-01,7.000000e-03,-2.000000e-02,2.254936e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.847146e+00,-1.050449e+00,-1.407102e-02,1.769265e+01,1.415028e+01,2.760294e-01,3.480610e+01,2.768874e+01,1.141591e-02,8.834565e-03
9.000000e+00,1.402219e+02,1.312815e+02,-1.260473e-01,6.658900e-01,8.544700e-01,7.867037e-01,7.000000e-03,-2.000000e-02,2.202507e-02,1.420000e+02,1.310000e+02,-1.290535e-01,1.778055e+00,-2.815230e-01,-3.006133e-03,1.947071e+01,1.443180e+01,2.790355e-01,3.796759e+01,2.776799e+01,1.142495e-02,9.768669e-03
