t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,1.400000e+02,1.280000e+02,-1.290535e-01,5.888900e-01,8.744700e-01,7.882900e-01,-7.000000e-03,-2.000000e-02,0.000000e+00,1.500000e+02,1.480000e+02,-1.290535e-01,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+01,2.000000e+01,0.000000e+00,1.000000e+02,4.000000e+02,0.000000e+00,4.490000e-04
1.000000e+00,1.400031e+02,1.276209e+02,-1.440119e-01,5.818900e-01,8.544700e-01,7.893171e-01,-7.000000e-03,-2.000000e-02,1.027147e-03,1.500000e+02,1.480000e+02,-1.290535e-01,9.996949e+00,2.037914e+01,1.495845e-02,1.999695e+01,4.037914e+01,1.495845e-02,1.999390e+02,8.153093e+02,2.237552e-04,8.990550e-04
2.000000e+00,1.400090e+02,1.269008e+02,-1.588854e-01,5.748900e-01,8.344700e-01,7.901606e-01,-7.000000e-03,-2.000000e-02,8.434764e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.991014e+00,2.109916e+01,2.983198e-02,2.998796e+01,6.147830e+01,4.479043e-02,2.997594e+02,1.260484e+03,1.113702e-03,1.348766e-03
3.000000e+00,1.400178e+02,1.258743e+02,-1.736582e-01,5.678900e-01,8.144700e-01,7.909935e-01,-7.000000e-03,-2.000000e-02,8.328541e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.982177e+00,2.212573e+01,4.460469e-02,3.997014e+01,8.360403e+01,8.939512e-02,3.994032e+02,1.750032e+03,3.103281e-03,1.798460e-03
4.000000e+00,1.400296e+02,1.245720e+02,-1.883332e-01,5.608900e-01,7.944700e-01,7.918450e-01,-7.000000e-03,-2.000000e-02,8.515163e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.970443e+00,2.342796e+01,5.927970e-02,4.994058e+01,1.070320e+02,1.486748e-01,4.988129e+02,2.298901e+03,6.617364e-03,2.248185e-03
5.000000e+00,1.400442e+02,1.230219e+02,-2.029114e-01,5.538900e-01,7.944700e-01,7.927199e-01,-7.000000e-03,0.000000e+00,8.748844e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.955823e+00,2.497809e+01,7.385797e-02,5.989641e+01,1.320101e+02,2.225328e-01,5.979314e+02,2.922806e+03,1.207236e-02,2.297951e-03
6.000000e+00,1.400523e+02,1.216281e+02,-2.042699e-01,5.468900e-01,7.944700e-01,7.927176e-01,-7.000000e-03,0.000000e+00,-2.267329e-06,1.500000e+02,1.480000e+02,-1.290535e-01,9.947679e+00,2.637193e+01,7.521639e-02,6.984409e+01,1.583820e+02,2.977492e-01,6.968877e+02,3.618285e+03,1.772987e-02,2.346951e-03
7.000000e+00,1.400541e+02,1.203743e+02,-2.056838e-01,5.398900e-01,7.944700e-01,7.929057e-01,-7.000000e-03,0.000000e+00,1.881139e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.945858e+00,2.762566e+01,7.663035e-02,7.978994e+01,1.860077e+02,3.743795e-01,7.958078e+02,4.381462e+03,2.360208e-02,2.395986e-03
8.000000e+00,1.400496e+02,1.192461e+02,-2.071675e-01,5.328900e-01,7.944700e-01,7.931313e-01,-7.000000e-03,0.000000e+00,2.255989e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.950370e+00,2.875387e+01,7.811401e-02,8.974031e+01,2.147615e+02,4.524935e-01,8.948176e+02,5.208247e+03,2.970388e-02,2.445037e-03
9.000000e+00,1.400388e+02,1.182304e+02,-2.087182e-01,5.258900e-01,7.944700e-01,7.933685e-01,-7.000000e-03,0.000000e+00,2.371796e-04,1.500000e+02,1.480000e+02,-1.290535e-01,9.961204e+00,2.976965e+01,7.966471e-02,9.970152e+01,2.445312e+02,5.321583e-01,9.940432e+02,6.094479e+03,3.605034e-02,2.494093e-03
