t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.122600e-01,3.606300e-01,1.329149e-01,-7.000000e-03,-2.000000e-02,1.029486e-02,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.549841e-04
1.000000e+00,7.559683e+01,1.511051e+01,-1.184945e-01,1.052600e-01,3.462085e-01,1.250303e-01,-7.000000e-03,-1.442146e-02,-7.884554e-03,7.560000e+01,1.530000e+01,-1.096096e-01,3.172915e-03,1.894941e-01,8.884878e-03,3.172915e-03,1.894941e-01,8.884878e-03,1.006739e-05,3.590803e-02,7.894106e-05,8.741289e-04
2.000000e+00,7.559191e+01,1.480324e+01,-1.251224e-01,9.826000e-02,3.262085e-01,1.259930e-01,-7.000000e-03,-2.000000e-02,9.626540e-04,7.560000e+01,1.530000e+01,-1.096096e-01,8.089414e-03,4.967644e-01,1.551274e-02,1.126233e-02,6.862585e-01,2.439762e-02,7.550600e-05,2.826829e-01,3.195863e-04,1.324056e-03
3.000000e+00,7.558523e+01,1.433709e+01,-1.337545e-01,1.052600e-01,3.462085e-01,1.250092e-01,7.000000e-03,2.000000e-02,-9.837155e-04,7.560000e+01,1.530000e+01,-1.096096e-01,1.477148e-02,9.629081e-01,2.414489e-02,2.603381e-02,1.649167e+00,4.854251e-02,2.937027e-04,1.209875e+00,9.025619e-04,1.774023e-03
4.000000e+00,7.558033e+01,1.410696e+01,-1.245882e-01,9.826000e-02,3.575316e-01,1.234198e-01,-7.000000e-03,1.132307e-02,-1.589403e-03,7.560000e+01,1.530000e+01,-1.096096e-01,1.967086e-02,1.193045e+00,1.497856e-02,4.570467e-02,2.842211e+00,6.352107e-02,6.806454e-04,2.633231e+00,1.126919e-03,1.953761e-03
5.000000e+00,7.556673e+01,1.400702e+01,-1.221731e-01,1.052600e-01,3.616759e-01,1.237002e-01,7.000000e-03,4.144256e-03,2.803460e-04,7.560000e+01,1.530000e+01,-1.096096e-01,3.327105e-02,1.292981e+00,1.256349e-02,7.897573e-02,4.135192e+00,7.608456e-02,1.787608e-03,4.305031e+00,1.284760e-03,2.020015e-03
6.000000e+00,7.555844e+01,1.395607e+01,-1.188203e-01,1.122600e-01,3.607806e-01,1.233497e-01,7.000000e-03,-8.952417e-04,-3.504693e-04,7.560000e+01,1.530000e+01,-1.096096e-01,4.156432e-02,1.343934e+00,9.210668e-03,1.205400e-01,5.479127e+00,8.529522e-02,3.515201e-03,6.111190e+00,1.369597e-03,2.069939e-03
7.000000e+00,7.555671e+01,1.390156e+01,-1.172469e-01,1.192600e-01,3.615893e-01,1.235139e-01,7.000000e-03,8.086464e-04,1.642328e-04,7.560000e+01,1.530000e+01,-1.096096e-01,4.328552e-02,1.398437e+00,7.637300e-03,1.638256e-01,6.877564e+00,9.293252e-02,5.388837e-03,8.066817e+00,1.427925e-03,2.119620e-03
8.000000e+00,7.556108e+01,1.386013e+01,-1.150575e-01,1.262600e-01,3.614269e-01,1.233984e-01,7.000000e-03,-1.623642e-04,-1.155279e-04,7.560000e+01,1.530000e+01,-1.096096e-01,3.891803e-02,1.439866e+00,5.447908e-03,2.027436e-01,8.317430e+00,9.838043e-02,6.903450e-03,1.014003e+01,1.457605e-03,2.168660e-03
9.000000e+00,7.557180e+01,1.382140e+01,-1.131965e-01,1.332600e-01,3.616243e-01,1.234310e-01,7.000000e-03,1.974345e-04,3.258405e-05,7.560000e+01,1.530000e+01,-1.096096e-01,2.820078e-02,1.478602e+00,3.586897e-03,2.309444e-01,9.796033e+00,1.019673e-01,7.698734e-03,1.232630e+01,1.470471e-03,2.217700e-03
