t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.192600e-01,3.806300e-01,1.226200e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,7.560000e+01,1.530004e+01,-1.096096e-01,1.192623e-01,3.805869e-01,1.226200e-01,2.262921e-06,-4.308776e-05,-1.053981e-08,7.560000e+01,1.530000e+01,-1.096096e-01,2.156900e-06,-4.106904e-05,-1.004601e-08,2.156900e-06,4.106904e-05,1.004601e-08,4.652219e-12,1.686666e-09,1.009223e-16,1.861676e-09
2.000000e+00,7.560001e+01,1.529967e+01,-1.096242e-01,1.192517e-01,3.809786e-01,1.226353e-01,-1.054961e-05,3.917282e-04,1.531197e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-7.795735e-06,3.303503e-04,1.458406e-05,9.952635e-06,3.714194e-04,1.459411e-05,6.542570e-11,1.108180e-07,2.126949e-10,1.556584e-07
3.000000e+00,7.559991e+01,1.530305e+01,-1.094887e-01,1.193501e-01,3.774173e-01,1.224924e-01,9.839742e-05,-3.561376e-03,-1.429422e-04,7.560000e+01,1.530000e+01,-1.096096e-01,8.559276e-05,-3.047913e-03,-1.209664e-04,9.554540e-05,3.419332e-03,1.355605e-04,7.391547e-09,9.400591e-06,1.484557e-08,1.286917e-05
4.000000e+00,7.560076e+01,1.527234e+01,-1.107198e-01,1.184551e-01,3.974173e-01,1.237903e-01,-8.950345e-04,2.000000e-02,1.297923e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-7.633398e-04,2.766405e-02,1.110200e-03,8.588852e-04,3.108338e-02,1.245760e-03,5.900792e-07,7.747001e-04,1.247389e-06,4.153549e-04
5.000000e+00,7.559594e+01,1.543425e+01,-1.038884e-01,1.235575e-01,3.774173e-01,1.165660e-01,5.102403e-03,-2.000000e-02,-7.224275e-03,7.560000e+01,1.530000e+01,-1.096096e-01,4.062585e-03,-1.342515e-01,-5.721241e-03,4.921470e-03,1.653349e-01,6.967001e-03,1.709468e-05,1.879816e-02,3.397998e-05,8.935795e-04
6.000000e+00,7.560147e+01,1.539033e+01,-1.096941e-01,1.175430e-01,3.574173e-01,1.229574e-01,-6.014469e-03,-2.000000e-02,6.391379e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-1.467152e-03,-9.033042e-02,8.442906e-05,6.388622e-03,2.556653e-01,7.051430e-03,1.924721e-05,2.695775e-02,3.398711e-05,1.370603e-03
7.000000e+00,7.560529e+01,1.516139e+01,-1.183352e-01,1.136559e-01,3.774173e-01,1.319461e-01,-3.887098e-03,2.000000e-02,8.988751e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-5.291475e-03,1.386145e-01,8.725605e-03,1.168010e-02,3.942798e-01,1.577704e-02,4.724691e-05,4.617172e-02,1.101233e-04,1.866510e-03
8.000000e+00,7.559959e+01,1.514496e+01,-1.121777e-01,1.198954e-01,3.974173e-01,1.250320e-01,6.239480e-03,2.000000e-02,-6.914108e-03,7.560000e+01,1.530000e+01,-1.096096e-01,4.094950e-04,1.550402e-01,2.568076e-03,1.208959e-02,5.493200e-01,1.834511e-02,4.741460e-05,7.020919e-02,1.167183e-04,2.353246e-03
9.000000e+00,7.559588e+01,1.531958e+01,-1.034096e-01,1.237023e-01,3.774173e-01,1.158124e-01,3.806898e-03,-2.000000e-02,-9.219633e-03,7.560000e+01,1.530000e+01,-1.096096e-01,4.123777e-03,-1.958346e-02,-6.199988e-03,1.621337e-02,5.689034e-01,2.454510e-02,6.442013e-05,7.059270e-02,1.551582e-04,2.852740e-03
1.000000e+01,7.560165e+01,1.528713e+01,-1.095222e-01,1.174280e-01,3.909087e-01,1.225942e-01,-6.274328e-03,1.349140e-02,6.781786e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-1.649411e-03,1.287217e-02,-8.742102e-05,1.786278e-02,5.817756e-01,2.463252e-02,6.714069e-05,7.075839e-02,1.551658e-04,3.120118e-03
1.100000e+01,7.559760e+01,1.538590e+01,-1.064365e-01,1.218098e-01,3.709087e-01,1.192977e-01,4.381858e-03,-2.000000e-02,-3.296437e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.401802e-03,-8.590452e-02,-3.173086e-03,2.026458e-02,6.676801e-01,2.780561e-02,7.290934e-05,7.813798e-02,1.652343e-04,3.550185e-03
1.200000e+01,7.560266e+01,1.528518e+01,-1.124176e-01,1.163629e-01,3.909087e-01,1.257201e-01,-5.446879e-03,2.000000e-02,6.422322e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.663933e-03,1.482299e-02,2.808005e-03,2.292851e-02,6.825031e-01,3.061361e-02,8.000588e-05,7.835770e-02,1.731192e-04,4.021100e-03
1.300000e+01,7.559718e+01,1.538417e+01,-1.067563e-01,1.222750e-01,3.709087e-01,1.195960e-01,5.912024e-03,-2.000000e-02,-6.124044e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.816061e-03,-8.417335e-02,-2.853274e-03,2.574458e-02,7.666765e-01,3.346688e-02,8.793608e-05,8.544285e-02,1.812603e-04,4.493556e-03
1.400000e+01,7.560262e+01,1.528361e+01,-1.123065e-01,1.163987e-01,3.909087e-01,1.255876e-01,-5.876246e-03,2.000000e-02,5.991532e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.624097e-03,1.638991e-02,2.696874e-03,2.836867e-02,7.830664e-01,3.616376e-02,9.482197e-05,8.571148e-02,1.885335e-04,4.963985e-03
1.500000e+01,7.559720e+01,1.538276e+01,-1.067491e-01,1.222565e-01,3.709087e-01,1.195882e-01,5.857774e-03,-2.000000e-02,-5.999331e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.803766e-03,-8.276216e-02,-2.860528e-03,3.117244e-02,8.658285e-01,3.902429e-02,1.026831e-04,9.256105e-02,1.967161e-04,5.434290e-03
1.600000e+01,7.560262e+01,1.528234e+01,-1.123148e-01,1.163982e-01,3.909087e-01,1.255968e-01,-5.858322e-03,2.000000e-02,6.008610e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.620921e-03,1.765972e-02,2.705218e-03,3.379336e-02,8.834883e-01,4.172950e-02,1.095523e-04,9.287292e-02,2.040343e-04,5.904714e-03
1.700000e+01,7.559719e+01,1.538162e+01,-1.067531e-01,1.222580e-01,3.709087e-01,1.195924e-01,5.859793e-03,-2.000000e-02,-6.004410e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.808822e-03,-8.161925e-02,-2.856570e-03,3.660218e-02,9.651075e-01,4.458607e-02,1.174418e-04,9.953462e-02,2.121943e-04,6.375104e-03
1.800000e+01,7.560262e+01,1.528131e+01,-1.123182e-01,1.163989e-01,3.909087e-01,1.256003e-01,-5.859070e-03,2.000000e-02,6.007827e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.616566e-03,1.868845e-02,2.708552e-03,3.921875e-02,9.837960e-01,4.729463e-02,1.242882e-04,9.988388e-02,2.195305e-04,6.845526e-03
1.900000e+01,7.559719e+01,1.538069e+01,-1.067565e-01,1.222586e-01,3.709087e-01,1.195959e-01,5.859691e-03,-2.000000e-02,-6.004377e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.813034e-03,-8.069329e-02,-2.853090e-03,4.203178e-02,1.064489e+00,5.014772e-02,1.322014e-04,1.063953e-01,2.276707e-04,7.315915e-03
2.000000e+01,7.560261e+01,1.528048e+01,-1.123216e-01,1.163995e-01,3.909087e-01,1.256036e-01,-5.859068e-03,2.000000e-02,6.007686e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.612400e-03,1.952190e-02,2.712023e-03,4.464418e-02,1.084011e+00,5.285974e-02,1.390260e-04,1.067764e-01,2.350257e-04,7.786336e-03
2.100000e+01,7.559718e+01,1.537994e+01,-1.067600e-01,1.222592e-01,3.709087e-01,1.195990e-01,5.859667e-03,-2.000000e-02,-6.004539e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.817129e-03,-7.994309e-02,-2.849653e-03,4.746131e-02,1.163954e+00,5.570939e-02,1.469622e-04,1.131673e-01,2.431462e-04,8.256726e-03
2.200000e+01,7.560261e+01,1.527980e+01,-1.123251e-01,1.164001e-01,3.909087e-01,1.256066e-01,-5.859094e-03,2.000000e-02,6.007540e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.608378e-03,2.019717e-02,2.715433e-03,5.006969e-02,1.184151e+00,5.842483e-02,1.537658e-04,1.135752e-01,2.505198e-04,8.727146e-03
2.300000e+01,7.559718e+01,1.537934e+01,-1.067634e-01,1.222597e-01,3.709087e-01,1.196019e-01,5.859643e-03,-2.000000e-02,-6.004675e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.821081e-03,-7.933524e-02,-2.846268e-03,5.289077e-02,1.263487e+00,6.127109e-02,1.617243e-04,1.198693e-01,2.586211e-04,9.197537e-03
2.400000e+01,7.560260e+01,1.527926e+01,-1.123284e-01,1.164006e-01,3.909087e-01,1.256093e-01,-5.859116e-03,2.000000e-02,6.007410e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.604496e-03,2.074432e-02,2.718794e-03,5.549526e-02,1.284231e+00,6.398989e-02,1.685077e-04,1.202996e-01,2.660129e-04,9.667955e-03
2.500000e+01,7.559718e+01,1.537884e+01,-1.067667e-01,1.222602e-01,3.709087e-01,1.196045e-01,5.859621e-03,-2.000000e-02,-6.004796e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.824893e-03,-7.884272e-02,-2.842929e-03,5.832016e-02,1.363074e+00,6.683282e-02,1.764878e-04,1.265158e-01,2.740952e-04,1.013835e-02
2.600000e+01,7.560260e+01,1.527881e+01,-1.123317e-01,1.164011e-01,3.909087e-01,1.256118e-01,-5.859135e-03,2.000000e-02,6.007295e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.600751e-03,2.118767e-02,2.722111e-03,6.092091e-02,1.384261e+00,6.955493e-02,1.832517e-04,1.269647e-01,2.815050e-04,1.060877e-02
2.700000e+01,7.559717e+01,1.537844e+01,-1.067700e-01,1.222607e-01,3.709087e-01,1.196069e-01,5.859602e-03,-2.000000e-02,-6.004904e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.828570e-03,-7.844361e-02,-2.839633e-03,6.374948e-02,1.462705e+00,7.239456e-02,1.912525e-04,1.331181e-01,2.895686e-04,1.107916e-02
2.800000e+01,7.560260e+01,1.527845e+01,-1.123350e-01,1.164016e-01,3.909087e-01,1.256141e-01,-5.859152e-03,2.000000e-02,6.007193e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.597142e-03,2.154694e-02,2.725386e-03,6.634662e-02,1.484252e+00,7.511995e-02,1.979976e-04,1.335824e-01,2.969963e-04,1.154957e-02
2.900000e+01,7.559717e+01,1.537812e+01,-1.067732e-01,1.222611e-01,3.709087e-01,1.196091e-01,5.859585e-03,-2.000000e-02,-6.005000e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.832112e-03,-7.812018e-02,-2.836377e-03,6.917873e-02,1.562372e+00,7.795632e-02,2.060185e-04,1.396851e-01,3.050413e-04,1.201997e-02
3.000000e+01,7.560259e+01,1.527816e+01,-1.123382e-01,1.164020e-01,3.909087e-01,1.256162e-01,-5.859168e-03,2.000000e-02,6.007102e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.593664e-03,2.183811e-02,2.728624e-03,7.177240e-02,1.584210e+00,8.068495e-02,2.127456e-04,1.401621e-01,3.124867e-04,1.249038e-02
3.100000e+01,7.559716e+01,1.537786e+01,-1.067765e-01,1.222615e-01,3.709087e-01,1.196111e-01,5.859570e-03,-2.000000e-02,-6.005085e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.835525e-03,-7.785804e-02,-2.833156e-03,7.460792e-02,1.662068e+00,8.351810e-02,2.207858e-04,1.462239e-01,3.205135e-04,1.296078e-02
3.200000e+01,7.560259e+01,1.527793e+01,-1.123414e-01,1.164024e-01,3.909087e-01,1.256181e-01,-5.859182e-03,2.000000e-02,6.007021e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.590316e-03,2.207411e-02,2.731827e-03,7.719824e-02,1.684142e+00,8.624993e-02,2.274955e-04,1.467112e-01,3.279764e-04,1.343119e-02
3.300000e+01,7.559716e+01,1.537765e+01,-1.067797e-01,1.222619e-01,3.709087e-01,1.196130e-01,5.859557e-03,-2.000000e-02,-6.005161e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.838809e-03,-7.764556e-02,-2.829970e-03,8.003705e-02,1.761788e+00,8.907990e-02,2.355543e-04,1.527400e-01,3.359851e-04,1.390159e-02
3.400000e+01,7.560259e+01,1.527773e+01,-1.123446e-01,1.164027e-01,3.909087e-01,1.256199e-01,-5.859194e-03,2.000000e-02,6.006949e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.587094e-03,2.226541e-02,2.734997e-03,8.262414e-02,1.784053e+00,9.181490e-02,2.422474e-04,1.532358e-01,3.434653e-04,1.437200e-02
3.500000e+01,7.559716e+01,1.537747e+01,-1.067828e-01,1.222623e-01,3.709087e-01,1.196147e-01,5.859545e-03,-2.000000e-02,-6.005228e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.841968e-03,-7.747332e-02,-2.826814e-03,8.546611e-02,1.861527e+00,9.464171e-02,2.503242e-04,1.592379e-01,3.514562e-04,1.484240e-02
3.600000e+01,7.560258e+01,1.527758e+01,-1.123478e-01,1.164031e-01,3.909087e-01,1.256216e-01,-5.859205e-03,2.000000e-02,6.006885e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.583997e-03,2.242050e-02,2.738138e-03,8.805010e-02,1.883947e+00,9.737985e-02,2.570012e-04,1.597406e-01,3.589536e-04,1.531281e-02
3.700000e+01,7.559715e+01,1.537733e+01,-1.067859e-01,1.222626e-01,3.709087e-01,1.196163e-01,5.859534e-03,-2.000000e-02,-6.005287e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.845004e-03,-7.733366e-02,-2.823688e-03,9.089511e-02,1.961281e+00,1.002035e-01,2.650953e-04,1.657211e-01,3.669268e-04,1.578321e-02
3.800000e+01,7.560258e+01,1.527745e+01,-1.123509e-01,1.164034e-01,3.909087e-01,1.256231e-01,-5.859214e-03,2.000000e-02,6.006829e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.581021e-03,2.254625e-02,2.741250e-03,9.347613e-02,1.983827e+00,1.029448e-01,2.717569e-04,1.662294e-01,3.744412e-04,1.625362e-02
3.900000e+01,7.559715e+01,1.537722e+01,-1.067890e-01,1.222629e-01,3.709087e-01,1.196178e-01,5.859524e-03,-2.000000e-02,-6.005340e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.847920e-03,-7.722041e-02,-2.820589e-03,9.632405e-02,2.061047e+00,1.057654e-01,2.798676e-04,1.721924e-01,3.823970e-04,1.672402e-02
4.000000e+01,7.560258e+01,1.527735e+01,-1.123540e-01,1.164037e-01,3.909087e-01,1.256246e-01,-5.859223e-03,2.000000e-02,6.006779e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.578164e-03,2.264824e-02,2.744336e-03,9.890221e-02,2.083696e+00,1.085097e-01,2.865145e-04,1.727053e-01,3.899283e-04,1.719443e-02
4.100000e+01,7.559715e+01,1.537713e+01,-1.067921e-01,1.222632e-01,3.709087e-01,1.196192e-01,5.859515e-03,-2.000000e-02,-6.005386e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.850718e-03,-7.712855e-02,-2.817515e-03,1.017529e-01,2.160824e+00,1.113272e-01,2.946411e-04,1.786541e-01,3.978667e-04,1.766483e-02
4.200000e+01,7.560258e+01,1.527727e+01,-1.123570e-01,1.164040e-01,3.909087e-01,1.256259e-01,-5.859231e-03,2.000000e-02,6.006735e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.575424e-03,2.273098e-02,2.747397e-03,1.043284e-01,2.183555e+00,1.140746e-01,3.012739e-04,1.791708e-01,4.054149e-04,1.813524e-02
4.300000e+01,7.559715e+01,1.537705e+01,-1.067952e-01,1.222635e-01,3.709087e-01,1.196205e-01,5.859508e-03,-2.000000e-02,-6.005428e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.853400e-03,-7.705402e-02,-2.814466e-03,1.071818e-01,2.260609e+00,1.168891e-01,3.094158e-04,1.851082e-01,4.133361e-04,1.860564e-02
4.400000e+01,7.560257e+01,1.527720e+01,-1.123601e-01,1.164042e-01,3.909087e-01,1.256272e-01,-5.859238e-03,2.000000e-02,6.006696e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.572798e-03,2.279811e-02,2.750435e-03,1.097546e-01,2.283407e+00,1.196395e-01,3.160351e-04,1.856279e-01,4.209010e-04,1.907605e-02
4.500000e+01,7.559714e+01,1.537699e+01,-1.067982e-01,1.222637e-01,3.709087e-01,1.196217e-01,5.859501e-03,-2.000000e-02,-6.005464e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.855969e-03,-7.699354e-02,-2.811439e-03,1.126105e-01,2.360401e+00,1.224510e-01,3.241917e-04,1.915559e-01,4.288052e-04,1.954645e-02
4.600000e+01,7.560257e+01,1.527715e+01,-1.123631e-01,1.164045e-01,3.909087e-01,1.256284e-01,-5.859244e-03,2.000000e-02,6.006661e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-2.570284e-03,2.285259e-02,2.753451e-03,1.151808e-01,2.383253e+00,1.252044e-01,3.307980e-04,1.920782e-01,4.363867e-04,2.001686e-02
