t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.192600e-01,3.806300e-01,1.226200e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,7.560000e+01,1.530004e+01,-1.096096e-01,1.192599e-01,3.806305e-01,1.226200e-01,-1.441122e-07,4.525753e-07,9.108550e-11,7.560000e+01,1.530000e+01,-1.096096e-01,2.156900e-06,-4.106904e-05,-1.004601e-08,2.156900e-06,4.106904e-05,1.004601e-08,4.652219e-12,1.686666e-09,1.009223e-16,2.255928e-13
2.000000e+00,7.560000e+01,1.530008e+01,-1.096095e-01,1.192598e-01,3.806305e-01,1.226200e-01,-5.647819e-08,4.679186e-08,1.274556e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.546415e-06,-8.227101e-05,-1.427649e-07,6.703315e-06,1.233400e-04,1.528109e-07,2.532211e-11,8.455185e-09,2.048275e-14,2.309737e-13
3.000000e+00,7.559999e+01,1.530012e+01,-1.096095e-01,1.192598e-01,3.806305e-01,1.226200e-01,-9.569433e-09,2.076385e-09,1.075401e-09,7.560000e+01,1.530000e+01,-1.096096e-01,6.994723e-06,-1.197418e-04,-1.517454e-07,1.369804e-05,2.430819e-04,3.045564e-07,7.424826e-11,2.279329e-08,4.350943e-14,2.310707e-13
4.000000e+00,7.559999e+01,1.530015e+01,-1.096095e-01,1.192598e-01,3.806305e-01,1.226200e-01,8.059039e-10,-2.157892e-09,8.466375e-10,7.560000e+01,1.530000e+01,-1.096096e-01,9.449049e-06,-1.534295e-04,-1.565923e-07,2.314709e-05,3.965113e-04,4.611486e-07,1.635328e-10,4.633389e-08,6.803056e-14,2.310767e-13
5.000000e+00,7.559999e+01,1.530018e+01,-1.096095e-01,1.192598e-01,3.806305e-01,1.226200e-01,1.001439e-09,-2.370824e-09,6.484742e-10,7.560000e+01,1.530000e+01,-1.096096e-01,1.189902e-05,-1.836720e-04,-1.626217e-07,3.504611e-05,5.801834e-04,6.237704e-07,3.051196e-10,8.006931e-08,9.447639e-14,2.310838e-13
6.000000e+00,7.559999e+01,1.530021e+01,-1.096095e-01,1.192598e-01,3.806305e-01,1.226200e-01,3.150891e-10,-2.206273e-09,4.703072e-10,7.560000e+01,1.530000e+01,-1.096096e-01,1.434440e-05,-2.108121e-04,-1.686974e-07,4.939051e-05,7.909955e-04,7.924677e-07,5.108814e-10,1.245110e-07,1.229352e-13,2.310890e-13
7.000000e+00,7.559998e+01,1.530024e+01,-1.096094e-01,1.192598e-01,3.806305e-01,1.226200e-01,6.467890e-11,-2.023181e-09,3.124580e-10,7.560000e+01,1.530000e+01,-1.096096e-01,1.678581e-05,-2.351616e-04,-1.747265e-07,6.617632e-05,1.026157e-03,9.671943e-07,7.926448e-10,1.798120e-07,1.534646e-13,2.310932e-13
8.000000e+00,7.559998e+01,1.530026e+01,-1.096094e-01,1.192598e-01,3.806305e-01,1.226200e-01,2.773407e-11,-1.855170e-09,1.764907e-10,7.560000e+01,1.530000e+01,-1.096096e-01,1.922350e-05,-2.570013e-04,-1.808227e-07,8.539982e-05,1.283158e-03,1.148017e-06,1.162188e-09,2.458617e-07,1.861614e-13,2.310966e-13
9.000000e+00,7.559998e+01,1.530028e+01,-1.096094e-01,1.192598e-01,3.806305e-01,1.226200e-01,3.211793e-11,-1.703761e-09,6.244921e-11,7.560000e+01,1.530000e+01,-1.096096e-01,2.165754e-05,-2.765840e-04,-1.870318e-07,1.070574e-04,1.559742e-03,1.335049e-06,1.631237e-09,3.223604e-07,2.211423e-13,2.310995e-13
1.000000e+01,7.559998e+01,1.530029e+01,-1.096094e-01,1.192598e-01,3.806305e-01,1.226200e-01,3.510148e-11,-1.567539e-09,-3.063770e-11,7.560000e+01,1.530000e+01,-1.096096e-01,2.408793e-05,-2.941369e-04,-1.933559e-07,1.311453e-04,1.853879e-03,1.528405e-06,2.211465e-09,4.088769e-07,2.585288e-13,2.311020e-13
1.100000e+01,7.559997e+01,1.530031e+01,-1.096094e-01,1.192598e-01,3.806305e-01,1.226200e-01,3.460918e-11,-1.444992e-09,-1.042312e-10,7.560000e+01,1.530000e+01,-1.096096e-01,2.651471e-05,-3.098642e-04,-1.997871e-07,1.576600e-04,2.163743e-03,1.728192e-06,2.914495e-09,5.048927e-07,2.984437e-13,2.311041e-13
1.200000e+01,7.559997e+01,1.530032e+01,-1.096094e-01,1.192598e-01,3.806305e-01,1.226200e-01,3.304680e-11,-1.334745e-09,-1.600549e-10,7.560000e+01,1.530000e+01,-1.096096e-01,2.893789e-05,-3.239499e-04,-2.063179e-07,1.865979e-04,2.487693e-03,1.934510e-06,3.751897e-09,6.098363e-07,3.410108e-13,2.311059e-13
