t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.192600e-01,3.806300e-01,1.226200e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,7.560000e+01,1.530004e+01,-1.096096e-01,1.192600e-01,3.806299e-01,1.226200e-01,4.058727e-08,-1.338922e-07,-3.188212e-08,7.560000e+01,1.530000e+01,-1.096096e-01,2.156900e-06,-4.106904e-05,-1.004601e-08,2.156900e-06,4.106904e-05,1.004601e-08,4.652219e-12,1.686666e-09,1.009223e-16,2.059092e-14
2.000000e+00,7.560000e+01,1.530008e+01,-1.096096e-01,1.192601e-01,3.806298e-01,1.226199e-01,3.913741e-08,-1.066161e-07,-3.392691e-08,7.560000e+01,1.530000e+01,-1.096096e-01,4.238348e-06,-7.671320e-05,1.652047e-08,6.395248e-06,1.177822e-04,2.656648e-08,2.261581e-11,7.571581e-09,3.738482e-16,3.464069e-14
3.000000e+00,7.559999e+01,1.530011e+01,-1.096097e-01,1.192601e-01,3.806297e-01,1.226199e-01,3.639163e-08,-6.746015e-08,-3.017514e-08,7.560000e+01,1.530000e+01,-1.096096e-01,6.251814e-06,-1.077352e-04,3.315139e-08,1.264706e-05,2.255174e-04,5.971786e-08,6.170099e-11,1.917845e-08,1.472863e-15,4.142645e-14
4.000000e+00,7.559999e+01,1.530013e+01,-1.096097e-01,1.192601e-01,3.806297e-01,1.226199e-01,3.362808e-08,-3.547236e-08,-2.480095e-08,7.560000e+01,1.530000e+01,-1.096096e-01,8.209573e-06,-1.349698e-04,3.621503e-08,2.085664e-05,3.604872e-04,9.593289e-08,1.290981e-10,3.739530e-08,2.784391e-15,4.443068e-14
5.000000e+00,7.559999e+01,1.530016e+01,-1.096096e-01,1.192602e-01,3.806296e-01,1.226199e-01,3.103324e-08,-1.235959e-08,-1.917548e-08,7.560000e+01,1.530000e+01,-1.096096e-01,1.012247e-05,-1.591002e-04,2.846934e-08,3.097910e-05,5.195875e-04,1.244022e-07,2.315624e-10,6.270819e-08,3.594894e-15,4.591420e-14
6.000000e+00,7.559999e+01,1.530018e+01,-1.096096e-01,1.192602e-01,3.806296e-01,1.226198e-01,2.865133e-08,3.381753e-09,-1.387407e-08,7.560000e+01,1.530000e+01,-1.096096e-01,1.199913e-05,-1.806569e-04,1.315914e-08,4.297824e-05,7.002444e-04,1.375614e-07,3.755417e-10,9.534512e-08,3.768057e-15,4.693902e-14
7.000000e+00,7.559999e+01,1.530020e+01,-1.096096e-01,1.192602e-01,3.806297e-01,1.226198e-01,2.649396e-08,1.359908e-08,-9.149599e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.384624e-05,-2.000473e-04,-7.073503e-09,5.682448e-05,9.002917e-04,1.446349e-07,5.672600e-10,1.353640e-07,3.818092e-15,4.790960e-14
8.000000e+00,7.559998e+01,1.530022e+01,-1.096096e-01,1.192603e-01,3.806297e-01,1.226198e-01,2.456139e-08,1.985142e-08,-5.096959e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.566886e-05,-2.175854e-04,-3.028580e-08,7.249334e-05,1.117877e-03,1.749207e-07,8.127733e-10,1.827075e-07,4.735321e-15,4.893292e-14
9.000000e+00,7.559998e+01,1.530023e+01,-1.096096e-01,1.192603e-01,3.806297e-01,1.226198e-01,2.284830e-08,2.332585e-08,-1.726785e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.747084e-05,-2.335164e-04,-5.511497e-08,8.996418e-05,1.351394e-03,2.300356e-07,1.118004e-09,2.372374e-07,7.772981e-15,5.000205e-14
1.000000e+01,7.559998e+01,1.530025e+01,-1.096095e-01,1.192603e-01,3.806297e-01,1.226198e-01,2.134590e-08,2.488970e-08,9.959680e-10,7.560000e+01,1.530000e+01,-1.096096e-01,1.925506e-05,-2.480343e-04,-8.063462e-08,1.092192e-04,1.599428e-03,3.106703e-07,1.488761e-09,2.987584e-07,1.427492e-14,5.107818e-14
1.100000e+01,7.559998e+01,1.530026e+01,-1.096095e-01,1.192603e-01,3.806298e-01,1.226198e-01,2.004293e-08,2.516460e-08,3.129961e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.102368e-05,-2.612956e-04,-1.062333e-07,1.302429e-04,1.860723e-03,4.169036e-07,1.930756e-09,3.670338e-07,2.556044e-14,5.212295e-14
1.200000e+01,7.559998e+01,1.530027e+01,-1.096095e-01,1.192603e-01,3.806298e-01,1.226198e-01,1.892641e-08,2.459175e-08,4.744338e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.277826e-05,-2.734290e-04,-1.315222e-07,1.530212e-04,2.134152e-03,5.484258e-07,2.449606e-09,4.417972e-07,4.285853e-14,5.310843e-14
1.300000e+01,7.559998e+01,1.530028e+01,-1.096095e-01,1.192604e-01,3.806298e-01,1.226198e-01,1.798210e-08,2.348244e-08,5.910806e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.451995e-05,-2.845422e-04,-1.562673e-07,1.775411e-04,2.418695e-03,7.046931e-07,3.050834e-09,5.227615e-07,6.727801e-14,5.401814e-14
1.400000e+01,7.559997e+01,1.530029e+01,-1.096094e-01,1.192604e-01,3.806298e-01,1.226199e-01,1.719501e-08,2.205508e-08,6.698919e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.624952e-05,-2.947270e-04,-1.803415e-07,2.037907e-04,2.713422e-03,8.850346e-07,3.739871e-09,6.096255e-07,9.980106e-14,5.484511e-14
1.500000e+01,7.559997e+01,1.530030e+01,-1.096094e-01,1.192604e-01,3.806298e-01,1.226199e-01,1.654980e-08,2.046192e-08,7.173393e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.796749e-05,-3.040629e-04,-2.036899e-07,2.317582e-04,3.017485e-03,1.088725e-06,4.522052e-09,7.020797e-07,1.412906e-13,5.558916e-14
1.600000e+01,7.559997e+01,1.530031e+01,-1.096094e-01,1.192604e-01,3.806299e-01,1.226199e-01,1.603114e-08,1.880794e-08,7.392711e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.967414e-05,-3.126200e-04,-2.263062e-07,2.614323e-04,3.330105e-03,1.315031e-06,5.402606e-09,7.998110e-07,1.925051e-13,5.625455e-14
1.700000e+01,7.559997e+01,1.530032e+01,-1.096094e-01,1.192604e-01,3.806299e-01,1.226199e-01,1.562399e-08,1.716429e-08,7.408561e-09,7.560000e+01,1.530000e+01,-1.096096e-01,3.136962e-05,-3.204607e-04,-2.482151e-07,2.928019e-04,3.650565e-03,1.563246e-06,6.386659e-09,9.025060e-07,2.541159e-13,5.684815e-14
1.800000e+01,7.559997e+01,1.530033e+01,-1.096094e-01,1.192604e-01,3.806299e-01,1.226199e-01,1.531387e-08,1.557790e-08,7.265801e-09,7.560000e+01,1.530000e+01,-1.096096e-01,3.305390e-05,-3.276415e-04,-2.694609e-07,3.258558e-04,3.978207e-03,1.832707e-06,7.479220e-09,1.009855e-06,3.267250e-13,5.737813e-14
1.900000e+01,7.559997e+01,1.530033e+01,-1.096093e-01,1.192605e-01,3.806299e-01,1.226199e-01,1.508708e-08,1.407832e-08,7.002747e-09,7.560000e+01,1.530000e+01,-1.096096e-01,3.472691e-05,-3.342135e-04,-2.900985e-07,3.605827e-04,4.312420e-03,2.122805e-06,8.685178e-09,1.121554e-06,4.108821e-13,5.785299e-14
2.000000e+01,7.559996e+01,1.530034e+01,-1.096093e-01,1.192605e-01,3.806299e-01,1.226199e-01,1.493079e-08,1.268269e-08,6.651651e-09,7.560000e+01,1.530000e+01,-1.096096e-01,3.638846e-05,-3.402236e-04,-3.101882e-07,3.969712e-04,4.652644e-03,2.432993e-06,1.000930e-08,1.237306e-06,5.070989e-13,5.828101e-14
2.100000e+01,7.559996e+01,1.530035e+01,-1.096093e-01,1.192605e-01,3.806299e-01,1.226199e-01,1.483321e-08,1.139934e-08,6.239280e-09,7.560000e+01,1.530000e+01,-1.096096e-01,3.803834e-05,-3.457150e-04,-3.297913e-07,4.350095e-04,4.998359e-03,2.762785e-06,1.145621e-08,1.356825e-06,6.158612e-13,5.866991e-14
2.200000e+01,7.559996e+01,1.530035e+01,-1.096093e-01,1.192605e-01,3.806299e-01,1.226199e-01,1.478360e-08,1.023047e-08,5.787533e-09,7.560000e+01,1.530000e+01,-1.096096e-01,3.967628e-05,-3.507278e-04,-3.489677e-07,4.746858e-04,5.349087e-03,3.111752e-06,1.303042e-08,1.479835e-06,7.376396e-13,5.902662e-14
2.300000e+01,7.559996e+01,1.530036e+01,-1.096093e-01,1.192605e-01,3.806300e-01,1.226199e-01,1.477229e-08,9.174063e-09,5.314054e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.130201e-05,-3.552989e-04,-3.677739e-07,5.159878e-04,5.704385e-03,3.479526e-06,1.473628e-08,1.606072e-06,8.728972e-13,5.935725e-14
2.400000e+01,7.559996e+01,1.530036e+01,-1.096092e-01,1.192605e-01,3.806300e-01,1.226199e-01,1.479072e-08,8.225296e-09,4.832826e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.291524e-05,-3.594629e-04,-3.862623e-07,5.589031e-04,6.063848e-03,3.865788e-06,1.657800e-08,1.735285e-06,1.022096e-12,5.966702e-14
2.500000e+01,7.559996e+01,1.530036e+01,-1.096092e-01,1.192605e-01,3.806300e-01,1.226199e-01,1.483137e-08,7.377623e-09,4.354716e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.451566e-05,-3.632516e-04,-4.044805e-07,6.034187e-04,6.427100e-03,4.270269e-06,1.855964e-08,1.867237e-06,1.185700e-12,5.996039e-14
2.600000e+01,7.559995e+01,1.530037e+01,-1.096092e-01,1.192606e-01,3.806300e-01,1.226199e-01,1.488770e-08,6.623513e-09,3.887972e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.610300e-05,-3.666950e-04,-4.224711e-07,6.495217e-04,6.793795e-03,4.692740e-06,2.068513e-08,2.001702e-06,1.364182e-12,6.024102e-14
2.700000e+01,7.559995e+01,1.530037e+01,-1.096092e-01,1.192606e-01,3.806300e-01,1.226199e-01,1.495414e-08,5.955001e-09,3.438671e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.767696e-05,-3.698207e-04,-4.402718e-07,6.971987e-04,7.163616e-03,5.133012e-06,2.295822e-08,2.138470e-06,1.558021e-12,6.051193e-14
2.800000e+01,7.559995e+01,1.530037e+01,-1.096092e-01,1.192606e-01,3.806300e-01,1.226199e-01,1.502594e-08,5.364075e-09,3.011103e-09,7.560000e+01,1.530000e+01,-1.096096e-01,4.923729e-05,-3.726544e-04,-4.579155e-07,7.464360e-04,7.536270e-03,5.590927e-06,2.538253e-08,2.277341e-06,1.767708e-12,6.077555e-14
2.900000e+01,7.559995e+01,1.530038e+01,-1.096091e-01,1.192606e-01,3.806300e-01,1.226199e-01,1.509919e-08,4.842937e-09,2.608114e-09,7.560000e+01,1.530000e+01,-1.096096e-01,5.078374e-05,-3.752200e-04,-4.754309e-07,7.972197e-04,7.911490e-03,6.066358e-06,2.796152e-08,2.418131e-06,1.993742e-12,6.103379e-14
3.000000e+01,7.559995e+01,1.530038e+01,-1.096091e-01,1.192606e-01,3.806300e-01,1.226199e-01,1.517065e-08,4.384178e-09,2.231393e-09,7.560000e+01,1.530000e+01,-1.096096e-01,5.231607e-05,-3.775398e-04,-4.928424e-07,8.495358e-04,8.289030e-03,6.559201e-06,3.069849e-08,2.560667e-06,2.236636e-12,6.128814e-14
3.100000e+01,7.559995e+01,1.530038e+01,-1.096091e-01,1.192606e-01,3.806300e-01,1.226199e-01,1.523773e-08,3.980879e-09,1.881721e-09,7.560000e+01,1.530000e+01,-1.096096e-01,5.383409e-05,-3.796342e-04,-5.101709e-07,9.033699e-04,8.668664e-03,7.069371e-06,3.359660e-08,2.704789e-06,2.496910e-12,6.153972e-14
3.200000e+01,7.559994e+01,1.530038e+01,-1.096091e-01,1.192607e-01,3.806300e-01,1.226199e-01,1.529840e-08,3.626673e-09,1.559172e-09,7.560000e+01,1.530000e+01,-1.096096e-01,5.533759e-05,-3.815224e-04,-5.274340e-07,9.587075e-04,9.050186e-03,7.596806e-06,3.665885e-08,2.850349e-06,2.775097e-12,6.178934e-14
3.300000e+01,7.559994e+01,1.530038e+01,-1.096091e-01,1.192607e-01,3.806300e-01,1.226199e-01,1.535109e-08,3.315761e-09,1.263287e-09,7.560000e+01,1.530000e+01,-1.096096e-01,5.682641e-05,-3.832218e-04,-5.446465e-07,1.015534e-03,9.433408e-03,8.141452e-06,3.988809e-08,2.997208e-06,3.071737e-12,6.203759e-14
3.400000e+01,7.559994e+01,1.530038e+01,-1.096091e-01,1.192607e-01,3.806300e-01,1.226199e-01,1.539468e-08,3.042912e-09,9.932138e-10,7.560000e+01,1.530000e+01,-1.096096e-01,5.830041e-05,-3.847489e-04,-5.618204e-07,1.073834e-03,9.818157e-03,8.703272e-06,4.328703e-08,3.145239e-06,3.387379e-12,6.228483e-14
3.500000e+01,7.559994e+01,1.530039e+01,-1.096090e-01,1.192607e-01,3.806300e-01,1.226199e-01,1.542839e-08,2.803440e-09,7.478217e-10,7.560000e+01,1.530000e+01,-1.096096e-01,5.975947e-05,-3.861185e-04,-5.789659e-07,1.133594e-03,1.020428e-02,9.282238e-06,4.685822e-08,3.294327e-06,3.722580e-12,6.253128e-14
