t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.192600e-01,3.806300e-01,1.226200e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,7.560000e+01,1.530004e+01,-1.096096e-01,1.192601e-01,3.806272e-01,1.226200e-01,1.452173e-07,-2.765048e-06,-6.763659e-10,7.560000e+01,1.530000e+01,-1.096096e-01,2.156900e-06,-4.106904e-05,-1.004601e-08,2.156900e-06,4.106904e-05,1.004601e-08,4.652219e-12,1.686666e-09,1.009223e-16,7.666580e-12
2.000000e+00,7.560000e+01,1.530005e+01,-1.096105e-01,1.192602e-01,3.806271e-01,1.226201e-01,6.193618e-08,-1.349196e-07,6.256205e-08,7.560000e+01,1.530000e+01,-1.096096e-01,3.534030e-06,-5.177837e-05,9.170536e-07,5.690930e-06,9.284740e-05,9.270996e-07,1.714159e-11,4.367665e-09,8.410882e-13,7.692533e-12
3.000000e+00,7.560000e+01,1.530006e+01,-1.096105e-01,1.192603e-01,3.806268e-01,1.226200e-01,6.264473e-08,-3.116749e-07,-1.293145e-08,7.560000e+01,1.530000e+01,-1.096096e-01,4.831452e-06,-6.010681e-05,9.211509e-07,1.052238e-05,1.529542e-04,1.848251e-06,4.048452e-11,7.980493e-09,1.689607e-12,7.793766e-12
4.000000e+00,7.559999e+01,1.530006e+01,-1.096106e-01,1.192603e-01,3.806266e-01,1.226201e-01,5.592974e-08,-1.458846e-07,2.098107e-09,7.560000e+01,1.530000e+01,-1.096096e-01,5.996006e-06,-6.461920e-05,9.853927e-07,1.651839e-05,2.175734e-04,2.833643e-06,7.643661e-11,1.215613e-08,2.660606e-12,7.818181e-12
5.000000e+00,7.559999e+01,1.530007e+01,-1.096106e-01,1.192604e-01,3.806266e-01,1.226201e-01,5.252706e-08,-9.130732e-08,-8.654203e-10,7.560000e+01,1.530000e+01,-1.096096e-01,7.074908e-06,-6.727132e-05,9.909847e-07,2.359330e-05,2.848447e-04,3.824628e-06,1.264909e-10,1.668156e-08,3.642657e-12,7.829277e-12
6.000000e+00,7.559999e+01,1.530007e+01,-1.096106e-01,1.192604e-01,3.806265e-01,1.226200e-01,4.952702e-08,-5.283569e-08,-1.159945e-09,7.560000e+01,1.530000e+01,-1.096096e-01,8.083642e-06,-6.876837e-05,9.771083e-07,3.167694e-05,3.536131e-04,4.801736e-06,1.918362e-10,2.141065e-08,4.597397e-12,7.834523e-12
7.000000e+00,7.559999e+01,1.530007e+01,-1.096106e-01,1.192605e-01,3.806265e-01,1.226200e-01,4.700028e-08,-3.146169e-08,-1.608564e-09,7.560000e+01,1.530000e+01,-1.096096e-01,9.033945e-06,-6.959203e-05,9.497295e-07,4.071088e-05,4.232051e-04,5.751466e-06,2.734484e-10,2.625370e-08,5.499383e-12,7.837725e-12
8.000000e+00,7.559999e+01,1.530007e+01,-1.096105e-01,1.192605e-01,3.806264e-01,1.226200e-01,4.475249e-08,-1.887510e-08,-1.821694e-09,7.560000e+01,1.530000e+01,-1.096096e-01,9.933098e-06,-7.001354e-05,9.150051e-07,5.064398e-05,4.932187e-04,6.666471e-06,3.721148e-10,3.115560e-08,6.336618e-12,7.840087e-12
9.000000e+00,7.559999e+01,1.530007e+01,-1.096105e-01,1.192606e-01,3.806264e-01,1.226200e-01,4.271036e-08,-1.161277e-08,-1.940242e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.078610e-05,-7.019355e-05,8.761073e-07,6.143008e-05,5.634122e-04,7.542578e-06,4.884547e-10,3.608273e-08,7.104182e-12,7.842050e-12
1.000000e+01,7.559999e+01,1.530007e+01,-1.096105e-01,1.192606e-01,3.806264e-01,1.226200e-01,4.082296e-08,-7.430447e-09,-1.996423e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.159653e-05,-7.022609e-05,8.349476e-07,7.302661e-05,6.336383e-04,8.377526e-06,6.229342e-10,4.101444e-08,7.801319e-12,7.843776e-12
1.100000e+01,7.559999e+01,1.530007e+01,-1.096104e-01,1.192606e-01,3.806264e-01,1.226200e-01,3.905952e-08,-5.050382e-09,-2.018148e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.236711e-05,-7.016650e-05,7.926248e-07,8.539372e-05,7.038048e-04,9.170150e-06,7.758796e-10,4.593778e-08,8.429573e-12,7.845331e-12
1.200000e+01,7.559999e+01,1.530007e+01,-1.096104e-01,1.192607e-01,3.806264e-01,1.226200e-01,3.740004e-08,-3.720137e-09,-2.020458e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.310003e-05,-7.004747e-05,7.497744e-07,9.849375e-05,7.738523e-04,9.919925e-06,9.474904e-10,5.084442e-08,8.991735e-12,7.846748e-12
1.300000e+01,7.559999e+01,1.530007e+01,-1.096103e-01,1.192607e-01,3.806264e-01,1.226200e-01,3.583104e-08,-3.000713e-09,-2.012321e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.379715e-05,-6.988840e-05,7.067600e-07,1.122909e-04,8.437407e-04,1.062668e-05,1.137852e-09,5.572881e-08,9.491244e-12,7.848045e-12
1.400000e+01,7.559999e+01,1.530007e+01,-1.096103e-01,1.192607e-01,3.806264e-01,1.226200e-01,3.434300e-08,-2.635409e-09,-1.998902e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.446010e-05,-6.970092e-05,6.637868e-07,1.267510e-04,9.134416e-04,1.129047e-05,1.346946e-09,6.058703e-08,9.931857e-12,7.849235e-12
1.500000e+01,7.559998e+01,1.530007e+01,-1.096102e-01,1.192608e-01,3.806264e-01,1.226200e-01,3.292879e-08,-2.474276e-09,-1.983181e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.509034e-05,-6.949213e-05,6.209677e-07,1.418413e-04,9.829337e-04,1.191144e-05,1.574665e-09,6.541619e-08,1.031746e-11,7.850329e-12
1.600000e+01,7.559998e+01,1.530007e+01,-1.096102e-01,1.192608e-01,3.806264e-01,1.226200e-01,3.158276e-08,-2.429753e-09,-1.966857e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.568924e-05,-6.926642e-05,5.783622e-07,1.575306e-04,1.052200e-03,1.248980e-05,1.820817e-09,7.021402e-08,1.065196e-11,7.851337e-12
1.700000e+01,7.559998e+01,1.530007e+01,-1.096102e-01,1.192608e-01,3.806264e-01,1.226200e-01,3.030023e-08,-2.450768e-09,-1.950882e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.625806e-05,-6.902661e-05,5.359986e-07,1.737886e-04,1.121227e-03,1.302580e-05,2.085142e-09,7.497870e-08,1.093926e-11,7.852264e-12
1.800000e+01,7.559998e+01,1.530007e+01,-1.096101e-01,1.192609e-01,3.806264e-01,1.226200e-01,2.907718e-08,-2.507572e-09,-1.935773e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.679799e-05,-6.877461e-05,4.938878e-07,1.905866e-04,1.190001e-03,1.351969e-05,2.367314e-09,7.970864e-08,1.118318e-11,7.853120e-12
1.900000e+01,7.559998e+01,1.530007e+01,-1.096101e-01,1.192609e-01,3.806264e-01,1.226200e-01,2.791004e-08,-2.582883e-09,-1.921797e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.731016e-05,-6.851176e-05,4.520304e-07,2.078968e-04,1.258513e-03,1.397172e-05,2.666956e-09,8.440250e-08,1.138751e-11,7.853909e-12
2.000000e+01,7.559998e+01,1.530007e+01,-1.096100e-01,1.192609e-01,3.806264e-01,1.226200e-01,2.679557e-08,-2.666706e-09,-1.909076e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.779565e-05,-6.823905e-05,4.104216e-07,2.256925e-04,1.326752e-03,1.438214e-05,2.983641e-09,8.905907e-08,1.155596e-11,7.854638e-12
2.100000e+01,7.559998e+01,1.530007e+01,-1.096100e-01,1.192610e-01,3.806264e-01,1.226200e-01,2.573082e-08,-2.753296e-09,-1.897647e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.825546e-05,-6.795728e-05,3.690537e-07,2.439479e-04,1.394709e-03,1.475119e-05,3.316903e-09,9.367726e-08,1.169216e-11,7.855311e-12
2.200000e+01,7.559998e+01,1.530007e+01,-1.096099e-01,1.192610e-01,3.806264e-01,1.226200e-01,2.471303e-08,-2.839396e-09,-1.887502e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.869058e-05,-6.766714e-05,3.279172e-07,2.626385e-04,1.462377e-03,1.507911e-05,3.666241e-09,9.825611e-08,1.179969e-11,7.855934e-12
2.300000e+01,7.559998e+01,1.530007e+01,-1.096099e-01,1.192610e-01,3.806264e-01,1.226200e-01,2.373965e-08,-2.923193e-09,-1.878607e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.910194e-05,-6.736919e-05,2.870024e-07,2.817404e-04,1.529746e-03,1.536611e-05,4.031125e-09,1.027947e-07,1.188206e-11,7.856509e-12
2.400000e+01,7.559998e+01,1.530007e+01,-1.096099e-01,1.192610e-01,3.806264e-01,1.226200e-01,2.280829e-08,-3.003718e-09,-1.870915e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.949042e-05,-6.706397e-05,2.462993e-07,3.012308e-04,1.596810e-03,1.561241e-05,4.411001e-09,1.072923e-07,1.194272e-11,7.857042e-12
2.500000e+01,7.559998e+01,1.530007e+01,-1.096098e-01,1.192610e-01,3.806264e-01,1.226200e-01,2.191673e-08,-3.080489e-09,-1.864372e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.985687e-05,-6.675195e-05,2.057982e-07,3.210877e-04,1.663562e-03,1.581821e-05,4.805296e-09,1.117481e-07,1.198508e-11,7.857535e-12
2.600000e+01,7.559998e+01,1.530007e+01,-1.096098e-01,1.192611e-01,3.806264e-01,1.226200e-01,2.106285e-08,-3.153306e-09,-1.858923e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.020212e-05,-6.643361e-05,1.654895e-07,3.412898e-04,1.729995e-03,1.598370e-05,5.213422e-09,1.161615e-07,1.201246e-11,7.857992e-12
2.700000e+01,7.559998e+01,1.530007e+01,-1.096097e-01,1.192611e-01,3.806264e-01,1.226200e-01,2.024469e-08,-3.222130e-09,-1.854511e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.052694e-05,-6.610935e-05,1.253643e-07,3.618168e-04,1.796105e-03,1.610906e-05,5.634777e-09,1.205320e-07,1.202818e-11,7.858416e-12
2.800000e+01,7.559998e+01,1.530007e+01,-1.096097e-01,1.192611e-01,3.806264e-01,1.226200e-01,1.946040e-08,-3.287014e-09,-1.851083e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.083207e-05,-6.577959e-05,8.541383e-08,3.826489e-04,1.861884e-03,1.619448e-05,6.068753e-09,1.248589e-07,1.203547e-11,7.858809e-12
2.900000e+01,7.559998e+01,1.530007e+01,-1.096097e-01,1.192611e-01,3.806264e-01,1.226200e-01,1.870824e-08,-3.348058e-09,-1.848585e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.111825e-05,-6.544471e-05,4.562994e-08,4.037671e-04,1.927329e-03,1.624011e-05,6.514733e-09,1.291419e-07,1.203756e-11,7.859174e-12
3.000000e+01,7.559998e+01,1.530007e+01,-1.096096e-01,1.192611e-01,3.806264e-01,1.226200e-01,1.798656e-08,-3.405388e-09,-1.846969e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.138614e-05,-6.510508e-05,6.004819e-09,4.251532e-04,1.992434e-03,1.624611e-05,6.972100e-09,1.333806e-07,1.203759e-11,7.859512e-12
3.100000e+01,7.559998e+01,1.530006e+01,-1.096096e-01,1.192612e-01,3.806264e-01,1.226200e-01,1.729383e-08,-3.459145e-09,-1.846186e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.163642e-05,-6.476103e-05,-3.346893e-08,4.467897e-04,2.057195e-03,1.627958e-05,7.440235e-09,1.375746e-07,1.203871e-11,7.859827e-12
3.200000e+01,7.559998e+01,1.530006e+01,-1.096095e-01,1.192612e-01,3.806264e-01,1.226200e-01,1.662858e-08,-3.509470e-09,-1.846192e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.186972e-05,-6.441291e-05,-7.279830e-08,4.686594e-04,2.121608e-03,1.635238e-05,7.918519e-09,1.417236e-07,1.204401e-11,7.860119e-12
3.300000e+01,7.559998e+01,1.530006e+01,-1.096095e-01,1.192612e-01,3.806264e-01,1.226200e-01,1.598946e-08,-3.556508e-09,-1.846943e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.208665e-05,-6.406103e-05,-1.119899e-07,4.907460e-04,2.185669e-03,1.646437e-05,8.406340e-09,1.458274e-07,1.205655e-11,7.860391e-12
3.400000e+01,7.559998e+01,1.530006e+01,-1.096095e-01,1.192612e-01,3.806264e-01,1.226200e-01,1.537518e-08,-3.600396e-09,-1.848398e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.228780e-05,-6.370570e-05,-1.510500e-07,5.130338e-04,2.249375e-03,1.661542e-05,8.903085e-09,1.498859e-07,1.207937e-11,7.860643e-12
3.500000e+01,7.559998e+01,1.530006e+01,-1.096094e-01,1.192612e-01,3.806264e-01,1.226200e-01,1.478452e-08,-3.641272e-09,-1.850521e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.247372e-05,-6.334720e-05,-1.899846e-07,5.355075e-04,2.312722e-03,1.680540e-05,9.408153e-09,1.538987e-07,1.211546e-11,7.860879e-12
3.600000e+01,7.559998e+01,1.530006e+01,-1.096094e-01,1.192612e-01,3.806263e-01,1.226200e-01,1.421634e-08,-3.679265e-09,-1.853274e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.264496e-05,-6.298580e-05,-2.287993e-07,5.581525e-04,2.375708e-03,1.703420e-05,9.920947e-09,1.578659e-07,1.216781e-11,7.861098e-12
3.700000e+01,7.559998e+01,1.530006e+01,-1.096094e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.366955e-08,-3.714502e-09,-1.856623e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.280204e-05,-6.262179e-05,-2.674994e-07,5.809545e-04,2.438330e-03,1.730170e-05,1.044088e-08,1.617874e-07,1.223937e-11,7.861302e-12
3.800000e+01,7.559998e+01,1.530006e+01,-1.096093e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.314315e-08,-3.747102e-09,-1.860536e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.294546e-05,-6.225539e-05,-3.060899e-07,6.039000e-04,2.500585e-03,1.760779e-05,1.096737e-08,1.656632e-07,1.233306e-11,7.861492e-12
3.900000e+01,7.559998e+01,1.530006e+01,-1.096093e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.263618e-08,-3.777181e-09,-1.864982e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.307571e-05,-6.188686e-05,-3.445757e-07,6.269757e-04,2.562472e-03,1.795237e-05,1.149986e-08,1.694931e-07,1.245179e-11,7.861669e-12
4.000000e+01,7.559998e+01,1.530006e+01,-1.096092e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.214772e-08,-3.804850e-09,-1.869933e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.319325e-05,-6.151642e-05,-3.829613e-07,6.501690e-04,2.623988e-03,1.833533e-05,1.203779e-08,1.732774e-07,1.259845e-11,7.861835e-12
4.100000e+01,7.559998e+01,1.530006e+01,-1.096092e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.167694e-08,-3.830213e-09,-1.875361e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.329854e-05,-6.114430e-05,-4.212509e-07,6.734675e-04,2.685132e-03,1.875658e-05,1.258061e-08,1.770160e-07,1.277590e-11,7.861990e-12
4.200000e+01,7.559998e+01,1.530006e+01,-1.096092e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.122301e-08,-3.853373e-09,-1.881240e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.339200e-05,-6.077068e-05,-4.594486e-07,6.968595e-04,2.745903e-03,1.921603e-05,1.312780e-08,1.807091e-07,1.298700e-11,7.862134e-12
4.300000e+01,7.559998e+01,1.530006e+01,-1.096091e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.078517e-08,-3.874425e-09,-1.887546e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.347405e-05,-6.039579e-05,-4.975584e-07,7.203336e-04,2.806299e-03,1.971359e-05,1.367883e-08,1.843568e-07,1.323456e-11,7.862269e-12
4.400000e+01,7.559998e+01,1.530006e+01,-1.096091e-01,1.192613e-01,3.806263e-01,1.226200e-01,1.036272e-08,-3.893462e-09,-1.894256e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.354510e-05,-6.001980e-05,-5.355837e-07,7.438787e-04,2.866319e-03,2.024917e-05,1.423320e-08,1.879591e-07,1.352141e-11,7.862395e-12
4.500000e+01,7.559998e+01,1.530006e+01,-1.096090e-01,1.192613e-01,3.806263e-01,1.226200e-01,9.954972e-09,-3.910573e-09,-1.901349e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.360554e-05,-5.964289e-05,-5.735282e-07,7.674842e-04,2.925962e-03,2.082270e-05,1.479042e-08,1.915164e-07,1.385035e-11,7.862513e-12
4.600000e+01,7.559998e+01,1.530006e+01,-1.096090e-01,1.192614e-01,3.806263e-01,1.226200e-01,9.561279e-09,-3.925842e-09,-1.908803e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.365573e-05,-5.926524e-05,-6.113952e-07,7.911399e-04,2.985227e-03,2.143410e-05,1.535002e-08,1.950288e-07,1.422415e-11,7.862623e-12
4.700000e+01,7.559998e+01,1.530006e+01,-1.096090e-01,1.192614e-01,3.806263e-01,1.226200e-01,9.181036e-09,-3.939350e-09,-1.916599e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.369605e-05,-5.888701e-05,-6.491877e-07,8.148360e-04,3.044114e-03,2.208328e-05,1.591152e-08,1.984965e-07,1.464559e-11,7.862727e-12
4.800000e+01,7.559998e+01,1.530006e+01,-1.096089e-01,1.192614e-01,3.806263e-01,1.226200e-01,8.813670e-09,-3.951174e-09,-1.924718e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.372685e-05,-5.850835e-05,-6.869087e-07,8.385628e-04,3.102622e-03,2.277019e-05,1.647448e-08,2.019197e-07,1.511744e-11,7.862824e-12
4.900000e+01,7.559998e+01,1.530006e+01,-1.096089e-01,1.192614e-01,3.806263e-01,1.226200e-01,8.458636e-09,-3.961388e-09,-1.933144e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.374846e-05,-5.812941e-05,-7.245610e-07,8.623113e-04,3.160752e-03,2.349475e-05,1.703847e-08,2.052987e-07,1.564243e-11,7.862915e-12
5.000000e+01,7.559998e+01,1.530006e+01,-1.096089e-01,1.192614e-01,3.806263e-01,1.226200e-01,8.115420e-09,-3.970064e-09,-1.941860e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.376122e-05,-5.775033e-05,-7.621474e-07,8.860725e-04,3.218502e-03,2.425690e-05,1.760307e-08,2.086338e-07,1.622330e-11,7.863000e-12
5.100000e+01,7.559998e+01,1.530006e+01,-1.096088e-01,1.192614e-01,3.806263e-01,1.226200e-01,7.783536e-09,-3.977269e-09,-1.950849e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.376543e-05,-5.737124e-05,-7.996703e-07,9.098380e-04,3.275873e-03,2.505657e-05,1.816786e-08,2.119253e-07,1.686277e-11,7.863080e-12
5.200000e+01,7.559998e+01,1.530006e+01,-1.096088e-01,1.192614e-01,3.806263e-01,1.226200e-01,7.462519e-09,-3.983069e-09,-1.960099e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.376142e-05,-5.699228e-05,-8.371322e-07,9.335994e-04,3.332865e-03,2.589370e-05,1.873247e-08,2.151734e-07,1.756356e-11,7.863156e-12
5.300000e+01,7.559998e+01,1.530006e+01,-1.096087e-01,1.192614e-01,3.806263e-01,1.226200e-01,7.151935e-09,-3.987525e-09,-1.969593e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.374946e-05,-5.661356e-05,-8.745353e-07,9.573488e-04,3.389479e-03,2.676824e-05,1.929650e-08,2.183785e-07,1.832837e-11,7.863227e-12
5.400000e+01,7.559998e+01,1.530006e+01,-1.096087e-01,1.192614e-01,3.806263e-01,1.226200e-01,6.851366e-09,-3.990697e-09,-1.979320e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.372986e-05,-5.623519e-05,-9.118819e-07,9.810787e-04,3.445714e-03,2.768012e-05,1.985961e-08,2.215409e-07,1.915990e-11,7.863294e-12
5.500000e+01,7.559998e+01,1.530006e+01,-1.096087e-01,1.192614e-01,3.806263e-01,1.226200e-01,6.560421e-09,-3.992642e-09,-1.989267e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.370289e-05,-5.585729e-05,-9.491740e-07,1.004782e-03,3.501572e-03,2.862929e-05,2.042144e-08,2.246609e-07,2.006083e-11,7.863356e-12
5.600000e+01,7.559998e+01,1.530006e+01,-1.096086e-01,1.192614e-01,3.806263e-01,1.226200e-01,6.278725e-09,-3.993416e-09,-1.999422e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.366882e-05,-5.547995e-05,-9.864137e-07,1.028450e-03,3.557051e-03,2.961571e-05,2.098165e-08,2.277390e-07,2.103384e-11,7.863416e-12
5.700000e+01,7.559998e+01,1.530006e+01,-1.096086e-01,1.192614e-01,3.806263e-01,1.226200e-01,6.005922e-09,-3.993069e-09,-2.009773e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.362791e-05,-5.510328e-05,-1.023603e-06,1.052078e-03,3.612155e-03,3.063931e-05,2.153993e-08,2.307753e-07,2.208160e-11,7.863472e-12
5.800000e+01,7.559998e+01,1.530005e+01,-1.096086e-01,1.192614e-01,3.806263e-01,1.226199e-01,5.741679e-09,-3.991653e-09,-2.020311e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.358041e-05,-5.472737e-05,-1.060743e-06,1.075659e-03,3.666882e-03,3.170005e-05,2.209597e-08,2.337704e-07,2.320678e-11,7.863525e-12
