t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.192600e-01,3.806300e-01,1.226200e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,7.560000e+01,1.530004e+01,-1.096096e-01,1.192612e-01,3.806066e-01,1.226200e-01,1.226557e-06,-2.335459e-05,-5.712830e-09,7.560000e+01,1.530000e+01,-1.096096e-01,2.156900e-06,-4.106904e-05,-1.004601e-08,2.156900e-06,4.106904e-05,1.004601e-08,4.652219e-12,1.686666e-09,1.009223e-16,5.469415e-10
2.000000e+00,7.560000e+01,1.529986e+01,-1.096175e-01,1.192587e-01,3.807120e-01,1.226245e-01,-2.532362e-06,1.053577e-04,4.495846e-06,7.560000e+01,1.530000e+01,-1.096096e-01,-2.251163e-06,1.433438e-04,7.895686e-06,4.408063e-06,1.844128e-04,7.905732e-06,9.719953e-12,2.223411e-08,6.234195e-11,1.167381e-08
3.000000e+00,7.559998e+01,1.530069e+01,-1.095809e-01,1.192719e-01,3.802364e-01,1.226036e-01,1.322806e-05,-4.756392e-04,-2.091652e-05,7.560000e+01,1.530000e+01,-1.096096e-01,2.091942e-05,-6.892347e-04,-2.872073e-05,2.532748e-05,8.736475e-04,3.662646e-05,4.473420e-10,4.972785e-07,8.872222e-10,2.385189e-07
4.000000e+00,7.560008e+01,1.529693e+01,-1.097455e-01,1.192131e-01,3.823836e-01,1.226976e-01,-5.887004e-05,2.147235e-03,9.402897e-05,7.560000e+01,1.530000e+01,-1.096096e-01,-8.212766e-05,3.069489e-03,1.358680e-04,1.074551e-04,3.943137e-03,1.724945e-04,7.192294e-09,9.919043e-06,1.934735e-08,4.861444e-06
5.000000e+00,7.559962e+01,1.531390e+01,-1.090020e-01,1.194792e-01,3.726901e-01,1.222729e-01,2.661733e-04,-9.693539e-03,-4.247311e-04,7.560000e+01,1.530000e+01,-1.096096e-01,3.838015e-04,-1.389886e-02,-6.076230e-04,4.912566e-04,1.784199e-02,7.801175e-04,1.544959e-07,2.030972e-04,3.885530e-07,9.907739e-05
6.000000e+00,7.560172e+01,1.523730e+01,-1.123582e-01,1.182778e-01,3.926901e-01,1.241901e-01,-1.201418e-03,2.000000e-02,1.917277e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-1.719265e-03,6.270317e-02,2.748532e-03,2.210522e-03,8.054517e-02,3.528650e-03,3.110368e-06,4.134785e-03,7.942983e-06,5.041967e-04
7.000000e+00,7.559778e+01,1.535794e+01,-1.055796e-01,1.205443e-01,3.726901e-01,1.202960e-01,2.266481e-03,-2.000000e-02,-3.894191e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.222852e-03,-5.794057e-02,-4.030017e-03,4.433373e-03,1.384857e-01,7.558666e-03,8.051437e-06,7.491896e-03,2.418402e-05,9.244984e-04
8.000000e+00,7.560114e+01,1.527689e+01,-1.120930e-01,1.185876e-01,3.926901e-01,1.240785e-01,-1.956640e-03,2.000000e-02,3.782556e-03,7.560000e+01,1.530000e+01,-1.096096e-01,-1.137692e-03,2.310544e-02,2.483398e-03,5.571065e-03,1.615912e-01,1.004206e-02,9.345781e-06,8.025757e-03,3.035128e-05,1.342635e-03
9.000000e+00,7.559749e+01,1.539356e+01,-1.055321e-01,1.206969e-01,3.726901e-01,1.202765e-01,2.109256e-03,-2.000000e-02,-3.802012e-03,7.560000e+01,1.530000e+01,-1.096096e-01,2.508029e-03,-9.356430e-02,-4.077488e-03,8.079094e-03,2.551555e-01,1.411955e-02,1.563599e-05,1.678004e-02,4.697719e-05,1.761539e-03
