t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,1.192600e-01,3.806300e-01,1.226200e-01,0.000000e+00,0.000000e+00,0.000000e+00,7.560000e+01,1.530000e+01,-1.096096e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,7.560000e+01,1.530004e+01,-1.096096e-01,1.192601e-01,3.806272e-01,1.226200e-01,1.481071e-07,-2.820074e-06,-6.898259e-10,7.560000e+01,1.530000e+01,-1.096096e-01,2.156900e-06,-4.106904e-05,-1.004601e-08,2.156900e-06,4.106904e-05,1.004601e-08,4.652219e-12,1.686666e-09,1.009223e-16,7.974753e-12
2.000000e+00,7.560000e+01,1.530005e+01,-1.096106e-01,1.192602e-01,3.806252e-01,1.226201e-01,7.700508e-08,-1.957158e-06,6.506116e-08,7.560000e+01,1.530000e+01,-1.096096e-01,3.518569e-06,-5.125690e-05,9.357041e-07,5.675469e-06,9.232594e-05,9.457501e-07,1.703255e-11,4.313936e-09,8.756430e-13,1.181538e-11
3.000000e+00,7.560000e+01,1.530004e+01,-1.096112e-01,1.192603e-01,3.806235e-01,1.226201e-01,5.332417e-08,-1.707936e-06,3.282186e-08,7.560000e+01,1.530000e+01,-1.096096e-01,4.361554e-06,-4.184746e-05,1.577705e-06,1.003702e-05,1.341734e-04,2.523455e-06,3.605570e-11,6.065145e-09,3.364796e-12,1.473635e-11
4.000000e+00,7.560000e+01,1.530002e+01,-1.096117e-01,1.192603e-01,3.806237e-01,1.226201e-01,2.604861e-08,1.757361e-07,2.964313e-08,7.560000e+01,1.530000e+01,-1.096096e-01,4.761256e-06,-1.717406e-05,2.124635e-06,1.479828e-05,1.513475e-04,4.648090e-06,5.872526e-11,6.360094e-09,7.878871e-12,1.476879e-11
5.000000e+00,7.559999e+01,1.530000e+01,-1.096116e-01,1.192603e-01,3.806247e-01,1.226201e-01,3.390481e-08,9.698655e-07,-1.344257e-08,7.560000e+01,1.530000e+01,-1.096096e-01,5.182496e-06,3.375681e-06,2.003559e-06,1.998078e-05,1.547231e-04,6.651650e-06,8.558353e-11,6.371489e-09,1.189312e-11,1.571076e-11
6.000000e+00,7.559999e+01,1.529999e+01,-1.096112e-01,1.192604e-01,3.806263e-01,1.226201e-01,4.872963e-08,1.605508e-06,-2.347223e-08,7.560000e+01,1.530000e+01,-1.096096e-01,5.797280e-06,1.268886e-05,1.601212e-06,2.577806e-05,1.674120e-04,8.252861e-06,1.191920e-10,6.532496e-09,1.445700e-11,1.829134e-11
7.000000e+00,7.559999e+01,1.529999e+01,-1.096106e-01,1.192605e-01,3.806273e-01,1.226201e-01,7.176230e-08,1.073545e-06,-3.402241e-08,7.560000e+01,1.530000e+01,-1.096096e-01,6.739037e-06,5.869701e-06,9.772024e-07,3.251709e-05,1.732817e-04,9.230064e-06,1.646066e-10,6.566949e-09,1.541192e-11,1.945015e-11
8.000000e+00,7.559999e+01,1.530001e+01,-1.096102e-01,1.192605e-01,3.806277e-01,1.226200e-01,8.329679e-08,3.650951e-07,-1.814764e-08,7.560000e+01,1.530000e+01,-1.096096e-01,7.860718e-06,-1.041983e-05,5.449211e-07,4.037781e-05,1.837015e-04,9.774985e-06,2.263975e-10,6.675522e-09,1.570886e-11,1.959071e-11
9.000000e+00,7.559999e+01,1.530003e+01,-1.096100e-01,1.192606e-01,3.806272e-01,1.226200e-01,8.446762e-08,-5.259096e-07,-3.603161e-09,7.560000e+01,1.530000e+01,-1.096096e-01,8.988537e-06,-2.851478e-05,3.663014e-07,4.936635e-05,2.122163e-04,1.014129e-05,3.071913e-10,7.488615e-09,1.584304e-11,1.987444e-11
1.000000e+01,7.559999e+01,1.530004e+01,-1.096101e-01,1.192607e-01,3.806263e-01,1.226200e-01,7.281990e-08,-9.055947e-07,1.388147e-08,7.560000e+01,1.530000e+01,-1.096096e-01,9.915412e-06,-3.979064e-05,5.036663e-07,5.928176e-05,2.520069e-04,1.064495e-05,4.055067e-10,9.071910e-09,1.609672e-11,2.070004e-11
1.100000e+01,7.559999e+01,1.530004e+01,-1.096104e-01,1.192608e-01,3.806254e-01,1.226201e-01,5.778248e-08,-8.755757e-07,1.830076e-08,7.560000e+01,1.530000e+01,-1.096096e-01,1.056599e-05,-4.133571e-05,7.743762e-07,6.984775e-05,2.933426e-04,1.141933e-05,5.171468e-10,1.078055e-08,1.669638e-11,2.147034e-11
1.200000e+01,7.559999e+01,1.530003e+01,-1.096107e-01,1.192608e-01,3.806250e-01,1.226201e-01,4.459045e-08,-4.067021e-07,1.529610e-08,7.560000e+01,1.530000e+01,-1.096096e-01,1.096185e-05,-3.441384e-05,1.032344e-06,8.080960e-05,3.277565e-04,1.245167e-05,6.373090e-10,1.196486e-08,1.776211e-11,2.163797e-11
1.300000e+01,7.559999e+01,1.530002e+01,-1.096107e-01,1.192608e-01,3.806251e-01,1.226201e-01,3.930350e-08,1.176115e-07,4.040482e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.122431e-05,-2.432093e-05,1.122613e-06,9.203391e-05,3.520774e-04,1.357429e-05,7.632942e-10,1.255637e-08,1.902237e-11,2.165337e-11
1.400000e+01,7.559999e+01,1.530002e+01,-1.096106e-01,1.192609e-01,3.806256e-01,1.226201e-01,4.131035e-08,5.069334e-07,-6.284250e-09,7.560000e+01,1.530000e+01,-1.096096e-01,1.147914e-05,-1.634591e-05,1.026610e-06,1.035131e-04,3.684233e-04,1.460090e-05,8.950649e-10,1.282356e-08,2.007630e-11,2.191209e-11
