t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.634900e-01,6.200438e-01,3.398036e-01,-7.000000e-03,-7.762320e-04,1.362755e-05,9.720000e+01,5.050000e+01,-1.169689e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.960272e-05
1.000000e+00,9.719394e+01,5.049018e+01,-1.191228e-01,2.564900e-01,6.190547e-01,3.398214e-01,-7.000000e-03,-9.890385e-04,1.775717e-05,9.735705e+01,5.056282e+01,-1.169689e-01,1.631126e-01,7.263869e-02,2.153933e-03,1.631126e-01,7.263869e-02,2.153933e-03,2.660571e-02,5.276379e-03,4.639427e-06,9.958123e-05
2.000000e+00,9.718190e+01,5.046856e+01,-1.213957e-01,2.494900e-01,6.182403e-01,3.398364e-01,-7.000000e-03,-8.144427e-04,1.503836e-05,9.751395e+01,5.062558e+01,-1.169689e-01,3.320527e-01,1.570217e-01,4.426847e-03,4.951653e-01,2.296604e-01,6.580780e-03,1.368647e-01,2.993218e-02,2.423640e-05,1.492448e-04
3.000000e+00,9.716384e+01,5.043816e+01,-1.236100e-01,2.424900e-01,6.175802e-01,3.398490e-01,-7.000000e-03,-6.600559e-04,1.260645e-05,9.767054e+01,5.068822e+01,-1.169689e-01,5.067061e-01,2.500571e-01,6.641118e-03,1.001871e+00,4.797174e-01,1.322190e-02,3.936157e-01,9.246073e-02,6.834085e-05,1.986806e-04
4.000000e+00,9.713971e+01,5.040146e+01,-1.257759e-01,2.354900e-01,6.170560e-01,3.398595e-01,-7.000000e-03,-5.242143e-04,1.044132e-05,9.782667e+01,5.075067e+01,-1.169689e-01,6.869523e-01,3.492114e-01,8.807052e-03,1.688824e+00,8.289288e-01,2.202895e-02,8.655193e-01,2.144093e-01,1.459050e-04,2.479555e-04
5.000000e+00,9.710951e+01,5.036044e+01,-1.279029e-01,2.284900e-01,6.166507e-01,3.398680e-01,-7.000000e-03,-4.053225e-04,8.523227e-06,9.798217e+01,5.081287e+01,-1.169689e-01,8.726659e-01,4.524327e-01,1.093405e-02,2.561490e+00,1.281362e+00,3.296300e-02,1.627065e+00,4.191047e-01,2.654585e-04,2.971199e-04
6.000000e+00,9.707319e+01,5.031668e+01,-1.299995e-01,2.214900e-01,6.163488e-01,3.398748e-01,-7.000000e-03,-3.018607e-04,6.832938e-06,9.813691e+01,5.087476e+01,-1.169689e-01,1.063716e+00,5.580832e-01,1.303066e-02,3.625206e+00,1.839445e+00,4.599367e-02,2.758558e+00,7.305615e-01,4.352568e-04,3.462110e-04
7.000000e+00,9.703075e+01,5.027141e+01,-1.320735e-01,2.144900e-01,6.161364e-01,3.398802e-01,-7.000000e-03,-2.123895e-04,5.351858e-06,9.829072e+01,5.093629e+01,-1.169689e-01,1.259970e+00,6.648782e-01,1.510461e-02,4.885175e+00,2.504323e+00,6.109828e-02,4.346081e+00,1.172624e+00,6.634060e-04,3.952562e-04
8.000000e+00,9.698216e+01,5.022555e+01,-1.341317e-01,2.074900e-01,6.160009e-01,3.398842e-01,-7.000000e-03,-1.355532e-04,4.062134e-06,9.844345e+01,5.099738e+01,-1.169689e-01,1.461287e+00,7.718334e-01,1.716284e-02,6.346463e+00,3.276156e+00,7.826112e-02,6.481442e+00,1.768351e+00,9.579690e-04,4.442746e-04
9.000000e+00,9.692743e+01,5.017976e+01,-1.361804e-01,2.004900e-01,6.159308e-01,3.398872e-01,-7.000000e-03,-7.008129e-05,2.946728e-06,9.859496e+01,5.105798e+01,-1.169689e-01,1.667530e+00,8.782175e-01,1.921158e-02,8.013993e+00,4.154374e+00,9.747269e-02,9.262097e+00,2.539617e+00,1.327054e-03,4.932795e-04
