t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.704871e-01,6.208246e-01,3.397878e-01,-2.922400e-06,4.566598e-06,-2.238298e-06,9.720000e+01,5.050000e+01,-1.169689e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.440422e-11
1.000000e+00,9.720000e+01,5.050000e+01,-1.169675e-01,2.774871e-01,6.233478e-01,3.397873e-01,7.000000e-03,2.523209e-03,-4.183652e-07,9.735705e+01,5.056282e+01,-1.169689e-01,1.570549e-01,6.282152e-02,-1.361844e-06,1.570549e-01,6.282152e-02,1.361844e-06,2.466623e-02,3.946543e-03,1.854619e-12,5.536662e-05
2.000000e+00,9.720552e+01,5.053172e+01,-1.140220e-01,2.844871e-01,6.248457e-01,3.389099e-01,7.000000e-03,1.497896e-03,-8.774329e-04,9.751395e+01,5.062558e+01,-1.169689e-01,3.084370e-01,9.385617e-02,-2.946887e-03,4.654918e-01,1.566777e-01,2.948249e-03,1.197996e-01,1.275552e-02,8.684145e-06,1.073802e-04
3.000000e+00,9.721699e+01,5.057944e+01,-1.115269e-01,2.914871e-01,6.258078e-01,3.381815e-01,7.000000e-03,9.621621e-04,-7.283610e-04,9.767054e+01,5.068822e+01,-1.169689e-01,4.535543e-01,1.087803e-01,-5.441956e-03,9.190462e-01,2.654580e-01,8.390205e-03,3.255111e-01,2.458867e-02,3.829903e-05,1.578365e-04
4.000000e+00,9.723454e+01,5.063515e+01,-1.092655e-01,2.984871e-01,6.264817e-01,3.375381e-01,7.000000e-03,6.739055e-04,-6.434611e-04,9.782667e+01,5.075067e+01,-1.169689e-01,5.921222e-01,1.155127e-01,-7.703318e-03,1.511168e+00,3.809707e-01,1.609352e-02,6.761198e-01,3.793186e-02,9.764013e-05,2.077047e-04
5.000000e+00,9.725825e+01,5.069481e+01,-1.071201e-01,3.054871e-01,6.269922e-01,3.369446e-01,7.000000e-03,5.104147e-04,-5.934983e-04,9.798217e+01,5.081287e+01,-1.169689e-01,7.239235e-01,1.180540e-01,-9.848770e-03,2.235092e+00,4.990246e-01,2.594229e-02,1.200185e+00,5.186859e-02,1.946384e-04,2.573174e-04
6.000000e+00,9.728813e+01,5.075634e+01,-1.050310e-01,3.124871e-01,6.274019e-01,3.363834e-01,7.000000e-03,4.097038e-04,-5.612005e-04,9.813691e+01,5.087476e+01,-1.169689e-01,8.487755e-01,1.184256e-01,-1.193782e-02,3.083867e+00,6.174502e-01,3.788011e-02,1.920605e+00,6.589321e-02,3.371500e-04,3.068002e-04
7.000000e+00,9.732420e+01,5.081864e+01,-1.029684e-01,3.194871e-01,6.277423e-01,3.358456e-01,7.000000e-03,3.404700e-04,-5.378330e-04,9.829072e+01,5.093629e+01,-1.169689e-01,9.665131e-01,1.176494e-01,-1.400051e-02,4.050380e+00,7.350996e-01,5.188062e-02,2.854752e+00,7.973458e-02,5.331642e-04,3.562054e-04
8.000000e+00,9.736647e+01,5.088114e+01,-1.009169e-01,3.264871e-01,6.280292e-01,3.353266e-01,7.000000e-03,2.869122e-04,-5.189846e-04,9.844345e+01,5.099738e+01,-1.169689e-01,1.076981e+00,1.162425e-01,-1.605198e-02,5.127361e+00,8.513420e-01,6.793260e-02,4.014639e+00,9.324690e-02,7.908304e-04,4.055571e-04
9.000000e+00,9.741493e+01,5.094352e+01,-9.886899e-02,3.334871e-01,6.282703e-01,3.348241e-01,7.000000e-03,2.410609e-04,-5.024281e-04,9.859496e+01,5.105798e+01,-1.169689e-01,1.180027e+00,1.144670e-01,-1.809988e-02,6.307388e+00,9.658090e-01,8.603248e-02,5.407104e+00,1.063496e-01,1.118436e-03,4.548676e-04
1.000000e+01,9.746958e+01,5.100558e+01,-9.682082e-02,3.404871e-01,6.284692e-01,3.343371e-01,7.000000e-03,1.989028e-04,-4.870395e-04,9.874508e+01,5.111803e+01,-1.169689e-01,1.275506e+00,1.124562e-01,-2.014804e-02,7.582895e+00,1.078265e+00,1.061805e-01,7.034020e+00,1.189960e-01,1.524380e-03,5.041444e-04
1.100000e+01,9.753042e+01,5.106720e+01,-9.477045e-02,3.474871e-01,6.286276e-01,3.338649e-01,7.000000e-03,1.584235e-04,-4.722521e-04,9.889369e+01,5.117748e+01,-1.169689e-01,1.363272e+00,1.102786e-01,-2.219841e-02,8.946167e+00,1.188544e+00,1.283789e-01,8.892532e+00,1.311574e-01,2.017149e-03,5.533925e-04
1.200000e+01,9.759744e+01,5.112828e+01,-9.271691e-02,3.544871e-01,6.287462e-01,3.334071e-01,7.000000e-03,1.186182e-04,-4.577810e-04,9.904062e+01,5.123625e+01,-1.169689e-01,1.443183e+00,1.079699e-01,-2.425196e-02,1.038935e+01,1.296514e+00,1.526309e-01,1.097531e+01,1.428149e-01,2.605306e-03,6.026161e-04
1.300000e+01,9.767064e+01,5.118875e+01,-9.065969e-02,3.614871e-01,6.288252e-01,3.329636e-01,7.000000e-03,7.899256e-05,-4.434832e-04,9.918574e+01,5.129430e+01,-1.169689e-01,1.515096e+00,1.055490e-01,-2.630917e-02,1.190445e+01,1.402063e+00,1.789401e-01,1.327083e+01,1.539555e-01,3.297479e-03,6.518191e-04
