t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.704900e-01,6.208200e-01,3.397900e-01,0.000000e+00,0.000000e+00,0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,9.720000e+01,5.049994e+01,-1.169688e-01,2.774900e-01,6.263046e-01,3.397895e-01,7.000000e-03,5.484560e-03,-4.691917e-07,9.735705e+01,5.056282e+01,-1.169689e-01,1.570512e-01,6.287894e-02,-3.170023e-08,1.570512e-01,6.287894e-02,3.170023e-08,2.466507e-02,3.953760e-03,1.004905e-15,7.908040e-05
2.000000e+00,9.720460e+01,5.056885e+01,-1.126813e-01,2.844900e-01,6.216476e-01,2.972617e-01,7.000000e-03,-4.656938e-03,-4.252782e-02,9.751395e+01,5.062558e+01,-1.169689e-01,3.093476e-01,5.673125e-02,-4.287516e-03,4.663988e-01,1.196102e-01,4.287548e-03,1.203610e-01,7.172196e-03,1.838280e-05,1.958383e-03
3.000000e+00,9.722332e+01,5.057258e+01,-1.127511e-01,2.914900e-01,6.261177e-01,3.302438e-01,7.000000e-03,4.470046e-03,3.298209e-02,9.767054e+01,5.068822e+01,-1.169689e-01,4.472216e-01,1.156336e-01,-4.217746e-03,9.136204e-01,2.352438e-01,8.505294e-03,3.203682e-01,2.054333e-02,3.617218e-05,3.115183e-03
4.000000e+00,9.724196e+01,5.063326e+01,-1.094087e-01,2.967729e-01,6.237484e-01,3.050649e-01,5.282940e-03,-2.369219e-03,-2.517887e-02,9.782667e+01,5.075067e+01,-1.169689e-01,5.847064e-01,1.174093e-01,-7.560156e-03,1.498327e+00,3.526531e-01,1.606545e-02,6.622498e-01,3.432828e-02,9.332814e-05,3.782681e-03
5.000000e+00,9.726982e+01,5.065916e+01,-1.090052e-01,2.981549e-01,6.246454e-01,3.225098e-01,1.381951e-03,8.969192e-04,1.744487e-02,9.798217e+01,5.081287e+01,-1.169689e-01,7.123483e-01,1.537044e-01,-7.963686e-03,2.210675e+00,5.063575e-01,2.402914e-02,1.169690e+00,5.795331e-02,1.567484e-04,4.089718e-03
6.000000e+00,9.729597e+01,5.069541e+01,-1.085407e-01,3.030296e-01,6.253842e-01,3.217149e-01,4.874668e-03,7.388382e-04,-7.948875e-04,9.813691e+01,5.087476e+01,-1.169689e-01,8.409320e-01,1.793545e-01,-8.428137e-03,3.051607e+00,6.857120e-01,3.245727e-02,1.876857e+00,9.012134e-02,2.277819e-04,4.114659e-03
7.000000e+00,9.732634e+01,5.073887e+01,-1.070025e-01,3.078611e-01,6.259766e-01,3.188153e-01,4.831541e-03,5.924113e-04,-2.899567e-03,9.829072e+01,5.093629e+01,-1.169689e-01,9.643725e-01,1.974160e-01,-9.966337e-03,4.015980e+00,8.831280e-01,4.242361e-02,2.806871e+00,1.290944e-01,3.271098e-04,4.146761e-03
8.000000e+00,9.736124e+01,5.078724e+01,-1.055221e-01,3.125414e-01,6.264654e-01,3.158160e-01,4.680281e-03,4.888063e-04,-2.999389e-03,9.844345e+01,5.099738e+01,-1.169689e-01,1.082205e+00,2.101384e-01,-1.144674e-02,5.098185e+00,1.093266e+00,5.387035e-02,3.978040e+00,1.732526e-01,4.581377e-04,4.177901e-03
9.000000e+00,9.740058e+01,5.083900e+01,-1.041359e-01,3.170774e-01,6.268786e-01,3.130952e-01,4.535970e-03,4.132118e-04,-2.720749e-03,9.859496e+01,5.105798e+01,-1.169689e-01,1.194379e+00,2.189831e-01,-1.283296e-02,6.292564e+00,1.312250e+00,6.670331e-02,5.404581e+00,2.212062e-01,6.228226e-04,4.206049e-03
1.000000e+01,9.744418e+01,5.089312e+01,-1.028324e-01,3.215133e-01,6.272344e-01,3.106287e-01,4.435946e-03,3.558029e-04,-2.466503e-03,9.874508e+01,5.111803e+01,-1.169689e-01,1.300903e+00,2.249138e-01,-1.413647e-02,7.593467e+00,1.537163e+00,8.083978e-02,7.096930e+00,2.717924e-01,8.226624e-04,4.231937e-03
1.100000e+01,9.749194e+01,5.094890e+01,-1.015897e-01,3.258028e-01,6.275447e-01,3.083006e-01,4.289484e-03,3.102120e-04,-2.328073e-03,9.889369e+01,5.117748e+01,-1.169689e-01,1.401748e+00,2.285725e-01,-1.537915e-02,8.995215e+00,1.765736e+00,9.621893e-02,9.061827e+00,3.240378e-01,1.059181e-03,4.255853e-03
1.200000e+01,9.754371e+01,5.100586e+01,-1.004118e-01,3.299947e-01,6.278169e-01,3.061413e-01,4.191871e-03,2.722422e-04,-2.159308e-03,9.904062e+01,5.123625e+01,-1.169689e-01,1.496916e+00,2.303904e-01,-1.655702e-02,1.049213e+01,1.996126e+00,1.127760e-01,1.130258e+01,3.771175e-01,1.333315e-03,4.278161e-03
1.300000e+01,9.759937e+01,5.106363e+01,-9.928220e-02,3.340836e-01,6.280561e-01,3.040465e-01,4.088971e-03,2.391981e-04,-2.094870e-03,9.918574e+01,5.129430e+01,-1.169689e-01,1.586372e+00,2.306631e-01,-1.768667e-02,1.207850e+01,2.226789e+00,1.304626e-01,1.381916e+01,4.303230e-01,1.646134e-03,4.299327e-03
1.400000e+01,9.765882e+01,5.112196e+01,-9.819817e-02,3.380464e-01,6.281690e-01,3.020117e-01,3.962758e-03,1.128658e-04,-2.034797e-03,9.932890e+01,5.135156e+01,-1.169689e-01,1.670074e+00,2.295964e-01,-1.877069e-02,1.374858e+01,2.456386e+00,1.492333e-01,1.660831e+01,4.830375e-01,1.998473e-03,4.319183e-03
1.500000e+01,9.772198e+01,5.117942e+01,-9.720802e-02,3.419150e-01,6.283777e-01,3.002478e-01,3.868574e-03,2.087766e-04,-1.763868e-03,9.946995e+01,5.140798e+01,-1.169689e-01,1.747973e+00,2.285561e-01,-1.976084e-02,1.549655e+01,2.684942e+00,1.689942e-01,1.966372e+01,5.352754e-01,2.388964e-03,4.337304e-03
1.600000e+01,9.778868e+01,5.123754e+01,-9.620270e-02,3.456670e-01,6.284111e-01,2.981147e-01,3.752061e-03,3.339730e-05,-2.133043e-03,9.960877e+01,5.146351e+01,-1.169689e-01,1.820093e+00,2.259637e-01,-2.076616e-02,1.731664e+01,2.910905e+00,1.897603e-01,2.297646e+01,5.863350e-01,2.820197e-03,4.355933e-03
1.700000e+01,9.785891e+01,5.129425e+01,-9.530691e-02,3.493295e-01,6.286307e-01,2.964744e-01,3.662434e-03,2.196076e-04,-1.640312e-03,9.974521e+01,5.151808e+01,-1.169689e-01,1.886300e+00,2.238352e-01,-2.166195e-02,1.920294e+01,3.134741e+00,2.114223e-01,2.653459e+01,6.364371e-01,3.289437e-03,4.372085e-03
1.800000e+01,9.793245e+01,5.135225e+01,-9.435610e-02,3.528685e-01,6.285521e-01,2.942143e-01,3.539088e-03,-7.862260e-05,-2.260104e-03,9.987913e+01,5.157165e+01,-1.169689e-01,1.946680e+00,2.194041e-01,-2.261276e-02,2.114962e+01,3.354145e+00,2.340350e-01,3.032415e+01,6.845753e-01,3.800774e-03,4.389725e-03
1.900000e+01,9.800938e+01,5.140784e+01,-9.357147e-02,3.562715e-01,6.288226e-01,2.927599e-01,3.402962e-03,2.704523e-04,-1.454385e-03,1.000104e+02,5.162417e+01,-1.169689e-01,2.001033e+00,2.163264e-01,-2.339739e-02,2.315066e+01,3.570471e+00,2.574324e-01,3.432828e+01,7.313724e-01,4.348212e-03,4.403493e-03
2.000000e+01,9.808934e+01,5.146589e+01,-9.267233e-02,3.595758e-01,6.285750e-01,2.903116e-01,3.304318e-03,-2.476086e-04,-2.448315e-03,1.001389e+02,5.167557e+01,-1.169689e-01,2.049590e+00,2.096785e-01,-2.429653e-02,2.520025e+01,3.780150e+00,2.817290e-01,3.852910e+01,7.753375e-01,4.938534e-03,4.420467e-03
2.100000e+01,9.817253e+01,5.151976e+01,-9.203175e-02,3.627806e-01,6.289703e-01,2.891183e-01,3.204748e-03,3.953633e-04,-1.193355e-03,1.002645e+02,5.172581e+01,-1.169689e-01,2.092009e+00,2.060496e-01,-2.493711e-02,2.729225e+01,3.986199e+00,3.066661e-01,4.290560e+01,8.177940e-01,5.560393e-03,4.432318e-03
2.200000e+01,9.825847e+01,5.157824e+01,-9.113647e-02,3.658344e-01,6.284521e-01,2.885470e-01,3.053865e-03,-5.182189e-04,-5.712622e-04,1.003871e+02,5.177485e+01,-1.169689e-01,2.128651e+00,1.966091e-01,-2.583239e-02,2.942091e+01,4.182808e+00,3.324985e-01,4.743676e+01,8.564491e-01,6.227706e-03,4.442239e-03
2.300000e+01,9.834721e+01,5.162940e+01,-9.070450e-02,3.687718e-01,6.291073e-01,2.891795e-01,2.937327e-03,6.552069e-04,6.325220e-04,1.005066e+02,5.182262e+01,-1.169689e-01,2.159346e+00,1.932216e-01,-2.626436e-02,3.158025e+01,4.376030e+00,3.587628e-01,5.209953e+01,8.937837e-01,6.917523e-03,4.451696e-03
2.400000e+01,9.843810e+01,5.168909e+01,-8.976227e-02,3.715992e-01,6.281373e-01,2.884815e-01,2.827422e-03,-9.700449e-04,-6.980111e-04,1.006227e+02,5.186909e+01,-1.169689e-01,2.184636e+00,1.800048e-01,-2.720660e-02,3.376489e+01,4.556035e+00,3.859694e-01,5.687217e+01,9.261854e-01,7.657721e-03,4.461119e-03
2.500000e+01,9.853174e+01,5.173587e+01,-8.957738e-02,3.742947e-01,6.293000e-01,2.890667e-01,2.695569e-03,1.162774e-03,5.851820e-04,1.007355e+02,5.191421e+01,-1.169689e-01,2.203798e+00,1.783469e-01,-2.739148e-02,3.596869e+01,4.734382e+00,4.133609e-01,6.172889e+01,9.579930e-01,8.408015e-03,4.470080e-03
2.600000e+01,9.862713e+01,5.179839e+01,-8.844336e-02,3.768717e-01,6.275453e-01,2.881519e-01,2.576923e-03,-1.754773e-03,-9.148419e-04,1.008448e+02,5.195794e+01,-1.169689e-01,2.217711e+00,1.595440e-01,-2.852550e-02,3.818640e+01,4.893926e+00,4.418864e-01,6.664714e+01,9.834473e-01,9.221719e-03,4.480636e-03
2.700000e+01,9.872532e+01,5.183794e+01,-8.866935e-02,3.792906e-01,6.294201e-01,2.916634e-01,2.418934e-03,1.874817e-03,3.511531e-03,1.009506e+02,5.200022e+01,-1.169689e-01,2.225233e+00,1.622794e-01,-2.829951e-02,4.041163e+01,5.056205e+00,4.701859e-01,7.159880e+01,1.009782e+00,1.002258e-02,4.502333e-03
2.800000e+01,9.882435e+01,5.190337e+01,-8.727767e-02,3.815906e-01,6.268640e-01,2.876389e-01,2.300031e-03,-2.556095e-03,-4.024534e-03,1.010526e+02,5.204103e+01,-1.169689e-01,2.228216e+00,1.376539e-01,-2.969120e-02,4.263985e+01,5.193859e+00,4.998771e-01,7.656374e+01,1.028731e+00,1.090415e-02,4.530354e-03
2.900000e+01,9.892663e+01,5.193544e+01,-8.789350e-02,3.831753e-01,6.293225e-01,2.957828e-01,1.584688e-03,2.458562e-03,8.143964e-03,1.011508e+02,5.208031e+01,-1.169689e-01,2.224140e+00,1.448701e-01,-2.907537e-02,4.486399e+01,5.338729e+00,5.289525e-01,8.151054e+01,1.049718e+00,1.174953e-02,4.605234e-03
3.000000e+01,9.902812e+01,5.200191e+01,-8.645934e-02,3.848057e-01,6.262993e-01,2.875593e-01,1.630340e-03,-3.023209e-03,-8.223489e-03,1.012451e+02,5.211803e+01,-1.169689e-01,2.216969e+00,1.161215e-01,-3.050953e-02,4.708096e+01,5.454851e+00,5.594620e-01,8.642550e+01,1.063202e+00,1.268036e-02,4.684657e-03
3.100000e+01,9.913303e+01,5.202899e+01,-8.739792e-02,3.856279e-01,6.291369e-01,2.989051e-01,8.222028e-04,2.837553e-03,1.134573e-02,1.013354e+02,5.215416e+01,-1.169689e-01,2.202378e+00,1.251695e-01,-2.957094e-02,4.928333e+01,5.580020e+00,5.890330e-01,9.127596e+01,1.078869e+00,1.355480e-02,4.822111e-03
3.200000e+01,9.923584e+01,5.209607e+01,-8.599181e-02,3.871175e-01,6.256720e-01,2.876037e-01,1.489650e-03,-3.464910e-03,-1.130135e-02,1.014216e+02,5.218866e+01,-1.169689e-01,2.185803e+00,9.258611e-02,-3.097705e-02,5.146914e+01,5.672606e+00,6.200100e-01,9.605370e+01,1.087442e+00,1.451438e-02,4.964056e-03
3.300000e+01,9.934255e+01,5.211800e+01,-8.712634e-02,3.875297e-01,6.288620e-01,3.006884e-01,4.122238e-04,3.190045e-03,1.308469e-02,1.015037e+02,5.222148e+01,-1.169689e-01,2.161159e+00,1.034879e-01,-2.984253e-02,5.363030e+01,5.776094e+00,6.498525e-01,1.007243e+02,1.098151e+00,1.540495e-02,5.145611e-03
3.400000e+01,9.944642e+01,5.218516e+01,-8.566265e-02,3.887944e-01,6.249942e-01,2.874468e-01,1.264690e-03,-3.867798e-03,-1.324159e-02,1.015815e+02,5.225261e+01,-1.169689e-01,2.135113e+00,6.744886e-02,-3.130621e-02,5.576541e+01,5.843543e+00,6.811587e-01,1.052830e+02,1.102701e+00,1.638503e-02,5.337510e-03
3.500000e+01,9.955441e+01,5.220193e+01,-8.701695e-02,3.888087e-01,6.284999e-01,3.027388e-01,1.429652e-05,3.505684e-03,1.529196e-02,1.016550e+02,5.228201e+01,-1.169689e-01,2.100623e+00,8.008415e-02,-2.995192e-02,5.786603e+01,5.923627e+00,7.111107e-01,1.096956e+02,1.109114e+00,1.728215e-02,5.583644e-03
3.600000e+01,9.965876e+01,5.226869e+01,-8.551583e-02,3.898590e-01,6.242671e-01,2.873167e-01,1.050238e-03,-4.232786e-03,-1.542207e-02,1.017241e+02,5.230965e+01,-1.169689e-01,2.065377e+00,4.096044e-02,-3.145304e-02,5.993141e+01,5.964588e+00,7.425637e-01,1.139614e+02,1.110792e+00,1.827144e-02,5.840504e-03
3.700000e+01,9.976748e+01,5.228028e+01,-8.706885e-02,3.894010e-01,6.280937e-01,3.046187e-01,-4.579274e-04,3.826595e-03,1.730199e-02,1.017888e+02,5.233551e+01,-1.169689e-01,2.021294e+00,5.522939e-02,-2.990001e-02,6.195270e+01,6.019817e+00,7.724637e-01,1.180470e+02,1.113842e+00,1.916545e-02,6.154716e-03
3.800000e+01,9.987173e+01,5.234668e+01,-8.554722e-02,3.901879e-01,6.234367e-01,2.872060e-01,7.868297e-04,-4.657066e-03,-1.741268e-02,1.018489e+02,5.235955e+01,-1.169689e-01,1.977156e+00,1.287117e-02,-3.142165e-02,6.392986e+01,6.032688e+00,8.038854e-01,1.219562e+02,1.114008e+00,2.015277e-02,6.480224e-03
3.900000e+01,9.998055e+01,5.235230e+01,-8.734505e-02,3.892903e-01,6.283422e-01,3.069893e-01,-8.975617e-04,4.905557e-03,1.978332e-02,1.019044e+02,5.238176e+01,-1.169689e-01,1.923858e+00,2.946209e-02,-2.962382e-02,6.585372e+01,6.062150e+00,8.335092e-01,1.256574e+02,1.114876e+00,2.103034e-02,6.896474e-03
4.000000e+01,1.000838e+02,5.242745e+01,-8.544522e-02,3.898608e-01,6.221020e-01,2.861665e-01,5.705219e-04,-6.240263e-03,-2.082279e-02,1.019553e+02,5.240211e+01,-1.169689e-01,1.871506e+00,-2.533353e-02,-3.152364e-02,6.772522e+01,6.087484e+00,8.650328e-01,1.291600e+02,1.115518e+00,2.202408e-02,7.369329e-03
4.100000e+01,1.001924e+02,5.242016e+01,-8.801339e-02,3.883266e-01,6.291220e-01,3.141955e-01,-1.534201e-03,7.020034e-03,2.802895e-02,1.020015e+02,5.242059e+01,-1.169689e-01,1.809058e+00,4.235867e-04,-2.895547e-02,6.953428e+01,6.087907e+00,8.939883e-01,1.324326e+02,1.115518e+00,2.286250e-02,8.206586e-03
