t,y1,y2,y3,u1,u2,u3,du1,du2,du3,ref_y1,ref_y2,ref_y3,e1,e2,e3,IAE_y1,IAE_y2,IAE_y3,ISE_y1,ISE_y2,ISE_y3,E_valve
0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,2.704900e-01,6.208200e-01,3.397900e-01,0.000000e+00,0.000000e+00,0.000000e+00,9.720000e+01,5.050000e+01,-1.169689e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,9.720000e+01,5.049994e+01,-1.169688e-01,2.749397e-01,6.202445e-01,3.381773e-01,4.449711e-03,-5.754504e-04,-1.612711e-03,9.735705e+01,5.056282e+01,-1.169689e-01,1.570512e-01,6.287894e-02,-3.170023e-08,1.570512e-01,6.287894e-02,3.170023e-08,2.466507e-02,3.953760e-03,1.004905e-15,2.273191e-05
2.000000e+00,9.720443e+01,5.049266e+01,-1.160744e-01,2.786767e-01,6.201512e-01,3.366126e-01,3.737027e-03,-9.334052e-05,-1.564681e-03,9.751395e+01,5.062558e+01,-1.169689e-01,3.095223e-01,1.329253e-01,-8.945050e-04,4.665735e-01,1.958042e-01,8.945367e-04,1.204691e-01,2.162288e-02,8.001393e-07,3.915422e-05
3.000000e+00,9.721248e+01,5.048518e+01,-1.151351e-01,2.820432e-01,6.201191e-01,3.350900e-01,3.366466e-03,-3.213797e-05,-1.522602e-03,9.767054e+01,5.068822e+01,-1.169689e-01,4.580665e-01,2.030342e-01,-1.833758e-03,9.246399e-01,3.988384e-01,2.728295e-03,3.302940e-01,6.284577e-02,4.162807e-06,5.280666e-05
4.000000e+00,9.722377e+01,5.047852e+01,-1.142603e-01,2.851437e-01,6.200748e-01,3.335995e-01,3.100480e-03,-4.423598e-05,-1.490500e-03,9.782667e+01,5.075067e+01,-1.169689e-01,6.028960e-01,2.721448e-01,-2.708577e-03,1.527536e+00,6.709832e-01,5.436871e-03,6.937776e-01,1.369085e-01,1.149919e-05,6.464318e-05
5.000000e+00,9.723807e+01,5.047263e+01,-1.134580e-01,2.880190e-01,6.200081e-01,3.321369e-01,2.875344e-03,-6.675463e-05,-1.462566e-03,9.798217e+01,5.081287e+01,-1.169689e-01,7.441045e-01,3.402392e-01,-3.510895e-03,2.271640e+00,1.011222e+00,8.947766e-03,1.247469e+00,2.526713e-01,2.382557e-05,7.505434e-05
6.000000e+00,9.725516e+01,5.046732e+01,-1.127232e-01,2.906906e-01,6.199196e-01,3.307010e-01,2.671578e-03,-8.843303e-05,-1.435923e-03,9.813691e+01,5.087476e+01,-1.169689e-01,8.817450e-01,4.074412e-01,-4.245652e-03,3.153386e+00,1.418664e+00,1.319342e-02,2.024943e+00,4.186796e-01,4.185114e-05,8.426137e-05
7.000000e+00,9.727486e+01,5.046243e+01,-1.120508e-01,2.931724e-01,6.198119e-01,3.292917e-01,2.481823e-03,-1.077898e-04,-1.409289e-03,9.829072e+01,5.093629e+01,-1.169689e-01,1.015852e+00,4.738580e-01,-4.918090e-03,4.169237e+00,1.892521e+00,1.811151e-02,3.056898e+00,6.432209e-01,6.603875e-05,9.241853e-05
8.000000e+00,9.729700e+01,5.045782e+01,-1.114366e-01,2.954751e-01,6.196868e-01,3.279096e-01,2.302717e-03,-1.250292e-04,-1.382080e-03,9.844345e+01,5.099738e+01,-1.169689e-01,1.146447e+00,5.395622e-01,-5.532297e-03,5.315685e+00,2.432084e+00,2.364380e-02,4.371240e+00,9.343483e-01,9.664505e-05,9.964681e-05
9.000000e+00,9.732141e+01,5.045338e+01,-1.108774e-01,2.976076e-01,6.195464e-01,3.265556e-01,2.132472e-03,-1.404765e-04,-1.354025e-03,9.859496e+01,5.105798e+01,-1.169689e-01,1.273547e+00,6.045975e-01,-6.091447e-03,6.589231e+00,3.036681e+00,2.973525e-02,5.993160e+00,1.299886e+00,1.337508e-04,1.060474e-04
