sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.044,0.200,4.950,0.243,0.109,0.664,0.200,0.694
1,156.049,0.010,4.950,0.245,0.006,0.668,0.010,0.668
2,155.400,-0.850,4.950,0.008,-0.462,0.019,-0.850,0.851
3,154.959,0.178,5.000,-0.493,0.095,-0.422,0.178,0.458
4,154.739,0.342,5.000,-0.572,0.182,-0.641,0.342,0.727
5,155.033,-0.193,4.950,-0.127,-0.105,-0.347,-0.193,0.397
6,155.464,-0.261,5.000,-0.312,-0.139,0.083,-0.261,0.274
7,155.765,-0.087,5.000,-0.204,-0.047,0.385,-0.087,0.395
8,155.201,-0.337,4.950,-0.065,-0.183,-0.179,-0.337,0.382
9,155.194,0.390,4.950,-0.068,0.211,-0.186,0.390,0.432
10,155.325,0.347,4.950,-0.020,0.188,-0.055,0.347,0.351
11,155.402,-0.818,4.950,0.009,-0.444,0.022,-0.818,0.818
12,156.433,0.137,4.950,0.386,0.075,1.053,0.137,1.062
13,156.418,0.373,4.950,0.380,0.203,1.038,0.373,1.103
14,155.464,0.385,5.000,-0.312,0.205,0.084,0.385,0.394
15,155.482,-0.957,4.950,0.038,-0.520,0.102,-0.957,0.963
16,155.099,-0.421,4.950,-0.102,-0.228,-0.281,-0.421,0.506
17,156.279,0.408,4.950,0.329,0.222,0.899,0.408,0.987
18,154.606,-0.258,5.000,-0.619,-0.137,-0.774,-0.258,0.816
19,155.769,-0.241,4.950,0.142,-0.131,0.389,-0.241,0.458
20,155.216,0.471,5.000,-0.401,0.250,-0.164,0.471,0.498
21,154.433,0.719,5.000,-0.681,0.381,-0.947,0.719,1.189
22,156.224,0.048,4.950,0.309,0.026,0.844,0.048,0.845
23,156.476,-1.119,4.950,0.402,-0.609,1.096,-1.119,1.566
24,155.696,-0.016,5.000,-0.228,-0.008,0.316,-0.016,0.317
25,155.718,-0.269,5.000,-0.221,-0.143,0.338,-0.269,0.432
26,155.132,-0.478,4.950,-0.091,-0.259,-0.248,-0.478,0.539
27,155.769,0.686,4.950,0.143,0.373,0.389,0.686,0.789
28,155.506,-0.635,4.950,0.046,-0.345,0.126,-0.635,0.648
29,155.426,-0.404,5.000,-0.325,-0.215,0.045,-0.404,0.406
# CEP,0.539,P95,1.103,L_pat,0.945,W_pat,0.850
