sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.763,0.191,4.950,0.140,0.104,0.383,0.191,0.428
1,154.689,0.555,5.000,-0.590,0.295,-0.692,0.555,0.887
2,155.693,-0.101,5.000,-0.230,-0.054,0.313,-0.101,0.329
3,155.258,0.617,4.950,-0.044,0.335,-0.123,0.617,0.629
4,156.116,-0.368,4.950,0.269,-0.200,0.736,-0.368,0.823
5,156.077,-0.458,4.950,0.255,-0.249,0.697,-0.458,0.834
6,155.832,-1.156,4.950,0.166,-0.628,0.452,-1.156,1.241
7,155.105,-0.396,4.950,-0.101,-0.215,-0.276,-0.396,0.482
8,155.291,-0.622,5.000,-0.373,-0.331,-0.089,-0.622,0.628
9,156.215,0.474,4.950,0.306,0.258,0.835,0.474,0.960
10,155.761,-0.217,5.000,-0.205,-0.116,0.381,-0.217,0.438
11,155.639,-0.513,4.950,0.095,-0.279,0.259,-0.513,0.575
12,155.110,-0.403,5.000,-0.439,-0.214,-0.270,-0.403,0.485
13,155.600,0.210,4.950,0.081,0.114,0.220,0.210,0.305
14,155.750,0.345,5.000,-0.209,0.184,0.370,0.345,0.506
15,155.229,0.616,4.950,-0.055,0.334,-0.152,0.616,0.635
16,155.676,0.060,4.950,0.108,0.032,0.296,0.060,0.302
17,156.346,-0.068,4.950,0.353,-0.037,0.966,-0.068,0.968
18,155.699,0.309,5.000,-0.227,0.165,0.319,0.309,0.444
19,153.756,0.178,5.000,-0.924,0.094,-1.624,0.178,1.634
20,153.280,-0.408,5.000,-1.093,-0.215,-2.100,-0.408,2.139
21,154.865,0.301,4.950,-0.188,0.163,-0.515,0.301,0.597
22,154.996,-0.329,4.950,-0.140,-0.178,-0.384,-0.329,0.505
23,155.854,0.343,4.950,0.174,0.187,0.474,0.343,0.586
24,155.748,0.493,5.000,-0.210,0.263,0.368,0.493,0.615
25,156.063,0.110,4.950,0.250,0.060,0.683,0.110,0.692
26,155.051,0.649,5.000,-0.460,0.345,-0.329,0.649,0.727
27,155.152,1.005,4.950,-0.082,0.545,-0.228,1.005,1.030
28,154.980,0.741,4.950,-0.146,0.402,-0.400,0.741,0.842
29,155.548,-0.320,4.950,0.062,-0.174,0.168,-0.320,0.362
# CEP,0.615,P95,1.241,L_pat,0.835,W_pat,0.741
