sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,156.610,1.098,4.950,0.452,0.599,1.230,1.098,1.649
1,156.107,0.054,4.950,0.266,0.030,0.726,0.054,0.728
2,156.599,-0.057,4.950,0.447,-0.031,1.219,-0.057,1.220
3,154.852,0.084,4.950,-0.193,0.045,-0.528,0.084,0.535
4,155.520,0.149,4.950,0.051,0.081,0.140,0.149,0.204
5,156.564,-0.667,4.950,0.434,-0.364,1.184,-0.667,1.359
6,155.221,-0.232,4.950,-0.058,-0.126,-0.159,-0.232,0.281
7,155.966,0.588,4.950,0.215,0.320,0.586,0.588,0.830
8,155.039,0.204,5.000,-0.464,0.108,-0.341,0.204,0.398
9,156.817,-0.357,4.950,0.527,-0.195,1.437,-0.357,1.481
10,155.319,0.028,4.950,-0.022,0.015,-0.061,0.028,0.067
11,155.696,-0.113,4.950,0.116,-0.061,0.315,-0.113,0.335
12,155.017,0.744,4.950,-0.132,0.403,-0.363,0.744,0.828
13,155.061,0.123,4.950,-0.116,0.067,-0.319,0.123,0.342
14,156.026,-0.131,4.950,0.236,-0.071,0.645,-0.131,0.658
15,155.919,-0.516,4.950,0.198,-0.281,0.539,-0.516,0.747
16,155.710,-0.100,5.000,-0.223,-0.053,0.329,-0.100,0.344
17,155.224,0.290,4.950,-0.057,0.157,-0.156,0.290,0.329
18,156.263,0.383,4.950,0.323,0.208,0.883,0.383,0.962
19,156.194,-0.058,4.950,0.298,-0.032,0.814,-0.058,0.816
20,156.670,0.481,4.950,0.473,0.262,1.290,0.481,1.376
21,155.684,-0.338,4.950,0.111,-0.184,0.304,-0.338,0.455
22,156.661,-0.106,4.950,0.469,-0.058,1.281,-0.106,1.285
23,155.583,0.227,4.950,0.074,0.123,0.203,0.227,0.305
24,155.622,-0.129,4.950,0.089,-0.070,0.241,-0.129,0.274
25,155.676,0.032,4.950,0.109,0.017,0.296,0.032,0.298
26,155.422,-0.168,5.000,-0.327,-0.089,0.042,-0.168,0.173
27,155.662,-0.056,4.950,0.103,-0.030,0.282,-0.056,0.288
28,157.136,-0.004,4.950,0.644,-0.002,1.756,-0.004,1.756
29,155.465,0.420,4.950,0.031,0.228,0.084,0.420,0.429
# CEP,0.455,P95,1.481,L_pat,1.339,W_pat,0.667
