sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,155.685,0.541,5.000,-0.232,0.288,0.305,0.541,0.621
1,155.290,-0.835,4.950,-0.032,-0.453,-0.091,-0.835,0.840
2,155.238,-0.765,4.950,-0.051,-0.415,-0.142,-0.765,0.778
3,156.757,-0.753,4.950,0.505,-0.411,1.377,-0.753,1.569
4,155.846,-1.010,4.950,0.171,-0.549,0.466,-1.010,1.113
5,155.367,-0.491,4.950,-0.005,-0.267,-0.013,-0.491,0.491
6,155.536,0.739,4.950,0.057,0.401,0.156,0.739,0.755
7,155.002,0.029,4.950,-0.138,0.016,-0.378,0.029,0.379
8,155.860,0.211,4.950,0.176,0.115,0.480,0.211,0.524
9,156.779,-0.314,4.950,0.512,-0.171,1.399,-0.314,1.434
10,155.451,-0.421,5.000,-0.316,-0.224,0.071,-0.421,0.427
11,155.652,1.666,4.950,0.102,0.905,0.272,1.666,1.688
12,156.401,0.810,4.950,0.374,0.441,1.021,0.810,1.303
13,154.732,-0.864,5.000,-0.574,-0.459,-0.648,-0.864,1.080
14,156.327,0.330,4.950,0.347,0.180,0.947,0.330,1.003
15,155.484,0.397,5.000,-0.304,0.211,0.104,0.397,0.410
16,156.691,0.420,4.950,0.480,0.229,1.310,0.420,1.376
17,154.665,-0.362,5.000,-0.598,-0.192,-0.716,-0.362,0.802
18,155.468,-0.326,4.950,0.032,-0.177,0.088,-0.326,0.338
19,156.179,0.393,4.950,0.292,0.214,0.799,0.393,0.890
20,157.179,-0.203,4.950,0.659,-0.111,1.799,-0.203,1.810
21,156.289,-0.671,4.950,0.333,-0.366,0.909,-0.671,1.130
22,155.968,0.697,4.950,0.216,0.379,0.588,0.697,0.912
23,156.669,0.003,4.950,0.472,0.002,1.289,0.003,1.289
24,156.179,0.038,4.950,0.292,0.021,0.799,0.038,0.800
25,155.133,0.384,4.950,-0.090,0.208,-0.247,0.384,0.456
26,155.387,-0.826,4.950,0.003,-0.448,0.007,-0.826,0.826
27,155.817,0.168,4.950,0.160,0.091,0.437,0.168,0.468
28,156.377,-0.023,4.950,0.365,-0.012,0.996,-0.023,0.997
29,156.735,-0.457,4.950,0.496,-0.249,1.354,-0.457,1.429
# CEP,0.840,P95,1.569,L_pat,1.112,W_pat,0.864
