sample_id,x_impact,y_impact,t_flight,wx_true,wy_true,error_x,error_y,radial_error
0,157.237,-0.519,4.950,0.533,-0.304,1.857,-0.519,1.928
1,155.780,-0.148,5.000,-0.344,-0.099,0.399,-0.148,0.426
2,155.892,-0.708,5.000,-0.303,-0.397,0.511,-0.708,0.873
3,155.329,-0.183,5.000,-0.505,-0.117,-0.051,-0.183,0.190
4,155.313,-0.023,4.950,-0.172,-0.033,-0.067,-0.023,0.071
5,157.246,0.589,4.950,0.536,0.301,1.866,0.589,1.957
6,156.324,0.754,4.950,0.198,0.390,0.944,0.754,1.208
7,155.603,-0.641,5.000,-0.407,-0.361,0.223,-0.641,0.679
8,155.300,-0.309,4.950,-0.177,-0.188,-0.080,-0.309,0.319
9,155.521,-0.957,4.950,-0.095,-0.539,0.140,-0.957,0.967
10,156.522,0.011,4.950,0.270,-0.015,1.142,0.011,1.142
11,157.810,-0.461,4.950,0.743,-0.273,2.430,-0.461,2.473
12,155.496,-0.380,4.950,-0.105,-0.227,0.116,-0.380,0.398
13,156.812,-0.362,4.950,0.376,-0.218,1.432,-0.362,1.477
14,155.531,-0.634,5.000,-0.432,-0.357,0.151,-0.634,0.651
15,156.370,0.204,4.950,0.214,0.090,0.990,0.204,1.010
16,156.506,0.179,4.950,0.264,0.077,1.126,0.179,1.140
17,155.842,-0.044,4.950,0.021,-0.044,0.462,-0.044,0.464
18,155.441,0.189,4.950,-0.125,0.082,0.061,0.189,0.199
19,155.937,0.338,4.950,0.056,0.163,0.557,0.338,0.651
20,155.975,-0.468,5.000,-0.273,-0.269,0.595,-0.468,0.757
21,155.991,0.070,4.950,0.076,0.017,0.611,0.070,0.615
22,155.067,-0.346,5.000,-0.599,-0.204,-0.313,-0.346,0.466
23,155.667,-0.312,4.950,-0.043,-0.190,0.287,-0.312,0.424
24,156.170,0.295,4.950,0.141,0.140,0.790,0.295,0.843
25,156.396,0.392,4.950,0.224,0.192,1.016,0.392,1.089
26,155.471,-0.235,5.000,-0.454,-0.145,0.091,-0.235,0.252
27,155.557,-0.363,4.950,-0.083,-0.217,0.177,-0.363,0.403
28,156.319,-0.582,4.950,0.196,-0.337,0.939,-0.582,1.105
29,157.345,0.355,4.950,0.572,0.173,1.965,0.355,1.996
# CEP,0.679,P95,1.957,L_pat,1.035,W_pat,0.708
